OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize,EmpDen_surrogate,Population_surrogate,DestScore_surrogate
1591,1591-tram,tram,3-tram,325749.4849,5802471.033,600,90.86106673,13,0.010947178,0.023136145,0.260019333,63,0,0,1.477229476,0,0,0,3150.623037,0,30701.3338,43.84615385,17.53846154,0,0,43.84615385,650,0.064700642,0.563409521,0.647,-0.344,0.192419419,0.583836774,2.761501788,534.2145931,3150.623037,5
1597,1597-tram,tram,4-tram,325776.9833,5802710.471,600,90.86106673,9.4,0.012265736,0.021315508,0.208332277,57,0,0,1.4709513,0,0,0,3399.099764,0,29394.01404,43.92307692,17.53846154,0,0,43.92307692,650,0.071946642,0.582226102,0.751,-0.343,0.177114113,0.577491206,2.770574253,540.0705982,3399.099764,5
1607,1607-tram,tram,6-tram,325850.0052,5803276.987,600,90.86106673,75,0.016958392,0.030254118,0.320960211,72,0,0,1.614617248,0,0,0,3078.027934,0,41800.78918,43.92307692,49.69230769,0,0,43.92307692,650,0.076171248,0.604436907,0.85,-0.268,0.08501019,0.55405997,2.898556067,877.2308402,3078.027934,4
1624,1624-tram,tram,10-tram,325945.5086,5803991.02,600,90.86106673,11.4,0.016239554,0.036981431,0.380554413,99,0,0,1.840674692,0,0,0,3055.906202,0,33987.09039,43.92307692,26.30769231,0,0,43.92307692,650,0.109595567,0.597303476,1.16,-0.21,-0.040545181,0.584956408,2.686527011,1224.162019,3055.906202,5
1628,1628-tram,tram,11-tram,329062.0302,5804169.99,600,84.75170278,4.3,0.031941896,0.057782481,0.266822043,37,0,0,0.674449075,0,0,0,4850.563882,0,34650.61614,42.76923077,35.07692308,0,0,42.76923077,500,0.067619038,0.628026132,1.44,-0.703,1.288454659,0.59527303,2.479465999,885.0367765,4850.563882,6
1732,1732-tram,tram,32-tram,325442.5128,5804972.484,600,262.2371717,14,0.123389089,0.072032634,0.387735208,51,0.319972259,0,0.971336251,0,0,0,4225.693038,0,82601.43724,42,25.69230769,0,0,42,650,0.070228062,0.620716129,2.22,-0.308,0.151536742,0.610710535,2.625231111,1433.869046,4225.693038,5
1760,1760-tram,tram,38-tram,324161.9883,5805145.461,600,262.2371717,275.5,0.145824757,0.114105951,0.470765207,73,0,0,0.320832605,1,0,0.000670213,3838.041763,0,301278.857,41.69230769,103.3076923,0,102.3846154,144.0769231,800,0.055244777,0.594372972,1.98,-0.226,0.09352136,0.646861702,2.367968154,1527.749925,3838.041763,6
1746,1746-tram,tram,35-tram,324646.5095,5805074.958,600,262.2371717,45,0.142087424,0.117877691,0.359236087,70,0.318963092,0,0.168947787,1,0,0,4022.894218,0,82592.40989,42,35.46153846,0,0,42,800,0.05379662,0.63192228,2.16,-0.214,0.110975711,0.643444112,2.472598086,1630.541508,4022.894218,6
1751,1751-tram,tram,36-tram,324462.9707,5805101.506,600,262.2371717,61.4,0.170375857,0.12257614,0.378839384,68,0,0,0.017669342,1,0,0,3852.229927,0,301278.857,41.92307692,17,0,0,41.92307692,800,0.050774464,0.622227986,2.04,-0.224,0.164457804,0.647506566,2.40011821,1628.271087,3852.229927,6
1763,1763-tram,tram,39-tram,323918.4867,5805181.979,600,262.2371717,26.7,0.139792794,0.082567612,0.529049341,68,0.374698844,0,0.567021447,1,0,0,4597.36407,0,301278.857,41.38461538,55.15384615,20.76923077,0,62.15384615,800,0.055296673,0.5819039,1.78,-0.435,0.693370657,0.647506566,2.279976589,1369.164764,4597.36407,6
