                      row                column          cor                        p
1             ln_centroid                ln_bus  0.674795500 0.0000000000000000000000
2             ln_centroid              PropComm  0.187655561 0.0228437067797087056675
3                  ln_bus              PropComm  0.367407262 0.0000047014087489749556
4             ln_centroid               Balance  0.262312361 0.0013291393981389454382
5                  ln_bus               Balance  0.295412942 0.0002806551405183377312
6                PropComm               Balance  0.478228457 0.0000000009015879154362
7             ln_centroid             LUEntropy  0.126117842 0.1279769427155910133109
8                  ln_bus             LUEntropy  0.287522603 0.0004137875499137244617
9                PropComm             LUEntropy  0.480499210 0.0000000007312452865449
10                Balance             LUEntropy  0.318204711 0.0000857689153477281252
11            ln_centroid            PedConnect  0.228546811 0.0053647253587409959863
12                 ln_bus            PedConnect  0.049166287 0.5542668599094797698967
13               PropComm            PedConnect  0.115629053 0.1631237388644179997499
14                Balance            PedConnect  0.016798292 0.8399604879224216169575
15              LUEntropy            PedConnect  0.105915258 0.2016777466560168985410
16            ln_centroid                   PBN -0.162681591 0.0489868192993243578570
17                 ln_bus                   PBN -0.193710555 0.0187291530715292253717
18               PropComm                   PBN  0.120017563 0.1476303299586971817803
19                Balance                   PBN  0.040807495 0.6236065681842588581674
20              LUEntropy                   PBN -0.028022989 0.7361723994736599774313
21             PedConnect                   PBN  0.276217180 0.0007079108189544935925
22            ln_centroid             Parkiteer  0.375684301 0.0000027458110625211418
23                 ln_bus             Parkiteer  0.415758870 0.0000001633683068824610
24               PropComm             Parkiteer  0.125573324 0.1296448731535453369190
25                Balance             Parkiteer  0.098784410 0.2338944192306571245865
26              LUEntropy             Parkiteer  0.096258468 0.2461285454383899118369
27             PedConnect             Parkiteer -0.082598089 0.3199307959565089731768
28                    PBN             Parkiteer -0.126327478 0.1273392192906706021915
29            ln_centroid                ACDist -0.605697436 0.0000000000000004440892
30                 ln_bus                ACDist -0.423314783 0.0000000919610414484850
31               PropComm                ACDist -0.248822896 0.0023735874030208492513
32                Balance                ACDist -0.240138810 0.0033932559201463874388
33              LUEntropy                ACDist -0.129235971 0.1187418618621425281390
34             PedConnect                ACDist -0.268865531 0.0009918018287895513652
35                    PBN                ACDist  0.051051458 0.5391607235472033465840
36              Parkiteer                ACDist -0.170908366 0.0384787985989105685292
37            ln_centroid               ACCount  0.371673589 0.0000035698275464568496
38                 ln_bus               ACCount  0.462324708 0.0000000037469267688550
39               PropComm               ACCount  0.231727857 0.0047411829825780849035
40                Balance               ACCount  0.035393674 0.6704026136502456711952
41              LUEntropy               ACCount  0.220389466 0.0073110627521917326277
42             PedConnect               ACCount  0.011986297 0.8854288751119412381740
43                    PBN               ACCount -0.235573895 0.0040744807056121157274
44              Parkiteer               ACCount  0.234113125 0.0043170835446395550150
45                 ACDist               ACCount -0.632039499 0.0000000000000000000000
46            ln_centroid               Parking  0.243167544 0.0029997907656382771791
47                 ln_bus               Parking  0.242577038 0.0030731063214024523234
48               PropComm               Parking -0.007818473 0.9251201717226105181169
49                Balance               Parking -0.036938651 0.6569083352174285295177
50              LUEntropy               Parking  0.116088379 0.1614474291622256529877
51             PedConnect               Parking -0.050926657 0.5401544272627081255678
52                    PBN               Parking -0.112768783 0.1738555977235178851004
53              Parkiteer               Parking  0.150799306 0.0682766500979186119480
54                 ACDist               Parking -0.180654172 0.0285484783100820038726
55                ACCount               Parking  0.160833568 0.0516493604680050566458
56            ln_centroid             PropRural -0.027981409 0.7365494517697728227290
57                 ln_bus             PropRural -0.055031433 0.5079541491820172005589
58               PropComm             PropRural -0.096436303 0.2452529641353864420239
59                Balance             PropRural -0.055566027 0.5038350945844312089861
60              LUEntropy             PropRural -0.183654370 0.0259702336744092043830
61             PedConnect             PropRural  0.001632125 0.9843468687493641677833
62                    PBN             PropRural -0.060523804 0.4664815965285633581061
63              Parkiteer             PropRural -0.096873050 0.2431118041625466297262
64                 ACDist             PropRural  0.034695126 0.6765389880350674012277
65                ACCount             PropRural -0.103447820 0.2124418265400698224710
66                Parking             PropRural -0.093075150 0.2621693339661648192163
67            ln_centroid             EmpAccess  0.214382185 0.0091220725494212118178
68                 ln_bus             EmpAccess -0.010208169 0.9023335184283653997994
69               PropComm             EmpAccess  0.118433686 0.1530884003678472105037
70                Balance             EmpAccess  0.174584813 0.0344360180947482774627
71              LUEntropy             EmpAccess -0.030192376 0.7165893041453716971745
72             PedConnect             EmpAccess  0.539900104 0.0000000000017030821198
73                    PBN             EmpAccess  0.206246171 0.0122015509526016696640
74              Parkiteer             EmpAccess -0.354107270 0.0000108200238511102498
75                 ACDist             EmpAccess -0.203713727 0.0133302935389978394198
76                ACCount             EmpAccess -0.042216681 0.6116589070714444353882
77                Parking             EmpAccess -0.209904973 0.0107189487552687978678
78              PropRural             EmpAccess -0.065683868 0.4292766151266538265929
79            ln_centroid                 C_LOS  0.493491942 0.0000000002141435917480
80                 ln_bus                 C_LOS  0.276956564 0.0006839506373741421896
81               PropComm                 C_LOS -0.035035380 0.6735473521083426007294
82                Balance                 C_LOS  0.148709606 0.0722364363620457972104
83              LUEntropy                 C_LOS  0.051076319 0.5389628821601859520740
84             PedConnect                 C_LOS  0.238255694 0.0036607539747510742245
85                    PBN                 C_LOS  0.021638628 0.7947517705827125134022
86              Parkiteer                 C_LOS  0.071913891 0.3867163351705036333783
87                 ACDist                 C_LOS -0.291221934 0.0003454087046224074697
88                ACCount                 C_LOS  0.133568705 0.1067781813806676360912
89                Parking                 C_LOS  0.094402130 0.2553978660277520518207
90              PropRural                 C_LOS  0.079773993 0.3368121162323485240364
91              EmpAccess                 C_LOS  0.298689175 0.0002380838988957911795
92            ln_centroid             O_Bus_LOS  0.515030149 0.0000000000248714382423
93                 ln_bus             O_Bus_LOS  0.693876488 0.0000000000000000000000
94               PropComm             O_Bus_LOS  0.427134284 0.0000000684080010415755
95                Balance             O_Bus_LOS  0.185585908 0.0244179773725146098684
96              LUEntropy             O_Bus_LOS  0.402523124 0.0000004323493709712523
97             PedConnect             O_Bus_LOS  0.096751912 0.2437043768373940988425
98                    PBN             O_Bus_LOS -0.196869001 0.0168496990771314081314
99              Parkiteer             O_Bus_LOS  0.409088913 0.0000002681887636413194
100                ACDist             O_Bus_LOS -0.340263494 0.0000247813511675687437
101               ACCount             O_Bus_LOS  0.389597183 0.0000010748441550134658
102               Parking             O_Bus_LOS  0.182902913 0.0265965483643155753413
103             PropRural             O_Bus_LOS -0.071929631 0.3866121369026345178099
104             EmpAccess             O_Bus_LOS -0.090588417 0.2751869898120047341905
105                 C_LOS             O_Bus_LOS  0.137980773 0.0955883870351659226117
106           ln_centroid            O_Tram_LOS  0.080693313 0.3312556342013293075865
107                ln_bus            O_Tram_LOS -0.041525225 0.6175088406705684374032
108              PropComm            O_Tram_LOS  0.063101026 0.4476819799126554588753
109               Balance            O_Tram_LOS  0.124455321 0.1331217590072031331516
110             LUEntropy            O_Tram_LOS  0.041366264 0.6188571267460334368593
111            PedConnect            O_Tram_LOS  0.180193584 0.0289629938601778658125
112                   PBN            O_Tram_LOS  0.215609349 0.0087228220604054218512
113             Parkiteer            O_Tram_LOS -0.155978791 0.0592192982557651070863
114                ACDist            O_Tram_LOS -0.060234949 0.4686153461530420116787
115               ACCount            O_Tram_LOS  0.069155627 0.4052359080718561656909
116               Parking            O_Tram_LOS -0.091231253 0.2717807424997062959449
117             PropRural            O_Tram_LOS -0.023860702 0.7742143058357817686499
118             EmpAccess            O_Tram_LOS  0.294236264 0.0002975950142096728257
119                 C_LOS            O_Tram_LOS  0.151275699 0.0673991086643663805944
120             O_Bus_LOS            O_Tram_LOS -0.043958705 0.5970297082910491770491
121           ln_centroid                MedInc -0.165153968 0.0456039582274339050372
122                ln_bus                MedInc -0.328087112 0.0000497581945144709437
123              PropComm                MedInc -0.211836933 0.0100019622918572359538
124               Balance                MedInc -0.004312480 0.9586562452298397207784
125             LUEntropy                MedInc -0.215092272 0.0088891264332930930436
126            PedConnect                MedInc  0.384716212 0.0000015010017535566078
127                   PBN                MedInc  0.122453545 0.1395249347345299817391
128             Parkiteer                MedInc -0.305747821 0.0001659233068815879619
129                ACDist                MedInc  0.020533477 0.8050197423825344866799
130               ACCount                MedInc -0.124611958 0.1326303734622369390195
131               Parking                MedInc -0.286792420 0.0004286822353936070584
132             PropRural                MedInc  0.081330328 0.3274400448408849584325
133             EmpAccess                MedInc  0.517556808 0.0000000000191282545359
134                 C_LOS                MedInc -0.007312747 0.9299508946641608098105
135             O_Bus_LOS                MedInc -0.408706710 0.0000002758260373436627
136            O_Tram_LOS                MedInc  0.158736476 0.0548147716605620338726
137           ln_centroid                PropOS  0.258797386 0.0015504776296788591594
138                ln_bus                PropOS  0.179136896 0.0299333939481667421489
139              PropComm                PropOS  0.308623362 0.0001428483465495400395
140               Balance                PropOS  0.278352533 0.0006407356146542753095
141             LUEntropy                PropOS  0.011772817 0.8874558511101746649530
142            PedConnect                PropOS  0.131176561 0.1132608203349589892639
143                   PBN                PropOS  0.080028477 0.3352680790471174177014
144             Parkiteer                PropOS  0.064349842 0.4387280197973246753662
145                ACDist                PropOS -0.302034089 0.0002008684407401872818
146               ACCount                PropOS  0.111004435 0.1807307716899306804237
147               Parking                PropOS -0.124382989 0.1333491416841481314037
148             PropRural                PropOS -0.087829098 0.2901346311688945966978
149             EmpAccess                PropOS  0.166539342 0.0437951119444686121085
150                 C_LOS                PropOS  0.159393423 0.0538063777373616325406
151             O_Bus_LOS                PropOS  0.235521511 0.0040829643655320158047
152            O_Tram_LOS                PropOS  0.154324124 0.0619988565017131065815
153                MedInc                PropOS -0.220400632 0.0073080176165003507549
154           ln_centroid              PropBach  0.290788334 0.0003528440509175112538
155                ln_bus              PropBach -0.011805811 0.8871425322615398290083
156              PropComm              PropBach -0.093409946 0.2604494339321410389942
157               Balance              PropBach  0.101019359 0.2234308495184178511295
158             LUEntropy              PropBach -0.215205454 0.0088524864912002954043
159            PedConnect              PropBach  0.497538281 0.0000000001445386033083
160                   PBN              PropBach  0.212416127 0.0097954140881069129421
161             Parkiteer              PropBach -0.256620102 0.0017039217917227400534
162                ACDist              PropBach -0.328738916 0.0000479711194363297011
163               ACCount              PropBach  0.059308554 0.4754944697059959590746
164               Parking              PropBach -0.091426106 0.2707539208434508459789
165             PropRural              PropBach  0.012563664 0.8799505550822024346758
166             EmpAccess              PropBach  0.670488334 0.0000000000000000000000
167                 C_LOS              PropBach  0.343385684 0.0000206269082003718296
168             O_Bus_LOS              PropBach -0.206595010 0.0120528293440083089649
169            O_Tram_LOS              PropBach  0.175921948 0.0330575750393826695017
170                MedInc              PropBach  0.641186194 0.0000000000000000000000
171                PropOS              PropBach -0.012458210 0.8809507324857530630169
172           ln_centroid  X34_censored_PropFTE -0.124752162 0.1321917196717943276951
173                ln_bus  X34_censored_PropFTE -0.233373745 0.0044447528327546947935
174              PropComm  X34_censored_PropFTE -0.072524191 0.3826887921226289623888
175               Balance  X34_censored_PropFTE -0.020874602 0.8018467016891761556252
176             LUEntropy  X34_censored_PropFTE -0.103706706 0.2112935391444503707703
177            PedConnect  X34_censored_PropFTE  0.388592699 0.0000011518186751047210
178                   PBN  X34_censored_PropFTE  0.154733226 0.0613018836821059842634
179             Parkiteer  X34_censored_PropFTE -0.171136574 0.0382167221433824533250
180                ACDist  X34_censored_PropFTE  0.020207731 0.8080526943168970799292
181               ACCount  X34_censored_PropFTE -0.118202765 0.1538966810590101097489
182               Parking  X34_censored_PropFTE -0.184526597 0.0252591257109413547255
183             PropRural  X34_censored_PropFTE  0.013493468 0.8711401993378045105487
184             EmpAccess  X34_censored_PropFTE  0.372454215 0.0000033929886589234570
185                 C_LOS  X34_censored_PropFTE -0.033847846 0.6840104833562679065295
186             O_Bus_LOS  X34_censored_PropFTE -0.298161048 0.0002445141308897724741
187            O_Tram_LOS  X34_censored_PropFTE  0.140769256 0.0890095980374214779118
188                MedInc  X34_censored_PropFTE  0.779887512 0.0000000000000000000000
189                PropOS  X34_censored_PropFTE -0.158208287 0.0556367893481786168763
190              PropBach  X34_censored_PropFTE  0.372188032 0.0000034523330101343674
191           ln_centroid X35_censored_MeanSize -0.028573424 0.7311869425988668513838
192                ln_bus X35_censored_MeanSize  0.058878546 0.4787061042005857913750
193              PropComm X35_censored_MeanSize -0.082856052 0.3184165722867482450908
194               Balance X35_censored_MeanSize -0.021121766 0.7995496743025065633503
195             LUEntropy X35_censored_MeanSize -0.075935450 0.3606488059269628010384
196            PedConnect X35_censored_MeanSize -0.395739084 0.0000007006523736752257
197                   PBN X35_censored_MeanSize -0.223931119 0.0063998830105402859658
198             Parkiteer X35_censored_MeanSize  0.151010124 0.0678871720953821977673
199                ACDist X35_censored_MeanSize  0.156418572 0.0584980104283419066746
200               ACCount X35_censored_MeanSize -0.086853741 0.2955452825011000150823
201               Parking X35_censored_MeanSize  0.126130881 0.1279372058051744254215
202             PropRural X35_censored_MeanSize -0.042719234 0.6074224466263287158796
203             EmpAccess X35_censored_MeanSize -0.371491352 0.0000036123516957697888
204                 C_LOS X35_censored_MeanSize -0.191233418 0.0203276494086552794727
205             O_Bus_LOS X35_censored_MeanSize  0.140280940 0.0901348446856031770835
206            O_Tram_LOS X35_censored_MeanSize -0.170658987 0.0387669151261738065273
