                  row            column          cor            p
1            PropComm           Balance  0.607458658 0.000000e+00
2            PropComm         LUEntropy  0.091264080 5.473941e-03
3             Balance         LUEntropy -0.037066964 2.600765e-01
4            PropComm        PedConnect  0.674109749 0.000000e+00
5             Balance        PedConnect  0.401129626 0.000000e+00
6           LUEntropy        PedConnect  0.178943223 4.270845e-08
7            PropComm               PBN  0.243891823 5.417888e-14
8             Balance               PBN  0.197813580 1.293599e-09
9           LUEntropy               PBN  0.220382029 1.226219e-11
10         PedConnect               PBN  0.253711126 4.662937e-15
11           PropComm         DestScore  0.428429019 0.000000e+00
12            Balance         DestScore  0.086780241 8.272707e-03
13          LUEntropy         DestScore  0.153427077 2.761923e-06
14         PedConnect         DestScore  0.529714979 0.000000e+00
15                PBN         DestScore  0.165758175 3.985885e-07
16           PropComm         Parkiteer -0.037537790 2.540674e-01
17            Balance         Parkiteer -0.009815082 7.656134e-01
18          LUEntropy         Parkiteer  0.016734156 6.112452e-01
19         PedConnect         Parkiteer -0.025862896 4.320684e-01
20                PBN         Parkiteer -0.018443402 5.753271e-01
21          DestScore         Parkiteer -0.012943833 6.942047e-01
22           PropComm            ACDist -0.387837314 0.000000e+00
23            Balance            ACDist -0.230790094 1.195710e-12
24          LUEntropy            ACDist -0.157335609 1.519265e-06
25         PedConnect            ACDist -0.346949651 0.000000e+00
26                PBN            ACDist -0.158953173 1.181247e-06
27          DestScore            ACDist -0.268926796 0.000000e+00
28          Parkiteer            ACDist  0.065813220 4.538224e-02
29           PropComm           ACCount  0.298413116 0.000000e+00
30            Balance           ACCount  0.113415356 5.484884e-04
31          LUEntropy           ACCount  0.100454658 2.222120e-03
32         PedConnect           ACCount  0.237807183 2.331468e-13
33                PBN           ACCount  0.058684149 7.443457e-02
34          DestScore           ACCount  0.236764839 2.984279e-13
35          Parkiteer           ACCount -0.025739737 4.342648e-01
36             ACDist           ACCount -0.573063832 0.000000e+00
37           PropComm               FTZ  0.573792000 0.000000e+00
38            Balance               FTZ  0.608049770 0.000000e+00
39          LUEntropy               FTZ -0.204421438 3.491647e-10
40         PedConnect               FTZ  0.370053391 0.000000e+00
41                PBN               FTZ  0.191497600 4.339312e-09
42          DestScore               FTZ  0.261060492 6.661338e-16
43          Parkiteer               FTZ -0.012902965 6.951217e-01
44             ACDist               FTZ -0.093417800 4.461122e-03
45            ACCount               FTZ  0.006895650 8.341033e-01
46           PropComm           Parking -0.026943427 4.130758e-01
47            Balance           Parking -0.021897050 5.059533e-01
48          LUEntropy           Parking  0.059194375 7.194432e-02
49         PedConnect           Parking -0.045782628 1.641433e-01
50                PBN           Parking  0.013882286 6.732713e-01
51          DestScore           Parking  0.077684524 1.812476e-02
52          Parkiteer           Parking  0.073803591 2.478899e-02
53             ACDist           Parking -0.050939395 1.215810e-01
54            ACCount           Parking  0.067533859 4.002125e-02
55                FTZ           Parking -0.027945294 3.959150e-01
56           PropComm         PropUrban  0.018116568 5.821177e-01
57            Balance         PropUrban -0.234939342 4.578560e-13
58          LUEntropy         PropUrban -0.463413827 0.000000e+00
59         PedConnect         PropUrban  0.005875840 8.583566e-01
60                PBN         PropUrban -0.235594621 3.925749e-13
61          DestScore         PropUrban  0.134766925 3.922362e-05
62          Parkiteer         PropUrban -0.025251819 4.430292e-01
63             ACDist         PropUrban -0.180028740 3.526469e-08
64            ACCount         PropUrban  0.227366427 2.604139e-12
65                FTZ         PropUrban -0.160454695 9.330562e-07
66            Parking         PropUrban  0.010791091 7.430901e-01
67           PropComm         EmpAccess  0.623687451 0.000000e+00
68            Balance         EmpAccess  0.495390730 0.000000e+00
69          LUEntropy         EmpAccess  0.245729300 3.463896e-14
70         PedConnect         EmpAccess  0.729308962 0.000000e+00
71                PBN         EmpAccess  0.410448696 0.000000e+00
72          DestScore         EmpAccess  0.431250349 0.000000e+00
73          Parkiteer         EmpAccess  0.014163456 6.670474e-01
74             ACDist         EmpAccess -0.339362698 0.000000e+00
75            ACCount         EmpAccess  0.159864961 1.023886e-06
76                FTZ         EmpAccess  0.486380025 0.000000e+00
77            Parking         EmpAccess  0.025719702 4.346227e-01
78          PropUrban         EmpAccess -0.299700500 0.000000e+00
79           PropComm             C_LOS  0.394318373 0.000000e+00
80            Balance             C_LOS  0.309681578 0.000000e+00
81          LUEntropy             C_LOS -0.007135448 8.284223e-01
82         PedConnect             C_LOS  0.273724398 0.000000e+00
83                PBN             C_LOS  0.272500955 0.000000e+00
84          DestScore             C_LOS  0.202745978 4.887419e-10
85          Parkiteer             C_LOS -0.016397286 6.184395e-01
86             ACDist             C_LOS -0.110464753 7.642842e-04
87            ACCount             C_LOS  0.036388781 2.689035e-01
88                FTZ             C_LOS  0.381527773 0.000000e+00
89            Parking             C_LOS -0.044267537 1.785660e-01
90          PropUrban             C_LOS -0.151122332 3.902106e-06
91          EmpAccess             C_LOS  0.410129671 0.000000e+00
92           PropComm         O_Bus_LOS  0.241507149 9.636736e-14
93            Balance         O_Bus_LOS  0.063924337 5.195072e-02
94          LUEntropy         O_Bus_LOS  0.037615123 2.530897e-01
95         PedConnect         O_Bus_LOS  0.162079970 7.210520e-07
96                PBN         O_Bus_LOS  0.019350736 5.566740e-01
97          DestScore         O_Bus_LOS  0.052081765 1.134357e-01
98          Parkiteer         O_Bus_LOS -0.022048324 5.030183e-01
99             ACDist         O_Bus_LOS -0.049146215 1.352788e-01
100           ACCount         O_Bus_LOS  0.084704710 9.956315e-03
101               FTZ         O_Bus_LOS  0.130416039 6.947196e-05
102           Parking         O_Bus_LOS  0.140915842 1.696660e-05
103         PropUrban         O_Bus_LOS  0.013288047 6.864984e-01
104         EmpAccess         O_Bus_LOS  0.028439274 3.876143e-01
105             C_LOS         O_Bus_LOS -0.068430921 3.744575e-02
106          PropComm       O_Train_LOS -0.004524026 8.907087e-01
107           Balance       O_Train_LOS  0.001723969 9.582406e-01
108         LUEntropy       O_Train_LOS  0.113580916 5.382466e-04
109        PedConnect       O_Train_LOS  0.023083995 4.831680e-01
110               PBN       O_Train_LOS  0.054231584 9.927634e-02
111         DestScore       O_Train_LOS  0.085797319 9.035437e-03
112         Parkiteer       O_Train_LOS  0.145114441 9.380155e-06
113            ACDist       O_Train_LOS -0.095343728 3.702449e-03
114           ACCount       O_Train_LOS  0.106324567 1.201403e-03
115               FTZ       O_Train_LOS -0.044756392 1.738130e-01
116           Parking       O_Train_LOS  0.436488404 0.000000e+00
117         PropUrban       O_Train_LOS  0.015235703 6.435249e-01
118         EmpAccess       O_Train_LOS  0.140365568 1.831441e-05
119             C_LOS       O_Train_LOS -0.051724338 1.159367e-01
120         O_Bus_LOS       O_Train_LOS -0.002662392 9.355500e-01
121          PropComm            PropOS  0.220294755 1.249800e-11
122           Balance            PropOS  0.020974574 5.240439e-01
123         LUEntropy            PropOS  0.169822064 2.039108e-07
124        PedConnect            PropOS  0.225431345 4.021228e-12
125               PBN            PropOS  0.092211788 5.005159e-03
126         DestScore            PropOS  0.194389508 2.505706e-09
127         Parkiteer            PropOS -0.022518751 4.939488e-01
128            ACDist            PropOS -0.224101844 5.407230e-12
