                  row            column           cor                        p
1            PropComm           Balance  0.5836547509 0.0000000000000000000000
2            PropComm         LUEntropy  0.3424008891 0.0000003199496250161360
3             Balance         LUEntropy  0.0718461741 0.2977560423807179557087
4            PropComm        PedConnect  0.4879165401 0.0000000000000444089210
5             Balance        PedConnect  0.3391502232 0.0000004199895289325184
6           LUEntropy        PedConnect  0.2366408010 0.0005115125489489891208
7            PropComm               PBN  0.1506906075 0.0282600089219737782287
8             Balance               PBN  0.1069047567 0.1207090533832251288970
9           LUEntropy               PBN  0.2635106756 0.0001032007612011831554
10         PedConnect               PBN  0.2331224344 0.0006227444768449608148
11           PropComm         DestScore  0.5295914366 0.0000000000000000000000
12            Balance         DestScore  0.2489804174 0.0002506374776498621060
13          LUEntropy         DestScore  0.2751936089 0.0000486758990869695651
14         PedConnect         DestScore  0.5048776721 0.0000000000000039968029
15                PBN         DestScore  0.1705455547 0.0128917851851699793997
16           PropComm         Parkiteer  0.1049119370 0.1278300906300120498571
17            Balance         Parkiteer  0.0148995012 0.8292454758203353648582
18          LUEntropy         Parkiteer  0.0946562837 0.1697047964854410118107
19         PedConnect         Parkiteer  0.1161942263 0.0915011564605290317331
20                PBN         Parkiteer  0.0173460694 0.8017458763538798383053
21          DestScore         Parkiteer  0.2039073387 0.0028563931119927055136
22           PropComm            ACDist -0.2857821136 0.0000239049782218003770
23            Balance            ACDist -0.2712173682 0.0000631058092768199685
24          LUEntropy            ACDist -0.1307093778 0.0574246007254324286606
25         PedConnect            ACDist -0.3287003044 0.0000009863959209432949
26                PBN            ACDist -0.1964753741 0.0040806856155781723317
27          DestScore            ACDist -0.2456264035 0.0003053682380562694476
28          Parkiteer            ACDist -0.0475789177 0.4907892392726500574440
29           PropComm           ACCount  0.3111717385 0.0000038534205395457377
30            Balance           ACCount  0.1311686195 0.0565466340686042734376
31          LUEntropy           ACCount  0.0629001165 0.3621227846765113778105
32         PedConnect           ACCount  0.2058622595 0.0025952714833359369351
33                PBN           ACCount  0.0615995294 0.3721529567625339041115
34          DestScore           ACCount  0.2500473530 0.0002352403890075738246
35          Parkiteer           ACCount -0.0353748526 0.6085245047680398755574
36             ACDist           ACCount -0.2946171188 0.0000129158977451027113
37           PropComm           Parking  0.2022785244 0.0030918974966884782418
38            Balance           Parking -0.0048442718 0.9441004900905010099876
39          LUEntropy           Parking  0.1656716935 0.0157497013346890035734
40         PedConnect           Parking  0.0361020574 0.6011715386555676055025
41                PBN           Parking  0.0087291329 0.8994556233453643301345
42          DestScore           Parking  0.2241276593 0.0010163608839182103338
43          Parkiteer           Parking  0.4493924907 0.0000000000062070348861
44             ACDist           Parking  0.1111453015 0.1065847139215287953107
45            ACCount           Parking  0.1316230850 0.0556887477821335075134
46           PropComm         PropUrban -0.0856398839 0.2142933650815310731019
47            Balance         PropUrban -0.0452936311 0.5118737361531253693414
48          LUEntropy         PropUrban -0.6047625493 0.0000000000000000000000
49         PedConnect         PropUrban  0.1245378396 0.0703533310352892904405
50                PBN         PropUrban -0.0880687829 0.2015307169796634045866
51          DestScore         PropUrban  0.1646752124 0.0163978141936902410691
52          Parkiteer         PropUrban  0.0851938132 0.2166987872407930559859
53             ACDist         PropUrban -0.1851898098 0.0068532848118643130420
54            ACCount         PropUrban  0.0973148862 0.1579787595565869118275
55            Parking         PropUrban  0.0422544920 0.5406233707712961855663
56           PropComm         EmpAccess  0.6093950148 0.0000000000000000000000
57            Balance         EmpAccess  0.4351577657 0.0000000000331215055382
58          LUEntropy         EmpAccess  0.2483139411 0.0002607263042069263292
