                  row            column           cor            p
1            PropComm           Balance  0.5112903547 4.440892e-16
2            PropComm         LUEntropy  0.4002457409 7.168794e-10
3             Balance         LUEntropy  0.2181763561 1.126086e-03
4            PropComm        PedConnect  0.4045103159 4.541794e-10
5             Balance        PedConnect  0.3696111702 1.582004e-08
6           LUEntropy        PedConnect  0.1459635562 3.044436e-02
7            PropComm               PBN  0.2145078065 1.370077e-03
8             Balance               PBN  0.2174756568 1.169357e-03
9           LUEntropy               PBN  0.0343337622 6.125055e-01
10         PedConnect               PBN  0.3465546184 1.325071e-07
11           PropComm         DestScore  0.1991135440 3.014398e-03
12            Balance         DestScore  0.1320533294 5.045525e-02
13          LUEntropy         DestScore  0.2373133108 3.841619e-04
14         PedConnect         DestScore  0.5036232505 1.554312e-15
15                PBN         DestScore  0.1471556671 2.909990e-02
16           PropComm         Parkiteer  0.0353474036 6.020443e-01
17            Balance         Parkiteer  0.0035464048 9.582879e-01
18          LUEntropy         Parkiteer  0.1150316543 8.873096e-02
19         PedConnect         Parkiteer -0.1413313877 3.618274e-02
20                PBN         Parkiteer -0.1029038513 1.280948e-01
21          DestScore         Parkiteer -0.0739159498 2.750094e-01
22           PropComm            ACDist -0.2205241921 9.915912e-04
23            Balance            ACDist -0.2171104232 1.192511e-03
24          LUEntropy            ACDist -0.0808979458 2.320735e-01
25         PedConnect            ACDist -0.3200491505 1.245987e-06
26                PBN            ACDist -0.0347412263 6.082907e-01
27          DestScore            ACDist -0.3143902967 1.957231e-06
28          Parkiteer            ACDist -0.1192860324 7.747511e-02
29           PropComm           ACCount  0.2361513599 4.111270e-04
30            Balance           ACCount  0.0634031031 3.492707e-01
31          LUEntropy           ACCount  0.1948527216 3.713433e-03
32         PedConnect           ACCount  0.1224889087 6.978736e-02
33                PBN           ACCount -0.1549371613 2.151075e-02
34          DestScore           ACCount  0.2618768658 8.460877e-05
35          Parkiteer           ACCount  0.1985793695 3.094960e-03
36             ACDist           ACCount -0.5744733411 0.000000e+00
37           PropComm               FTZ  0.4382286885 9.723111e-12
38            Balance               FTZ  0.4117053361 2.071978e-10
39          LUEntropy               FTZ -0.0448448780 5.081630e-01
40         PedConnect               FTZ  0.4342000568 1.574429e-11
41                PBN               FTZ  0.1716355253 1.076561e-02
42          DestScore               FTZ  0.1501016615 2.599325e-02
43          Parkiteer               FTZ -0.0958971903 1.563218e-01
44             ACDist               FTZ -0.0603478135 3.730280e-01
45            ACCount               FTZ -0.0273170862 6.869888e-01
46           PropComm           Parking  0.0127510066 8.508310e-01
47            Balance           Parking -0.1063212419 1.158403e-01
48          LUEntropy           Parking  0.1088054398 1.075216e-01
49         PedConnect           Parking -0.1317597889 5.097413e-02
50                PBN           Parking -0.1645206671 1.456556e-02
51          DestScore           Parking  0.0084836413 9.004300e-01
52          Parkiteer           Parking  0.2253805274 7.590269e-04
53             ACDist           Parking -0.0932127537 1.682979e-01
54            ACCount           Parking  0.1157806866 8.665946e-02
55                FTZ           Parking -0.1030393677 1.275905e-01
56           PropComm         PropUrban -0.3230239630 9.790242e-07
57            Balance         PropUrban -0.2444692142 2.511189e-04
