                  row            column          cor            p
1            PropComm           Balance  0.523945095 2.220446e-16
2            PropComm         LUEntropy  0.386839455 5.621720e-09
3             Balance         LUEntropy  0.183027505 7.545190e-03
4            PropComm        PedConnect  0.422374916 1.396223e-10
5             Balance        PedConnect  0.348102287 1.970507e-07
6           LUEntropy        PedConnect  0.172737552 1.176243e-02
7            PropComm               PBN  0.203716180 2.883164e-03
8             Balance               PBN  0.219280814 1.313121e-03
9           LUEntropy               PBN  0.035057695 6.117438e-01
10         PedConnect               PBN  0.345539630 2.453083e-07
11           PropComm         DestScore  0.186867503 6.356049e-03
12            Balance         DestScore  0.103842662 1.317824e-01
13          LUEntropy         DestScore  0.232095101 6.592087e-04
14         PedConnect         DestScore  0.507372169 2.886580e-15
15                PBN         DestScore  0.148377336 3.080349e-02
16           PropComm         Parkiteer  0.031569716 6.476291e-01
17            Balance         Parkiteer -0.032762491 6.352602e-01
18          LUEntropy         Parkiteer  0.103095168 1.346008e-01
19         PedConnect         Parkiteer -0.138557946 4.387979e-02
20                PBN         Parkiteer -0.119416800 8.279970e-02
21          DestScore         Parkiteer -0.080685335 2.420981e-01
22           PropComm            ACDist -0.258779513 1.385590e-04
23            Balance            ACDist -0.201922259 3.145695e-03
24          LUEntropy            ACDist -0.110166608 1.097232e-01
25         PedConnect            ACDist -0.295346379 1.226470e-05
26                PBN            ACDist  0.003062263 9.646464e-01
27          DestScore            ACDist -0.303523122 6.800250e-06
28          Parkiteer            ACDist -0.087902134 2.023884e-01
29           PropComm           ACCount  0.266423864 8.584108e-05
30            Balance           ACCount  0.091566067 1.841347e-01
31          LUEntropy           ACCount  0.219526101 1.296375e-03
32         PedConnect           ACCount  0.132370559 5.430118e-02
33                PBN           ACCount -0.168660279 1.393819e-02
34          DestScore           ACCount  0.275190604 4.868552e-05
35          Parkiteer           ACCount  0.193744142 4.638030e-03
36             ACDist           ACCount -0.594049587 0.000000e+00
37           PropComm               FTZ  0.427609546 7.802559e-11
38            Balance               FTZ  0.349784330 1.704800e-07
39          LUEntropy               FTZ -0.079515807 2.490135e-01
40         PedConnect               FTZ  0.365075160 4.393166e-08
41                PBN               FTZ  0.164799537 1.631570e-02
42          DestScore               FTZ  0.132658799 5.377382e-02
43          Parkiteer               FTZ -0.084118657 2.225757e-01
44             ACDist               FTZ -0.055058777 4.251413e-01
45            ACCount               FTZ -0.005121753 9.409042e-01
46           PropComm           Parking  0.019697919 7.755384e-01
47            Balance           Parking -0.091263558 1.855943e-01
48          LUEntropy           Parking  0.129136473 6.051732e-02
49         PedConnect           Parking -0.133713869 5.187955e-02
50                PBN           Parking -0.163984844 1.686036e-02
51          DestScore           Parking  0.009141540 8.947322e-01
52          Parkiteer           Parking  0.233465483 6.109894e-04
53             ACDist           Parking -0.098829431 1.515770e-01
54            ACCount           Parking  0.116304726 9.119116e-02
55                FTZ           Parking -0.091023022 1.867610e-01
56           PropComm         PropRural -0.092287173 1.806893e-01
57            Balance         PropRural -0.067342586 3.291467e-01
58          LUEntropy         PropRural -0.130551950 5.772815e-02
59         PedConnect         PropRural -0.032619364 6.367392e-01
60                PBN         PropRural -0.018404886 7.899178e-01
61          DestScore         PropRural -0.084444706 2.207816e-01
62          Parkiteer         PropRural -0.083659120 2.251218e-01
63             ACDist         PropRural  0.059459167 3.890274e-01
64            ACCount         PropRural -0.103138715 1.344353e-01
65                FTZ         PropRural -0.017519556 7.998047e-01
66            Parking         PropRural -0.071410617 3.007021e-01
67           PropComm         EmpAccess  0.318384025 2.222587e-06
