                  row            column          cor            p
1            PropComm           Balance  0.446196024 9.102052e-12
2            PropComm         LUEntropy  0.309030019 4.524987e-06
3             Balance         LUEntropy  0.030807495 6.555844e-01
4            PropComm        PedConnect  0.651864268 0.000000e+00
5             Balance        PedConnect  0.319357083 2.061273e-06
6           LUEntropy        PedConnect  0.196315578 4.111552e-03
7            PropComm               PBN  0.169381272 1.352953e-02
8             Balance               PBN  0.249131279 2.484048e-04
9           LUEntropy               PBN  0.070827040 3.046796e-01
10         PedConnect               PBN  0.252505204 2.030608e-04
11           PropComm         DestScore  0.286920765 2.210696e-05
12            Balance         DestScore -0.061255448 3.748349e-01
13          LUEntropy         DestScore  0.169108432 1.368292e-02
14         PedConnect         DestScore  0.468439135 5.828671e-13
15                PBN         DestScore  0.056598033 4.122930e-01
16           PropComm            ACDist -0.331636433 7.784719e-07
17            Balance            ACDist -0.288997786 1.915160e-05
18          LUEntropy            ACDist -0.201802693 3.163939e-03
19         PedConnect            ACDist -0.268406619 7.563577e-05
20                PBN            ACDist -0.116917256 8.948796e-02
21          DestScore            ACDist -0.235435014 5.473752e-04
22           PropComm           ACCount  0.388577043 4.739377e-09
23            Balance           ACCount  0.154546883 2.441908e-02
24          LUEntropy           ACCount  0.252188845 2.069593e-04
25         PedConnect           ACCount  0.271727373 6.105261e-05
26                PBN           ACCount  0.006566840 9.242748e-01
27          DestScore           ACCount  0.232242485 6.538590e-04
28             ACDist           ACCount -0.502348412 5.773160e-15
29           PropComm               FTZ  0.409717077 5.474985e-10
30            Balance               FTZ  0.444499954 1.113420e-11
31          LUEntropy               FTZ -0.190727118 5.332451e-03
32         PedConnect               FTZ  0.291906392 1.563520e-05
33                PBN               FTZ  0.200129539 3.429481e-03
34          DestScore               FTZ  0.144818579 3.509635e-02
35             ACDist               FTZ -0.058531474 3.964827e-01
36            ACCount               FTZ -0.003534849 9.591948e-01
37           PropComm           Parking -0.022192182 7.480193e-01
38            Balance           Parking  0.017899439 7.955583e-01
39          LUEntropy           Parking  0.141108439 4.010121e-02
40         PedConnect           Parking -0.024035747 7.278800e-01
41                PBN           Parking  0.108406719 1.155487e-01
42          DestScore           Parking  0.112518312 1.023013e-01
43             ACDist           Parking -0.093791816 1.736539e-01
44            ACCount           Parking  0.134535408 5.044324e-02
45                FTZ           Parking -0.019149954 7.816231e-01
46           PropComm         EmpAccess  0.506630858 3.108624e-15
47            Balance         EmpAccess  0.405438202 8.579262e-10
48          LUEntropy         EmpAccess  0.186936947 6.336181e-03
49         PedConnect         EmpAccess  0.702904519 0.000000e+00
50                PBN         EmpAccess  0.388467631 4.790743e-09
51          DestScore         EmpAccess  0.346200425 2.318795e-07
52             ACDist         EmpAccess -0.368183826 3.305476e-08
53            ACCount         EmpAccess  0.267585119 7.971750e-05
54                FTZ         EmpAccess  0.418526656 2.128098e-10
55            Parking         EmpAccess  0.164011823 1.684207e-02
56           PropComm             C_LOS  0.169660665 1.337402e-02
57            Balance             C_LOS  0.183947228 7.243633e-03
58          LUEntropy             C_LOS -0.032069754 6.424318e-01
59         PedConnect             C_LOS  0.154905482 2.408589e-02
60                PBN             C_LOS  0.241716342 3.831240e-04
61          DestScore             C_LOS  0.191865068 5.060273e-03
62             ACDist             C_LOS -0.155715506 2.334764e-02
63            ACCount             C_LOS  0.074738160 2.786815e-01
64                FTZ             C_LOS  0.427482631 7.914358e-11
65            Parking             C_LOS -0.022181705 7.481342e-01
66          EmpAccess             C_LOS  0.314721236 2.944489e-06
67           PropComm         O_Bus_LOS  0.196104000 4.152744e-03
68            Balance         O_Bus_LOS  0.025316922 7.139925e-01
69          LUEntropy         O_Bus_LOS  0.063355000 3.586548e-01
70         PedConnect         O_Bus_LOS  0.109619725 1.115082e-01
71                PBN         O_Bus_LOS -0.027083569 6.949967e-01
72          DestScore         O_Bus_LOS -0.036226894 5.999133e-01
73             ACDist         O_Bus_LOS  0.064273092 3.517187e-01
74            ACCount         O_Bus_LOS  0.090345347 1.900767e-01
75                FTZ         O_Bus_LOS  0.025539312 7.115913e-01
76            Parking         O_Bus_LOS  0.240213012 4.176319e-04
77          EmpAccess         O_Bus_LOS -0.006195598 9.285441e-01
78              C_LOS         O_Bus_LOS -0.195450165 4.282398e-03
79           PropComm        O_Tram_LOS  0.460582256 1.574296e-12
80            Balance        O_Tram_LOS  0.364543473 4.610807e-08
81          LUEntropy        O_Tram_LOS -0.038286378 5.793287e-01
82         PedConnect        O_Tram_LOS  0.396361694 2.178671e-09
83                PBN        O_Tram_LOS  0.279685857 3.612617e-05
84          DestScore        O_Tram_LOS  0.159437352 2.020092e-02
85             ACDist        O_Tram_LOS -0.110426912 1.088814e-01
86            ACCount        O_Tram_LOS  0.104475920 1.294305e-01
87                FTZ        O_Tram_LOS  0.513906006 1.110223e-15
88            Parking        O_Tram_LOS -0.012295117 8.587482e-01
89          EmpAccess        O_Tram_LOS  0.371855542 2.352996e-08
90              C_LOS        O_Tram_LOS  0.199922650 3.463677e-03
91          O_Bus_LOS        O_Tram_LOS -0.028096514 6.841894e-01
92           PropComm       O_Train_LOS  0.073979274 2.836050e-01
93            Balance       O_Train_LOS  0.073398596 2.874117e-01
94          LUEntropy       O_Train_LOS  0.197883873 3.817521e-03
95         PedConnect       O_Train_LOS  0.059858392 3.858454e-01
96                PBN       O_Train_LOS  0.121409305 7.776140e-02
97          DestScore       O_Train_LOS  0.140742834 4.062542e-02
98             ACDist       O_Train_LOS -0.163296539 1.733280e-02
99            ACCount       O_Train_LOS  0.252384914 2.045350e-04
100               FTZ       O_Train_LOS -0.029173403 6.727698e-01
101           Parking       O_Train_LOS  0.524875582 2.220446e-16
102         EmpAccess       O_Train_LOS  0.303758643 6.683930e-06
103             C_LOS       O_Train_LOS -0.028371298 6.812685e-01
104         O_Bus_LOS       O_Train_LOS  0.029478509 6.695478e-01
105        O_Tram_LOS       O_Train_LOS  0.020178704 7.702109e-01
106          PropComm             O_LOS  0.412954407 3.881109e-10
107           Balance             O_LOS  0.354739666 1.107163e-07
108         LUEntropy             O_LOS  0.069027313 3.171632e-01
109        PedConnect             O_LOS  0.356870801 9.174850e-08
110               PBN             O_LOS  0.347635132 2.051085e-07
111         DestScore             O_LOS  0.258538064 1.406372e-04
112            ACDist             O_LOS -0.223846022 1.031756e-03
113           ACCount             O_LOS  0.235801804 5.362273e-04
114               FTZ             O_LOS  0.495440748 1.554312e-14
115           Parking             O_LOS  0.267343429 8.095717e-05
116         EmpAccess             O_LOS  0.536651228 0.000000e+00
117             C_LOS             O_LOS  0.516745494 6.661338e-16
118         O_Bus_LOS             O_LOS -0.080760582 2.416578e-01
119        O_Tram_LOS             O_LOS  0.753182236 0.000000e+00
120       O_Train_LOS             O_LOS  0.543778363 0.000000e+00
121          PropComm            PropOS  0.249316779 2.456849e-04
122           Balance            PropOS  0.026393041 7.023998e-01
123         LUEntropy            PropOS  0.260283581 1.262464e-04
124        PedConnect            PropOS  0.328050971 1.039066e-06
125               PBN            PropOS -0.001279494 9.852244e-01
126         DestScore            PropOS  0.134866665 4.987353e-02
127            ACDist            PropOS -0.129761596 5.927214e-02
128           ACCount            PropOS  0.048436163 4.830014e-01
129               FTZ            PropOS  0.193632763 4.662145e-03
130           Parking            PropOS -0.059852508 3.858922e-01
131         EmpAccess            PropOS  0.299561473 9.069670e-06
132             C_LOS            PropOS  0.165372563 1.594187e-02
133         O_Bus_LOS            PropOS  0.078893517 2.527485e-01
134        O_Tram_LOS            PropOS  0.146072132 3.352969e-02
135       O_Train_LOS            PropOS -0.013354504 8.467213e-01
136             O_LOS            PropOS  0.155613988 2.343908e-02
137          PropComm          PropBach  0.028687514 6.779132e-01
138           Balance          PropBach -0.223220017 1.066747e-03
139         LUEntropy          PropBach -0.010947647 8.740924e-01
140        PedConnect          PropBach  0.162908184 1.760442e-02
141               PBN          PropBach  0.143137905 3.729380e-02
142         DestScore          PropBach  0.325585689 1.264570e-06
143            ACDist          PropBach -0.153337068 2.557259e-02
144           ACCount          PropBach  0.120225244 8.072466e-02
145               FTZ          PropBach  0.034078904 6.217257e-01
146           Parking          PropBach  0.074073613 2.829898e-01
147         EmpAccess          PropBach  0.293503385 1.397396e-05
148             C_LOS          PropBach  0.127648582 6.356776e-02
149         O_Bus_LOS          PropBach -0.289130128 1.897655e-05
150        O_Tram_LOS          PropBach  0.032678545 6.361275e-01
151       O_Train_LOS          PropBach  0.140885558 4.042010e-02
152             O_LOS          PropBach  0.148990518 3.011098e-02
