                      row                column          cor                        p
1             ln_centroid                ln_bus  0.292088373 0.0000000392429280182682
2             ln_centroid              PropComm  0.350964263 0.0000000000254849474857
3                  ln_bus              PropComm  0.280665223 0.0000001363590200753606
4             ln_centroid               Balance -0.006795359 0.9005037233477557467864
5                  ln_bus               Balance -0.057980111 0.2856836307979404576685
6                PropComm               Balance  0.401889647 0.0000000000000115463195
7             ln_centroid             LUEntropy  0.262060210 0.0000009223826582527295
8                  ln_bus             LUEntropy  0.060732467 0.2633912278739500845148
9                PropComm             LUEntropy  0.341166391 0.0000000000966426938476
10                Balance             LUEntropy  0.228130285 0.0000210505115809667132
11            ln_centroid            PedConnect  0.292085198 0.0000000392568160201279
12                 ln_bus            PedConnect  0.224544542 0.0000285396999621934100
13               PropComm            PedConnect  0.528050543 0.0000000000000000000000
14                Balance            PedConnect  0.115464271 0.0330488514798332744249
15              LUEntropy            PedConnect  0.335737565 0.0000000001983009312312
16            ln_centroid                   PBN  0.226860831 0.0000234586968432815013
17                 ln_bus                   PBN  0.082059186 0.1304556381621413407856
18               PropComm                   PBN  0.037119995 0.4944910533977782129966
19                Balance                   PBN -0.043855962 0.4195126052760858037516
20              LUEntropy                   PBN  0.120154973 0.0265070914705614057993
21             PedConnect                   PBN  0.079460584 0.1431223349712045234128
22            ln_centroid             Parkiteer          NaN                      NaN
23                 ln_bus             Parkiteer          NaN                      NaN
24               PropComm             Parkiteer          NaN                      NaN
25                Balance             Parkiteer          NaN                      NaN
26              LUEntropy             Parkiteer          NaN                      NaN
27             PedConnect             Parkiteer          NaN                      NaN
28                    PBN             Parkiteer          NaN                      NaN
29            ln_centroid                ACDist -0.151241938 0.0051305093368734233650
30                 ln_bus                ACDist -0.068089047 0.2097751032664854076160
31               PropComm                ACDist -0.412141249 0.0000000000000019984014
32                Balance                ACDist -0.276098468 0.0000002209213183501646
33              LUEntropy                ACDist -0.173601551 0.0012888140224367461428
34             PedConnect                ACDist -0.301809019 0.0000000130103399165193
35                    PBN                ACDist -0.110829809 0.0408160197920910405855
36              Parkiteer                ACDist          NaN                      NaN
37            ln_centroid               ACCount  0.117345615 0.0302761141630454311269
38                 ln_bus               ACCount  0.157873091 0.0034672031976450412571
39               PropComm               ACCount  0.451110096 0.0000000000000000000000
40                Balance               ACCount  0.085614872 0.1145486985249304368040
41              LUEntropy               ACCount  0.163489680 0.0024589610069587486407
42             PedConnect               ACCount  0.252038734 0.0000024360264025968803
43                    PBN               ACCount  0.005028207 0.9262916937441412201792
44              Parkiteer               ACCount          NaN                      NaN
45                 ACDist               ACCount -0.552352832 0.0000000000000000000000
46            ln_centroid               Parking  0.047786398 0.3790245824871436575165
47                 ln_bus               Parking  0.191197455 0.0003844518422084775011
48               PropComm               Parking  0.010562627 0.8459091656081938470635
49                Balance               Parking  0.014022398 0.7964052898722764339823
50              LUEntropy               Parking  0.070127399 0.1964189960255255940069
51             PedConnect               Parking -0.032842054 0.5455753163224068558179
52                    PBN               Parking  0.100526232 0.0637077956882332596678
53              Parkiteer               Parking          NaN                      NaN
54                 ACDist               Parking -0.057827516 0.2869556394786045849798
55                ACCount               Parking  0.057188036 0.2923276077515544191243
56            ln_centroid             EmpAccess  0.392553410 0.0000000000000519584376
57                 ln_bus             EmpAccess  0.163255087 0.0024950457016452709524
58               PropComm             EmpAccess  0.422634124 0.0000000000000004440892
59                Balance             EmpAccess  0.102639891 0.0583032266082517125483
60              LUEntropy             EmpAccess  0.258881081 0.0000012607014912013881
61             PedConnect             EmpAccess  0.735346193 0.0000000000000000000000
62                    PBN             EmpAccess  0.237156983 0.0000095723486057686102
63              Parkiteer             EmpAccess          NaN                      NaN
64                 ACDist             EmpAccess -0.326513432 0.0000000006514944139724
65                ACCount             EmpAccess  0.138756823 0.0103080203078169674313
66                Parking             EmpAccess  0.106820231 0.0487282448194996664625
67            ln_centroid                 C_LOS  0.593033944 0.0000000000000000000000
68                 ln_bus                 C_LOS  0.017158540 0.7522206740403918345805
69               PropComm                 C_LOS  0.205894386 0.0001285451910564283651
70                Balance                 C_LOS  0.044958443 0.4079078112644278775178
71              LUEntropy                 C_LOS  0.124414121 0.0215644459834636315065
72             PedConnect                 C_LOS  0.125423088 0.0205180572007495065634
73                    PBN                 C_LOS  0.178227306 0.0009477391137684421096
74              Parkiteer                 C_LOS          NaN                      NaN
75                 ACDist                 C_LOS -0.113315594 0.0364774967494834179149
76                ACCount                 C_LOS  0.027554426 0.6121175773080775872614
77                Parking                 C_LOS -0.008358995 0.8777716581256260752752
78              EmpAccess                 C_LOS  0.257131599 0.0000014946263868775844
79            ln_centroid             O_Bus_LOS  0.141323338 0.0089686038134835222024
80                 ln_bus             O_Bus_LOS  0.596089238 0.0000000000000000000000
81               PropComm             O_Bus_LOS  0.369813993 0.0000000000017177370637
82                Balance             O_Bus_LOS  0.093668353 0.0841416320350139024242
