          OBJECTID OBJECTID_MODE Mode FacilityID FacilityID_Mode        X       Y                    Name Target.break
3059-bus      3059      3059-bus  bus       9877        9877-bus 390894.0 5823909 Location 9877 : 0 - 800          800
10253-bus    10253     10253-bus  bus       5024        5024-bus 361247.0 5809815 Location 5024 : 0 - 800          800
10235-bus    10235     10235-bus  bus       5037        5037-bus 355338.0 5810137 Location 5037 : 0 - 800          800
10226-bus    10226     10226-bus  bus       5043        5043-bus 361324.0 5810231 Location 5043 : 0 - 800          800
10233-bus    10233     10233-bus  bus       5038        5038-bus 355220.0 5810140 Location 5038 : 0 - 800          800
11843-bus    11843     11843-bus  bus       3005        3005-bus 327637.5 5807756 Location 3005 : 0 - 800          800
10206-bus    10206     10206-bus  bus       5056        5056-bus 355084.5 5810500 Location 5056 : 0 - 800          800
10200-bus    10200     10200-bus  bus       5060        5060-bus 361487.0 5810663 Location 5060 : 0 - 800          800
6673-bus      6673      6673-bus  bus       7423        7423-bus 302473.0 5823177 Location 7423 : 0 - 800          800
6954-bus      6954      6954-bus  bus       7235        7235-bus 300321.5 5822196 Location 7235 : 0 - 800          800
6903-bus      6903      6903-bus  bus       7269        7269-bus 300248.0 5822388 Location 7269 : 0 - 800          800
7021-bus      7021      7021-bus  bus       7190        7190-bus 300536.0 5821999 Location 7190 : 0 - 800          800
7080-bus      7080      7080-bus  bus       7151        7151-bus 300585.0 5821773 Location 7151 : 0 - 800          800
7261-bus      7261      7261-bus  bus       7030        7030-bus 300787.5 5821148 Location 7030 : 0 - 800          800
7340-bus      7340      7340-bus  bus       6977        6977-bus 300785.0 5820911 Location 6977 : 0 - 800          800
7277-bus      7277      7277-bus  bus       7019        7019-bus 300916.0 5821125 Location 7019 : 0 - 800          800
6874-bus      6874      6874-bus  bus       7288        7288-bus 300658.5 5822450 Location 7288 : 0 - 800          800
          Mode.standard Standard. Cluster.sample. FromBreak ToBreak BUFF_DIST ORIG_FID Shape_Length Shape_Area X19_Total_Pat
3059-bus            400        no              No         0     800        50      173     7533.735   929054.7           3.0
10253-bus           400        no              No         0     800        50     7379     5033.943   532239.8           1.1
10235-bus           400        no              No         0     800        50     7360     5373.072   882876.0           1.2
10226-bus           400        no              No         0     800        50     7351     5199.803   553388.0          11.0
10233-bus           400        no              No         0     800        50     7358     5361.957   874951.9           2.8
11843-bus           400        no              No         0     800        50     8973     5375.550  1199951.2           2.5
10206-bus           400        no              No         0     800        50     7331     5408.244   952382.9           0.3
10200-bus           400        no              No         0     800        50     7325     5706.230   671893.2           1.5
6673-bus            400        no              No         0     800        50     3791     5284.895  1225224.5          16.5
6954-bus            400        no              No         0     800        50     4072     5011.129  1095548.9           8.9
6903-bus            400        no              No         0     800        50     4021     5283.560  1078427.7           3.0
7021-bus            400        no              No         0     800        50     4139     5906.755  1184655.0           0.7
7080-bus            400        no              No         0     800        50     4198     5402.614  1124562.6           1.8
7261-bus            400        no              No         0     800        50     4379     5228.062  1107899.7           1.3
7340-bus            400        no              No         0     800        50     4458     6038.364  1080933.6           2.3
7277-bus            400        no              No         0     800        50     4395     6583.340  1084842.8          13.0
6874-bus            400        no              No         0     800        50     3992     5869.094  1240077.3          20.3
              X20_Emp  X21_Empden    X22_Pop X23_Popden  X24_Dwell X25_ActDen X26_PropComm X27_RetailEmp X28_Balance
3059-bus     3.938264    4.239001   52.54377   56.55617   20.86985   60.79517   0.00000000     0.4483032 0.015728703
10253-bus   15.653732   29.411050   24.95617   46.88896   14.34652   76.30001   0.00000000     2.9857705 0.119730788
10235-bus   22.418195   25.392236  497.60247  563.61537  204.41391  589.00761   0.02435871     2.6503680 0.009360863
10226-bus   16.245738   29.356866   26.67515   48.20334   14.67539   77.56020   0.00000000     2.9812484 0.116490085
10233-bus   22.216989   25.392241  500.57239  572.11420  206.86960  597.50644   0.02457932     2.6503686 0.009222449
