,OBJECTID_MODE,FacilityID-mode,X26_PropComm,X28_Balance,X31_PedConnect,X32_PBN,X37_ACDist,X40_Parking,X41_PropUrban,X42_PropRural,X43_EmpAccess,Factor1,Factor2,Factor3,Cluster
1,3059-bus,9877-bus,-0.597445654,-0.633955594,-1.470094007,-0.601000272,1.30E+01,-0.142449011,-3.66E+00,-0.180681792,-0.456483065,-2.04E+00,2.70E-01,-0.849278246,2
2,10253-bus,5024-bus,-0.597445654,0.309786341,-1.589628199,-0.601000272,3.67E+00,-0.142449011,-3.66E+00,-0.180681792,-0.456483058,-1.74E+00,2.88E-01,-1.005829999,2
3,10235-bus,5037-bus,-0.448081014,-0.691739028,-1.051724332,-0.601000272,1.61E+00,-0.142449011,-3.55E+00,-0.180681792,-0.456482945,-8.82E-01,1.77E-01,-1.030484845,2
4,10226-bus,5043-bus,-0.597445654,0.28037936,-1.62947293,-0.601000272,3.55E+00,-0.142449011,-3.66E+00,-0.180681792,-0.456479847,-1.70E+00,2.91E-01,-1.024958193,2
5,10233-bus,5038-bus,-0.446728297,-0.692995033,-1.031801967,-0.601000272,1.57E+00,-0.142449011,-3.55E+00,-0.180681792,-0.4564789,-9.04E-01,1.73E-01,-1.013482643,2
6,11843-bus,3005-bus,-0.451956219,0.098090839,-0.195062618,1.377322515,-4.61E-01,-0.142449011,6.86E-01,6.701864693,-0.456476476,7.08E-01,-2.57E-01,0.664055513,1
7,10206-bus,5056-bus,-0.597445654,-0.69698131,-1.231025621,-0.601000272,1.56E+00,-0.142449011,-3.66E+00,-0.180681792,-0.456460192,-1.49E+00,1.48E-01,-0.693912983,2
8,10200-bus,5060-bus,-0.597445654,0.228385639,-1.669317661,-0.601000272,3.45E+00,-0.142449011,-3.66E+00,-0.180681792,-0.456441843,-1.75E+00,2.87E-01,-1.000768176,2
9,6673-bus,7423-bus,-0.597445654,-0.50896791,0.681521461,-0.601000272,-2.42E-02,-0.142449011,1.08E+00,-0.180681792,-0.456415885,-1.10E+00,-4.73E-01,1.132333127,1
10,6954-bus,7235-bus,-0.597445654,-0.45456776,0.561987268,-0.601000272,-4.56E-01,-0.142449011,1.08E+00,-0.180681792,-0.456405994,-1.45E+00,-3.50E-01,0.998448173,1
11,6903-bus,7269-bus,-0.597445654,-0.475138181,0.721366192,-0.601000272,-3.84E-01,-0.142449011,1.08E+00,-0.180681792,-0.456405994,-1.55E+00,-3.50E-01,0.994022173,1
12,7021-bus,7190-bus,-0.597445654,-0.43034454,0.900667481,-0.601000272,-5.67E-01,-0.142449011,1.07E+00,-0.180681792,-0.456405994,-1.06E-01,-2.78E-01,0.231655815,1
13,7080-bus,7151-bus,-0.597445654,-0.349143681,0.263151787,-0.601000272,-6.35E-01,-0.142449011,1.06E+00,-0.180681792,-0.456405994,7.05E-01,-9.95E-02,-0.593453063,1
