,OBJECTID_MODE,FacilityID-mode,X26_PropComm,X28_Balance,X31_PedConnect,X32_PBN,X37_ACDist,X40_Parking,X41_PropUrban,X42_PropRural,X43_EmpAccess,Factor1,Factor2,Factor3,Cluster
1,3059-bus,9877-bus,-0.60,-0.63,-1.47,-0.60,13.00,-0.14,-3.66,-0.18,-0.46,-2.04,0.27,-0.85,2.00
2,10253-bus,5024-bus,-0.60,0.31,-1.59,-0.60,3.67,-0.14,-3.66,-0.18,-0.46,-1.74,0.29,-1.01,2.00
3,10235-bus,5037-bus,-0.45,-0.69,-1.05,-0.60,1.61,-0.14,-3.55,-0.18,-0.46,-0.88,0.18,-1.03,2.00
4,10226-bus,5043-bus,-0.60,0.28,-1.63,-0.60,3.55,-0.14,-3.66,-0.18,-0.46,-1.70,0.29,-1.02,2.00
5,10233-bus,5038-bus,-0.45,-0.69,-1.03,-0.60,1.57,-0.14,-3.55,-0.18,-0.46,-0.90,0.17,-1.01,2.00
6,11843-bus,3005-bus,-0.45,0.10,-0.20,1.38,-0.46,-0.14,0.69,6.70,-0.46,0.71,-0.26,0.66,1.00
7,10206-bus,5056-bus,-0.60,-0.70,-1.23,-0.60,1.56,-0.14,-3.66,-0.18,-0.46,-1.49,0.15,-0.69,2.00
8,10200-bus,5060-bus,-0.60,0.23,-1.67,-0.60,3.45,-0.14,-3.66,-0.18,-0.46,-1.75,0.29,-1.00,2.00
9,6673-bus,7423-bus,-0.60,-0.51,0.68,-0.60,-0.02,-0.14,1.08,-0.18,-0.46,-1.10,-0.47,1.13,1.00
10,6954-bus,7235-bus,-0.60,-0.45,0.56,-0.60,-0.46,-0.14,1.08,-0.18,-0.46,-1.45,-0.35,1.00,1.00
11,6903-bus,7269-bus,-0.60,-0.48,0.72,-0.60,-0.38,-0.14,1.08,-0.18,-0.46,-1.55,-0.35,0.99,1.00
12,7021-bus,7190-bus,-0.60,-0.43,0.90,-0.60,-0.57,-0.14,1.07,-0.18,-0.46,-0.11,-0.28,0.23,1.00
13,7080-bus,7151-bus,-0.60,-0.35,0.26,-0.60,-0.64,-0.14,1.06,-0.18,-0.46,0.71,-0.10,-0.59,1.00
14,7261-bus,7030-bus,-0.60,-0.21,-0.27,0.30,-0.69,-0.14,1.06,-0.18,-0.46,0.74,0.05,-1.05,1.00
15,7340-bus,6977-bus,-0.60,-0.33,0.04,-0.60,-0.62,-0.14,1.07,-0.18,-0.46,0.03,-0.10,-0.33,1.00
16,7277-bus,7019-bus,-0.60,-0.25,-0.37,0.67,-0.72,-0.14,1.06,-0.18,-0.46,0.74,0.01,-0.94,1.00
17,6874-bus,7288-bus,-0.60,-0.48,1.84,-0.60,-0.45,-0.14,1.08,-0.18,-0.46,-0.74,-0.40,0.82,1.00
18,6720-bus,7392-bus,-0.56,-0.48,1.54,-0.60,-0.27,-0.14,1.08,-0.18,-0.46,-0.21,-0.35,0.42,1.00
19,6949-bus,7238-bus,-0.60,-0.46,0.92,-0.60,-0.55,-0.14,1.06,-0.18,-0.46,0.09,-0.34,0.33,1.00
20,7113-bus,7129-bus,-0.60,-0.30,-0.27,-0.60,-0.69,-0.14,1.06,-0.18,-0.46,0.82,-0.04,-0.82,1.00
