OBJECTID_MODE,BE Cluster
3059-bus,2
10253-bus,2
10235-bus,2
10226-bus,2
10233-bus,2
11843-bus,1
10206-bus,2
10200-bus,2
6673-bus,1
6954-bus,1
6903-bus,1
7021-bus,1
7080-bus,1
7261-bus,1
7340-bus,1
7277-bus,1
6874-bus,1
6720-bus,1
6949-bus,1
7113-bus,1
6618-bus,1
7041-bus,1
7087-bus,1
7495-bus,1
7077-bus,1
6528-bus,1
6897-bus,1
7198-bus,4
6649-bus,1
6285-bus,1
6816-bus,1
6844-bus,1
6850-bus,1
7101-bus,4
6871-bus,1
7084-bus,1
7175-bus,4
2992-bus,2
2986-bus,2
10196-bus,2
3106-bus,2
3064-bus,2
3080-bus,2
3091-bus,2
3061-bus,2
3098-bus,2
11308-bus,2
12302-bus,1
12375-bus,1
12606-bus,1
12480-bus,1
12597-bus,1
12585-bus,1
3497-bus,2
12654-bus,1
3124-bus,2
3142-bus,2
3131-bus,2
3148-bus,2
3924-bus,2
10181-bus,2
3137-bus,2
3960-bus,2
3891-bus,2
3961-bus,2
3134-bus,2
3208-bus,2
12292-bus,2
3930-bus,2
3140-bus,2
3933-bus,2
12291-bus,2
3380-bus,2
18-bus,2
3143-bus,2
3904-bus,2
12306-bus,2
3963-bus,2
12303-bus,2
12771-bus,2
11173-bus,2
3145-bus,2
3286-bus,2
12295-bus,2
11053-bus,2
10179-bus,2
3329-bus,2
3023-bus,2
3966-bus,1
3958-bus,2
3964-bus,2
12301-bus,2
11406-bus,2
11404-bus,2
11137-bus,2
2977-bus,2
3969-bus,1
4034-bus,1
11077-bus,2
3967-bus,2
2978-bus,2
2902-bus,2
4052-bus,1
12300-bus,2
11123-bus,2
2980-bus,2
2898-bus,2
3982-bus,2
3979-bus,2
2919-bus,2
3988-bus,2
3984-bus,2
3981-bus,2
2889-bus,2
11072-bus,2
3978-bus,1
3972-bus,1
3990-bus,2
3001-bus,2
3976-bus,2
2892-bus,2
3985-bus,2
12283-bus,2
11065-bus,2
3022-bus,2
3017-bus,2
12298-bus,2
3987-bus,2
3975-bus,2
3970-bus,2
12297-bus,2
12294-bus,2
3973-bus,2
12288-bus,2
12286-bus,2
11075-bus,2
2996-bus,2
3391-bus,2
3016-bus,2
3002-bus,2
6883-bus,1
3368-bus,2
3991-bus,2
11084-bus,2
10988-bus,2
3049-bus,2
11081-bus,2
11054-bus,2
7042-bus,1
6783-bus,1
3458-bus,2
11086-bus,2
6910-bus,1
12733-bus,1
3472-bus,2
4083-bus,1
10949-bus,2
2998-bus,2
11030-bus,2
10940-bus,2
3445-bus,2
11087-bus,2
2958-bus,2
3050-bus,2
12282-bus,2
10928-bus,2
11041-bus,2
12768-bus,2
3389-bus,2
3047-bus,2
3367-bus,2
3359-bus,2
11089-bus,2
3993-bus,2
3007-bus,2
4566-bus,2
3331-bus,2
3008-bus,2
3005-bus,2
11098-bus,2
3314-bus,2
3994-bus,2
3317-bus,2
3013-bus,2
3046-bus,2
3044-bus,2
3035-bus,2
11090-bus,2
648-train,2
11093-bus,2
3295-bus,2
3302-bus,2
3299-bus,2
3029-bus,2
3332-bus,2
3040-bus,2
3028-bus,2
3011-bus,2
4963-bus,1
9807-bus,2
8884-bus,1
9000-bus,1
8854-bus,1
9040-bus,1
9132-bus,1
9063-bus,1
9102-bus,1
9193-bus,1
9052-bus,1
9138-bus,1
9238-bus,1
9191-bus,1
9239-bus,1
9350-bus,2
8826-bus,2
3032-bus,2
3043-bus,2
3038-bus,2
3037-bus,2
8768-bus,1
3322-bus,2
3328-bus,2
3020-bus,2
6232-bus,1
6141-bus,1
11457-bus,2
3025-bus,2
7044-bus,1
3019-bus,2
4961-bus,1
3394-bus,2
4391-bus,1
3382-bus,2
3034-bus,2
3298-bus,2
3395-bus,2
8402-bus,1
3026-bus,2
3383-bus,2
3361-bus,2
12685-bus,1
12595-bus,1
