"","tram8.sample","cluster.key"
"1","2039-tram",8
"2","1619-tram",8
"3","1854-tram",8
"4","2036-tram",8
"5","1617-tram",8
"6","2218-tram",8
"7","2062-tram",8
"8","1618-tram",8
"9","2227-tram",8
"10","1875-tram",8
"11","2065-tram",8
"12","2149-tram",8
"13","1933-tram",8
"14","1864-tram",8
"15","2137-tram",8
"16","2122-tram",8
"17","1963-tram",8
"18","1789-tram",8
"19","1842-tram",8
"20","2118-tram",8
"21","1661-tram",8
"22","1898-tram",8
"23","1950-tram",8
"24","2222-tram",8
"25","1654-tram",8
"26","1809-tram",8
"27","33-tram",8
"28","1946-tram",8
"29","2219-tram",8
"30","1745-tram",8
"31","2202-tram",8
"32","1871-tram",8
"33","1847-tram",8
"34","1856-tram",8
"35","1830-tram",8
"36","2152-tram",8
"37","2114-tram",8
"38","2107-tram",8
"39","2231-tram",8
"40","1964-tram",8
"41","2209-tram",8
"42","2022-tram",8
"43","1628-tram",8
"44","1657-tram",8
"45","1684-tram",8
"46","1853-tram",8
"47","2180-tram",8
"48","1823-tram",8
"49","1771-tram",8
"50","1804-tram",8
"51","1905-tram",8
"52","1825-tram",8
"53","2087-tram",8
