"","bus2.sample","cluster.key"
"1","2724-bus",2
"2","23099-bus",2
"3","2630-bus",2
"4","23031-bus",2
"5","1287-bus",2
"6","1439-bus",2
"7","1265-bus",2
"8","23371-bus",2
"9","29653-bus",2
"10","23040-bus",2
"11","2729-bus",2
"12","1435-bus",2
"13","1231-bus",2
"14","29285-bus",2
"15","22549-bus",2
"16","22998-bus",2
"17","26747-bus",2
"18","29379-bus",2
"19","2177-bus",2
"20","23285-bus",2
"21","1090-bus",2
"22","2750-bus",2
"23","1262-bus",2
"24","1276-bus",2
"25","23637-bus",2
"26","1604-bus",2
"27","22561-bus",2
"28","2767-bus",2
"29","28171-bus",2
"30","2218-bus",2
"31","22324-bus",2
"32","2684-bus",2
"33","23241-bus",2
"34","22580-bus",2
"35","23473-bus",2
"36","29264-bus",2
"37","1373-bus",2
"38","2734-bus",2
"39","1502-bus",2
"40","22475-bus",2
"41","23490-bus",2
"42","2770-bus",2
"43","1303-bus",2
"44","2254-bus",2
"45","29113-bus",2
"46","1501-bus",2
"47","22584-bus",2
"48","2833-bus",2
"49","975-bus",2
"50","25083-bus",2
"51","1394-bus",2
"52","1568-bus",2
"53","1229-bus",2
"54","22802-bus",2
"55","1299-bus",2
"56","1021-bus",2
"57","1290-bus",2
"58","23364-bus",2
"59","23172-bus",2
