"","train9.sample","cluster.key"
"1","614-train",9
"2","548-train",9
"3","479-train",9
"4","576-train",9
"5","618-train",9
"6","587-train",9
"7","524-train",9
"8","554-train",9
"9","527-train",9
"10","581-train",9
"11","585-train",9
"12","539-train",9
"13","600-train",9
"14","633-train",9
"15","536-train",9
"16","611-train",9
"17","643-train",9
"18","590-train",9
"19","592-train",9
"20","635-train",9
"21","631-train",9
"22","530-train",9
"23","533-train",9
"24","606-train",9
"25","521-train",9
"26","617-train",9
"27","593-train",9
"28","589-train",9
"29","518-train",9
"30","612-train",9
