"","tram9.sample","cluster.key"
"1","1626-tram",9
"2","1629-tram",9
"3","2053-tram",9
"4","1605-tram",9
"5","13-tram",9
"6","1729-tram",9
"7","180-tram",9
"8","2186-tram",9
"9","1975-tram",9
"10","1630-tram",9
"11","2056-tram",9
"12","1609-tram",9
"13","1728-tram",9
"14","12-tram",9
"15","1604-tram",9
"16","1635-tram",9
"17","2097-tram",9
"18","1584-tram",9
"19","1589-tram",9
"20","1593-tram",9
"21","1621-tram",9
"22","2049-tram",9
"23","1615-tram",9
"24","130-tram",9
"25","1594-tram",9
"26","1598-tram",9
"27","2157-tram",9
"28","1969-tram",9
"29","2003-tram",9
"30","2066-tram",9
