"","bus7.sample","cluster.key"
"1","26068-bus",7
"2","25260-bus",7
"3","27933-bus",7
"4","2150-bus",7
"5","1780-bus",7
"6","25851-bus",7
"7","27903-bus",7
"8","2535-bus",7
"9","24857-bus",7
"10","26622-bus",7
"11","25736-bus",7
"12","2491-bus",7
"13","2581-bus",7
"14","26716-bus",7
"15","26893-bus",7
"16","25954-bus",7
"17","24154-bus",7
"18","24897-bus",7
"19","23458-bus",7
"20","2078-bus",7
"21","1603-bus",7
"22","26401-bus",7
"23","24507-bus",7
"24","24810-bus",7
"25","27788-bus",7
"26","25662-bus",7
"27","22902-bus",7
"28","28266-bus",7
"29","28961-bus",7
"30","25298-bus",7
"31","26014-bus",7
"32","2421-bus",7
"33","29775-bus",7
"34","25024-bus",7
"35","26153-bus",7
"36","1867-bus",7
"37","28593-bus",7
"38","2109-bus",7
"39","1443-bus",7
"40","28765-bus",7
"41","2592-bus",7
"42","29312-bus",7
"43","27245-bus",7
"44","23528-bus",7
"45","22042-bus",7
"46","27546-bus",7
"47","28015-bus",7
"48","23771-bus",7
"49","24975-bus",7
"50","23336-bus",7
"51","23495-bus",7
"52","28074-bus",7
"53","24970-bus",7
"54","22190-bus",7
"55","28185-bus",7
