"","train8.sample","cluster.key"
"1","535-train",8
"2","511-train",8
"3","460-train",8
"4","561-train",8
"5","517-train",8
"6","475-train",8
"7","498-train",8
"8","598-train",8
"9","645-train",8
"10","555-train",8
"11","457-train",8
"12","564-train",8
"13","634-train",8
"14","549-train",8
"15","620-train",8
"16","463-train",8
"17","534-train",8
"18","543-train",8
"19","474-train",8
"20","560-train",8
"21","506-train",8
"22","504-train",8
"23","557-train",8
"24","646-train",8
"25","507-train",8
"26","563-train",8
"27","3-train",8
"28","591-train",8
"29","639-train",8
"30","653-train",8
"31","569-train",8
"32","586-train",8
"33","529-train",8
"34","601-train",8
"35","501-train",8
"36","582-train",8
"37","537-train",8
"38","469-train",8
"39","580-train",8
"40","540-train",8
"41","508-train",8
"42","465-train",8
"43","566-train",8
"44","512-train",8
"45","526-train",8
"46","558-train",8
"47","509-train",8
"48","575-train",8
"49","552-train",8
"50","514-train",8
"51","546-train",8
"52","523-train",8
"53","466-train",8
