OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Tram_facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
1,118,Location 118,1,1063667,0.882763180687689,1,0,0,0.000000000000000,,327847.011745428,5804614.05164317,160.000000000000000,118,20,Location 20,1,226182,0.122607814114184,1,0,0,0.000000000000000,,327900.986900001,5804632.947
2,118,Location 118,1,1063667,0.882763180687689,1,0,0,0.000000000000000,,327847.011745428,5804614.05164317,160.000000000000000,118,21,Location 21,1,1063665,0.320994447737578,1,0,0,0.000000000000000,,327786.4778,5804654.0227
3,118,Location 118,1,1063667,0.882763180687689,1,0,0,0.000000000000000,,327847.011745428,5804614.05164317,160.000000000000000,118,22,Location 22,1,93698,0.912818802825655,1,0,0,0.000000000000000,,327695.9782,5804662.9456
4,130,Location 130,1,85561,0.769446272286686,1,0,0,0.000000000000000,,324201.010864566,5805088.01279161,160.000000000000000,130,38,Location 38,1,1067602,0.712877401194050,1,0,0,0.000000000000000,,324161.988300001,5805145.4606
5,119,Location 119,1,1017118,0.099333639621863,2,0,0,0.000000000000000,,327845.018183049,5805975.05172519,160.000000000000000,119,51,Location 51,1,365845,0.903062651836325,1,0,0,0.000000000000000,,327776.478100001,5806089.9566
6,132,Location 132,1,42391,0.000000000000000,1,0,0,0.000000000000000,,323514.991900519,5806767.96967867,160.000000000000000,132,79,Location 79,1,422081,0.183252358776923,1,0,0,0.000000000000000,,323519.0011,5806847.5446
7,120,Location 120,1,230435,0.778580658492663,2,0,0,0.000000000000000,,326655.004681507,5807194.03343793,160.000000000000000,120,89,Location 89,1,226775,0.811121421103883,2,0,0,0.000000000000000,,326507.493400002,5807209.012
8,133,Location 133,1,1070641,0.668056311423425,2,0,0,0.000000000000000,,323352.984825205,5808256.00863258,160.000000000000000,133,152,Location 152,1,826461,0.473247877408791,2,0,0,0.000000000000000,,323398.519200001,5808242.5004
9,121,Location 121,1,1061774,0.692409407335033,2,0,0,0.000000000000000,,325755.039755296,5808263.04345218,160.000000000000000,121,158,Location 158,1,139053,0.959258269842159,2,0,0,0.000000000000000,,325873.030400001,5808371.0117
10,88,Location 88,1,1061773,0.397520255791159,2,0,0,0.000000000000000,,328592.029779996,5808675.00932786,160.000000000000000,88,169,Location 169,1,39147,0.239228121714195,2,0,0,0.000000000000000,,328571.5054,5808553.465
