OBJECTID,FID_Tram_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
1,3,Location 3,1,826548,0.037859838656667,2,0,0,0.000000000000000,,325749.484900001,5802471.033,160.000000000000000,3,2034,Location 2034,1,431129,0.005958209010285,1,0,0,0.000000000000000,,325794.462400001,5802444.5154
2,4,Location 4,1,46544,0.485381127227286,1,0,0,0.000000000000000,,325776.983300002,5802710.4705,160.000000000000000,4,2080,Location 2080,1,46544,0.460844598466639,2,0,0,0.000000000000000,,325773.513300001,5802710.5089
3,6,Location 6,1,1039864,0.655627948048587,1,0,0,0.000000000000000,,325850.0052,5803276.9869,160.000000000000000,6,2157,Location 2157,1,48776,0.910358589006462,1,0,0,0.000000000000000,,325845.006500001,5803163.9745
4,6,Location 6,1,1039864,0.655627948048587,1,0,0,0.000000000000000,,325850.0052,5803276.9869,160.000000000000000,6,2183,Location 2183,1,1041536,0.264565651051887,2,0,0,0.000000000000000,,325809.9761,5803273.0268
5,6,Location 6,1,1039864,0.655627948048587,1,0,0,0.000000000000000,,325850.0052,5803276.9869,160.000000000000000,6,2186,Location 2186,1,1041557,0.502208016276217,2,0,0,0.000000000000000,,325915.0071,5803290.0255
6,10,Location 10,1,92904,0.009437347701441,1,0,0,0.000000000000000,,325945.5086,5803991.0203,160.000000000000000,10,2343,Location 2343,1,45303,0.343308366374119,1,0,0,0.000000000000000,,325938.3229,5804023.0036
7,11,Location 11,1,96813,0.928553152838944,1,0,0,0.000000000000000,,329062.0302,5804169.9902,160.000000000000000,11,2373,Location 2373,1,43524,0.822600346494765,2,0,0,0.000000000000000,,329095.984400002,5804220.9908
8,32,Location 32,1,42332,0.967263859097463,1,0,0,0.000000000000000,,325442.512800002,5804972.4838,160.000000000000000,32,2472,Location 2472,1,44940,0.633648823094726,2,0,0,0.000000000000000,,325420.0048,5804847.0576
9,38,Location 38,1,1067602,0.712877401194050,1,0,0,0.000000000000000,,324161.988300001,5805145.4606,160.000000000000000,38,2515,Location 2515,1,1017120,0.350071483467372,2,0,0,0.000000000000000,,324156.6553,5805051.6851
10,32,Location 32,1,42332,0.967263859097463,1,0,0,0.000000000000000,,325442.512800002,5804972.4838,160.000000000000000,32,2521,Location 2521,1,42936,0.260377305202995,2,0,0,0.000000000000000,,325451.481700001,5805059.4875
11,35,Location 35,1,429395,0.491033190885198,1,0,0,0.000000000000000,,324646.509500001,5805074.9576,160.000000000000000,35,2519,Location 2519,1,44903,0.029639531189973,1,0,0,0.000000000000000,,324631.031400001,5805081.6752
12,36,Location 36,1,92918,0.197955996344671,1,0,0,0.000000000000000,,324462.970700001,5805101.5058,160.000000000000000,36,2523,Location 2523,1,45063,0.770894965995111,2,0,0,0.000000000000000,,324308.0292,5805114.9552
13,38,Location 38,1,1067602,0.712877401194050,1,0,0,0.000000000000000,,324161.988300001,5805145.4606,160.000000000000000,38,2523,Location 2523,1,45063,0.770894965995111,2,0,0,0.000000000000000,,324308.0292,5805114.9552
14,39,Location 39,1,170965,0.577677019815426,1,0,0,0.000000000000000,,323918.486700001,5805181.9793,160.000000000000000,39,2543,Location 2543,1,170965,0.515155264332654,1,0,0,0.000000000000000,,323924.9566,5805188.0021
15,40,Location 40,1,40716,0.566705939868016,2,0,0,0.000000000000000,,323803.0081,5805284.0227,160.000000000000000,40,2543,Location 2543,1,170965,0.515155264332654,1,0,0,0.000000000000000,,323924.9566,5805188.0021
16,39,Location 39,1,170965,0.577677019815426,1,0,0,0.000000000000000,,323918.486700001,5805181.9793,160.000000000000000,39,2547,Location 2547,1,179596,0.825383601056906,2,0,0,0.000000000000000,,323782.9876,5805191.5027
17,40,Location 40,1,40716,0.566705939868016,2,0,0,0.000000000000000,,323803.0081,5805284.0227,160.000000000000000,40,2547,Location 2547,1,179596,0.825383601056906,2,0,0,0.000000000000000,,323782.9876,5805191.5027
18,40,Location 40,1,40716,0.566705939868016,2,0,0,0.000000000000000,,323803.0081,5805284.0227,160.000000000000000,40,2582,Location 2582,1,42286,0.680874901466844,2,0,0,0.000000000000000,,323840.043000001,5805332.0563
19,43,Location 43,1,139880,0.981910163946164,2,0,0,0.000000000000000,,326160.5061,5805653.9972,160.000000000000000,43,2639,Location 2639,1,45455,0.049175707722453,1,0,0,0.000000000000000,,326155.0046,5805656.4916
20,47,Location 47,1,42028,0.683599870413702,1,0,0,0.000000000000000,,329283.967400001,5806014.0019,160.000000000000000,47,2700,Location 2700,1,232602,0.562230685662274,1,0,0,0.000000000000000,,329309.5096,5805989.502
21,51,Location 51,1,365845,0.903062651836325,1,0,0,0.000000000000000,,327776.478100001,5806089.9566,160.000000000000000,51,2699,Location 2699,1,1062342,0.486011454498406,1,0,0,0.000000000000000,,327808.232,5805995.0095
22,46,Location 46,1,191860,0.459861516602465,1,0,0,0.000000000000000,,323446.996899999,5805972.9505,160.000000000000000,46,2705,Location 2705,1,144543,0.342921241166690,1,0,0,0.000000000000000,,323392.4831,5806061.0336
23,48,Location 48,1,144543,0.533747739455575,1,0,0,0.000000000000000,,323399.0285,5806046.9663,160.000000000000000,48,2705,Location 2705,1,144543,0.342921241166690,1,0,0,0.000000000000000,,323392.4831,5806061.0336
24,53,Location 53,1,43917,0.004533800779976,2,0,0,0.000000000000000,,328339.4843,5806150.4912,160.000000000000000,53,2715,Location 2715,1,42472,0.839383767256710,2,0,0,0.000000000000000,,328335.502100001,5806132.9764
25,60,Location 60,1,639445,0.074910624717506,2,0,0,0.000000000000000,,323222.998000001,5806389.4965,160.000000000000000,60,2764,Location 2764,1,191857,0.093051713173569,2,0,0,0.000000000000000,,323184.056200001,5806431.0109
26,64,Location 64,1,191856,0.797720262600646,1,0,0,0.000000000000000,,323167.0034,5806507.0239,160.000000000000000,64,2764,Location 2764,1,191857,0.093051713173569,2,0,0,0.000000000000000,,323184.056200001,5806431.0109
27,67,Location 67,1,800945,0.563549248996482,2,0,0,0.000000000000000,,323190.0072,5806583.012,160.000000000000000,67,2764,Location 2764,1,191857,0.093051713173569,2,0,0,0.000000000000000,,323184.056200001,5806431.0109
28,64,Location 64,1,191856,0.797720262600646,1,0,0,0.000000000000000,,323167.0034,5806507.0239,160.000000000000000,64,2787,Location 2787,1,191856,0.472007631675866,2,0,0,0.000000000000000,,323151.011100002,5806558.9711
29,67,Location 67,1,800945,0.563549248996482,2,0,0,0.000000000000000,,323190.0072,5806583.012,160.000000000000000,67,2787,Location 2787,1,191856,0.472007631675866,2,0,0,0.000000000000000,,323151.011100002,5806558.9711
30,71,Location 71,1,874530,0.547697076711136,1,0,0,0.000000000000000,,323065.977100001,5806688.5258,160.000000000000000,71,2787,Location 2787,1,191856,0.472007631675866,2,0,0,0.000000000000000,,323151.011100002,5806558.9711
31,66,Location 66,1,43031,0.052834716957848,1,0,0,0.000000000000000,,325657.477700001,5806555.4875,160.000000000000000,66,2819,Location 2819,1,428946,0.409257720787907,1,0,0,0.000000000000000,,325662.9965,5806604.655
32,67,Location 67,1,800945,0.563549248996482,2,0,0,0.000000000000000,,323190.0072,5806583.012,160.000000000000000,67,2815,Location 2815,1,203243,0.154355185392935,2,0,0,0.000000000000000,,323060.0418,5806652.0405
33,71,Location 71,1,874530,0.547697076711136,1,0,0,0.000000000000000,,323065.977100001,5806688.5258,160.000000000000000,71,2815,Location 2815,1,203243,0.154355185392935,2,0,0,0.000000000000000,,323060.0418,5806652.0405
34,70,Location 70,1,39318,0.993516490510078,1,0,0,0.000000000000000,,324847.483600001,5806667.4613,160.000000000000000,70,2824,Location 2824,1,41757,0.762824749491465,1,0,0,0.000000000000000,,324847.505600001,5806683.0042
35,76,Location 76,1,856193,0.664831234399677,1,0,0,0.000000000000000,,322335.517300001,5806800.526,160.000000000000000,76,2832,Location 2832,1,856193,0.770066498845928,2,0,0,0.000000000000000,,322398.9936,5806762.4862
36,75,Location 75,1,42949,0.051278105743795,2,0,0,0.000000000000000,,324039.999700001,5806775.9689,160.000000000000000,75,2844,Location 2844,1,40817,0.027388798552665,1,0,0,0.000000000000000,,324038.985100001,5806781.9986
37,83,Location 83,1,179360,0.837950656928217,2,0,0,0.000000000000000,,322906.515000001,5806937.0421,160.000000000000000,83,2863,Location 2863,1,179360,0.202237965311333,1,0,0,0.000000000000000,,322837.9685,5806930.0128
38,84,Location 84,1,37830,0.477197702515527,2,0,0,0.000000000000000,,322672.477700002,5806966.5151,160.000000000000000,84,2877,Location 2877,1,37830,0.323752279193689,2,0,0,0.000000000000000,,322643.040100001,5806978.9781
39,86,Location 86,1,439182,0.128540933773110,1,0,0,0.000000000000000,,322196.0396,5807011.0499,160.000000000000000,86,2884,Location 2884,1,401552,0.947028071891654,2,0,0,0.000000000000000,,322119.522300001,5807005.0066
40,87,Location 87,1,877384,0.722702321098841,2,0,0,0.000000000000000,,322053.497900001,5807015.5098,160.000000000000000,87,2884,Location 2884,1,401552,0.947028071891654,2,0,0,0.000000000000000,,322119.522300001,5807005.0066
41,85,Location 85,1,39407,0.855958542972235,2,0,0,0.000000000000000,,322420.984200001,5807009.4812,160.000000000000000,85,2882,Location 2882,1,39455,0.780038143671271,2,0,0,0.000000000000000,,322303.985000001,5807013.0593
42,86,Location 86,1,439182,0.128540933773110,1,0,0,0.000000000000000,,322196.0396,5807011.0499,160.000000000000000,86,2882,Location 2882,1,39455,0.780038143671271,2,0,0,0.000000000000000,,322303.985000001,5807013.0593
43,85,Location 85,1,39407,0.855958542972235,2,0,0,0.000000000000000,,322420.984200001,5807009.4812,160.000000000000000,85,2892,Location 2892,1,41622,0.625250423316165,1,0,0,0.000000000000000,,322451.722200002,5807013.9762
44,90,Location 90,1,481385,0.434518152147379,1,0,0,0.000000000000000,,321749.474600001,5807207.5255,160.000000000000000,90,2915,Location 2915,1,94293,0.091622230471179,1,0,0,0.000000000000000,,321798.018000001,5807154.9618
45,90,Location 90,1,481385,0.434518152147379,1,0,0,0.000000000000000,,321749.474600001,5807207.5255,160.000000000000000,90,2927,Location 2927,1,481385,0.848187721732123,1,0,0,0.000000000000000,,321718.9721,5807231.9499
46,96,Location 96,1,1011895,0.797603776412399,2,0,0,0.000000000000000,,328480.0146,5807363.0398,160.000000000000000,96,2939,Location 2939,1,1011890,0.601759369376037,1,0,0,0.000000000000000,,328481.0287,5807298.0046
