                      row                column          cor            p
1                  ln_Bus      ln_Centroid_Mode  0.655429657 0.000000e+00
2                  ln_Bus          X10_PropComm  0.361766991 6.725479e-06
3        ln_Centroid_Mode          X10_PropComm  0.187655561 2.284371e-02
4                  ln_Bus           X11_Balance  0.291383118 3.426819e-04
5        ln_Centroid_Mode           X11_Balance  0.262312361 1.329139e-03
6            X10_PropComm           X11_Balance  0.478228457 9.015879e-10
7                  ln_Bus         X12_LUEntropy  0.280888236 5.686058e-04
8        ln_Centroid_Mode         X12_LUEntropy  0.126117842 1.279769e-01
9            X10_PropComm         X12_LUEntropy  0.480499209 7.312453e-10
10            X11_Balance         X12_LUEntropy  0.318204711 8.576892e-05
11                 ln_Bus        X13_PedConnect  0.052858443 5.248753e-01
12       ln_Centroid_Mode        X13_PedConnect  0.228546811 5.364725e-03
13           X10_PropComm        X13_PedConnect  0.115629053 1.631237e-01
14            X11_Balance        X13_PedConnect  0.016798292 8.399605e-01
15          X12_LUEntropy        X13_PedConnect  0.105915258 2.016777e-01
16                 ln_Bus               X14_PBN -0.186659443 2.359016e-02
17       ln_Centroid_Mode               X14_PBN -0.162681591 4.898682e-02
18           X10_PropComm               X14_PBN  0.120017563 1.476303e-01
19            X11_Balance               X14_PBN  0.040807495 6.236066e-01
20          X12_LUEntropy               X14_PBN -0.028022989 7.361724e-01
21         X13_PedConnect               X14_PBN  0.276217180 7.079108e-04
22                 ln_Bus         X15_Parkiteer  0.400893761 4.859787e-07
23       ln_Centroid_Mode         X15_Parkiteer  0.375684301 2.745811e-06
24           X10_PropComm         X15_Parkiteer  0.125573324 1.296449e-01
25            X11_Balance         X15_Parkiteer  0.098784410 2.338944e-01
26          X12_LUEntropy         X15_Parkiteer  0.096258468 2.461285e-01
27         X13_PedConnect         X15_Parkiteer -0.082598089 3.199308e-01
28                X14_PBN         X15_Parkiteer -0.126327478 1.273392e-01
29                 ln_Bus            X16_ACDist -0.413126041 1.989300e-07
30       ln_Centroid_Mode            X16_ACDist -0.605697436 4.440892e-16
31           X10_PropComm            X16_ACDist -0.248822896 2.373587e-03
32            X11_Balance            X16_ACDist -0.240138810 3.393256e-03
33          X12_LUEntropy            X16_ACDist -0.129235972 1.187419e-01
34         X13_PedConnect            X16_ACDist -0.268865531 9.918018e-04
35                X14_PBN            X16_ACDist  0.051051458 5.391607e-01
36          X15_Parkiteer            X16_ACDist -0.170908366 3.847880e-02
37                 ln_Bus           X17_ACCount  0.455897143 6.529357e-09
38       ln_Centroid_Mode           X17_ACCount  0.371673589 3.569828e-06
39           X10_PropComm           X17_ACCount  0.231727857 4.741183e-03
40            X11_Balance           X17_ACCount  0.035393674 6.704026e-01
41          X12_LUEntropy           X17_ACCount  0.220389466 7.311063e-03
42         X13_PedConnect           X17_ACCount  0.011986297 8.854289e-01
43                X14_PBN           X17_ACCount -0.235573895 4.074481e-03
44          X15_Parkiteer           X17_ACCount  0.234113125 4.317084e-03
45             X16_ACDist           X17_ACCount -0.632039499 0.000000e+00
46                 ln_Bus           X19_Parking  0.239304584 3.509506e-03
47       ln_Centroid_Mode           X19_Parking  0.243167544 2.999791e-03
48           X10_PropComm           X19_Parking -0.007818473 9.251202e-01
49            X11_Balance           X19_Parking -0.036938651 6.569083e-01
50          X12_LUEntropy           X19_Parking  0.116088379 1.614474e-01
51         X13_PedConnect           X19_Parking -0.050926657 5.401544e-01
52                X14_PBN           X19_Parking -0.112768783 1.738556e-01
