                      row                column           cor                        p
1            ln_Patronage          X26_PropComm  0.4581950497 0.0000000000021183055310
2            ln_Patronage           X28_Balance  0.2647484418 0.0000954574423883691736
3            X26_PropComm           X28_Balance  0.5836547509 0.0000000000000000000000
4            ln_Patronage         X29_LUEntropy  0.2467710594 0.0002855499681400086587
5            X26_PropComm         X29_LUEntropy  0.3424008892 0.0000003199496219075115
6             X28_Balance         X29_LUEntropy  0.0718461743 0.2977560410480066810379
7            ln_Patronage        X30_HousingDiv  0.3102630630 0.0000041258645775421599
8            X26_PropComm        X30_HousingDiv  0.3411014685 0.0000003568411908183577
9             X28_Balance        X30_HousingDiv  0.1680185712 0.0143109726452339547365
10          X29_LUEntropy        X30_HousingDiv  0.3429898990 0.0000003044583014588653
11           ln_Patronage        X31_PedConnect  0.4381286167 0.0000000000235025332529
12           X26_PropComm        X31_PedConnect  0.4879165401 0.0000000000000444089210
13            X28_Balance        X31_PedConnect  0.3391502232 0.0000004199895289325184
14          X29_LUEntropy        X31_PedConnect  0.2366408011 0.0005115125466490511030
15         X30_HousingDiv        X31_PedConnect  0.5281901767 0.0000000000000000000000
16           ln_Patronage               X32_PBN  0.2226969936 0.0010968131663420255251
17           X26_PropComm               X32_PBN  0.1506906075 0.0282600089219737782287
18            X28_Balance               X32_PBN  0.1069047567 0.1207090533832251288970
19          X29_LUEntropy               X32_PBN  0.2635106755 0.0001032007618531061155
20         X30_HousingDiv               X32_PBN  0.2732339670 0.0000553479744702656262
21         X31_PedConnect               X32_PBN  0.2331224344 0.0006227444768449608148
22           ln_Patronage         X33_DestScore  0.4647954982 0.0000000000009268141810
23           X26_PropComm         X33_DestScore  0.5295914366 0.0000000000000000000000
24            X28_Balance         X33_DestScore  0.2489804174 0.0002506374776498621060
25          X29_LUEntropy         X33_DestScore  0.2751936089 0.0000486758990581037665
26         X30_HousingDiv         X33_DestScore  0.5819752513 0.0000000000000000000000
27         X31_PedConnect         X33_DestScore  0.5048776721 0.0000000000000039968029
28                X32_PBN         X33_DestScore  0.1705455547 0.0128917851851699793997
29           ln_Patronage         X35_Parkiteer  0.2819068682 0.0000311149636211816016
30           X26_PropComm         X35_Parkiteer  0.1049119370 0.1278300906300120498571
31            X28_Balance         X35_Parkiteer  0.0148995012 0.8292454758203353648582
32          X29_LUEntropy         X35_Parkiteer  0.0946562836 0.1697047967306424265388
33         X30_HousingDiv         X35_Parkiteer  0.1106331896 0.1082180222576112349486
34         X31_PedConnect         X35_Parkiteer  0.1161942263 0.0915011564605290317331
35                X32_PBN         X35_Parkiteer  0.0173460694 0.8017458763538798383053
36          X33_DestScore         X35_Parkiteer  0.2039073387 0.0028563931119927055136
37           ln_Patronage            X37_ACDist -0.3210556315 0.0000018060908786310392
38           X26_PropComm            X37_ACDist -0.2857821136 0.0000239049782218003770
39            X28_Balance            X37_ACDist -0.2712173682 0.0000631058092768199685
40          X29_LUEntropy            X37_ACDist -0.1307093777 0.0574246008680798780688
41         X30_HousingDiv            X37_ACDist -0.4356259894 0.0000000000313851167277
42         X31_PedConnect            X37_ACDist -0.3287003044 0.0000009863959209432949
43                X32_PBN            X37_ACDist -0.1964753741 0.0040806856155781723317
