,row,column,cor,p
1,ln_Patronage,X26_PropComm,0.396202007,2.21E-09
2,ln_Patronage,X28_Balance,0.386699506,5.70E-09
3,X26_PropComm,X28_Balance,0.523945095,2.22E-16
4,ln_Patronage,X29_LUEntropy,0.13127951,5.63E-02
5,X26_PropComm,X29_LUEntropy,0.386839455,5.62E-09
6,X28_Balance,X29_LUEntropy,0.183027505,7.55E-03
7,ln_Patronage,X31_PedConnect,0.470387596,4.54E-13
8,X26_PropComm,X31_PedConnect,0.422374916,1.40E-10
9,X28_Balance,X31_PedConnect,0.348102287,1.97E-07
10,X29_LUEntropy,X31_PedConnect,0.172737552,1.18E-02
11,ln_Patronage,X32_PBN,0.033841078,6.24E-01
12,X26_PropComm,X32_PBN,0.20371618,2.88E-03
13,X28_Balance,X32_PBN,0.219280814,1.31E-03
14,X29_LUEntropy,X32_PBN,0.035057695,6.12E-01
15,X31_PedConnect,X32_PBN,0.34553963,2.45E-07
16,ln_Patronage,X33_DestScore,0.358339786,8.05E-08
17,X26_PropComm,X33_DestScore,0.186867503,6.36E-03
18,X28_Balance,X33_DestScore,0.103842662,1.32E-01
19,X29_LUEntropy,X33_DestScore,0.232095101,6.59E-04
20,X31_PedConnect,X33_DestScore,0.507372169,2.89E-15
21,X32_PBN,X33_DestScore,0.148377336,3.08E-02
22,ln_Patronage,X35_Parkiteer,0.230683636,7.13E-04
23,X26_PropComm,X35_Parkiteer,0.031569716,6.48E-01
24,X28_Balance,X35_Parkiteer,-0.032762491,6.35E-01
25,X29_LUEntropy,X35_Parkiteer,0.103095167,1.35E-01
26,X31_PedConnect,X35_Parkiteer,-0.138557946,4.39E-02
27,X32_PBN,X35_Parkiteer,-0.1194168,8.28E-02
28,X33_DestScore,X35_Parkiteer,-0.080685335,2.42E-01
29,ln_Patronage,X37_ACDist,-0.537677281,0.00E+00
30,X26_PropComm,X37_ACDist,-0.258779513,1.39E-04
31,X28_Balance,X37_ACDist,-0.201922259,3.15E-03
32,X29_LUEntropy,X37_ACDist,-0.110166608,1.10E-01
33,X31_PedConnect,X37_ACDist,-0.295346379,1.23E-05
34,X32_PBN,X37_ACDist,0.003062263,9.65E-01
35,X33_DestScore,X37_ACDist,-0.303523122,6.80E-06
36,X35_Parkiteer,X37_ACDist,-0.087902134,2.02E-01
37,ln_Patronage,X38_ACCount,0.353566485,1.23E-07
38,X26_PropComm,X38_ACCount,0.266423864,8.58E-05
39,X28_Balance,X38_ACCount,0.091566067,1.84E-01
40,X29_LUEntropy,X38_ACCount,0.219526101,1.30E-03
41,X31_PedConnect,X38_ACCount,0.132370559,5.43E-02
42,X32_PBN,X38_ACCount,-0.168660279,1.39E-02
43,X33_DestScore,X38_ACCount,0.275190604,4.87E-05
44,X35_Parkiteer,X38_ACCount,0.193744142,4.64E-03
45,X37_ACDist,X38_ACCount,-0.594049587,0.00E+00
46,ln_Patronage,X39._FTZ,0.327158674,1.12E-06
47,X26_PropComm,X39._FTZ,0.427609546,7.80E-11
48,X28_Balance,X39._FTZ,0.34978433,1.70E-07
49,X29_LUEntropy,X39._FTZ,-0.079515807,2.49E-01
50,X31_PedConnect,X39._FTZ,0.36507516,4.39E-08
51,X32_PBN,X39._FTZ,0.164799537,1.63E-02
52,X33_DestScore,X39._FTZ,0.132658799,5.38E-02
53,X35_Parkiteer,X39._FTZ,-0.084118657,2.23E-01
54,X37_ACDist,X39._FTZ,-0.055058777,4.25E-01
55,X38_ACCount,X39._FTZ,-0.005121753,9.41E-01
56,ln_Patronage,X40_Parking,0.165344633,1.60E-02
57,X26_PropComm,X40_Parking,0.019697919,7.76E-01
58,X28_Balance,X40_Parking,-0.091263558,1.86E-01
59,X29_LUEntropy,X40_Parking,0.129136473,6.05E-02
60,X31_PedConnect,X40_Parking,-0.133713869,5.19E-02
61,X32_PBN,X40_Parking,-0.163984844,1.69E-02
62,X33_DestScore,X40_Parking,0.00914154,8.95E-01
63,X35_Parkiteer,X40_Parking,0.233465483,6.11E-04
64,X37_ACDist,X40_Parking,-0.098829431,1.52E-01
65,X38_ACCount,X40_Parking,0.116304726,9.12E-02
66,X39._FTZ,X40_Parking,-0.091023022,1.87E-01
67,ln_Patronage,X42_PropRural,-0.01259937,8.55E-01
68,X26_PropComm,X42_PropRural,-0.092287173,1.81E-01
69,X28_Balance,X42_PropRural,-0.067342586,3.29E-01
70,X29_LUEntropy,X42_PropRural,-0.13055195,5.77E-02
71,X31_PedConnect,X42_PropRural,-0.032619364,6.37E-01
72,X32_PBN,X42_PropRural,-0.018404886,7.90E-01
73,X33_DestScore,X42_PropRural,-0.084444706,2.21E-01
74,X35_Parkiteer,X42_PropRural,-0.08365912,2.25E-01
75,X37_ACDist,X42_PropRural,0.059459167,3.89E-01
76,X38_ACCount,X42_PropRural,-0.103138715,1.34E-01
77,X39._FTZ,X42_PropRural,-0.017519556,8.00E-01
78,X40_Parking,X42_PropRural,-0.071410617,3.01E-01
79,ln_Patronage,X43_EmpAccess,0.419886271,1.83E-10
80,X26_PropComm,X43_EmpAccess,0.318384025,2.22E-06
81,X28_Balance,X43_EmpAccess,0.405354852,8.65E-10
82,X29_LUEntropy,X43_EmpAccess,0.086255011,2.11E-01
83,X31_PedConnect,X43_EmpAccess,0.653243761,0.00E+00
84,X32_PBN,X43_EmpAccess,0.257013144,1.54E-04
85,X33_DestScore,X43_EmpAccess,0.369324558,2.98E-08
86,X35_Parkiteer,X43_EmpAccess,-0.373335457,2.05E-08
87,X37_ACDist,X43_EmpAccess,-0.252015247,2.09E-04
88,X38_ACCount,X43_EmpAccess,0.029458274,6.70E-01
89,X39._FTZ,X43_EmpAccess,0.28316361,2.86E-05
90,X40_Parking,X43_EmpAccess,-0.226312917,9.04E-04
91,X42_PropRural,X43_EmpAccess,-0.089578762,1.94E-01
92,ln_Patronage,X44_C_LOS,0.355670465,1.02E-07
93,X26_PropComm,X44_C_LOS,-0.078397212,2.56E-01
94,X28_Balance,X44_C_LOS,0.001995746,9.77E-01
95,X29_LUEntropy,X44_C_LOS,0.075270099,2.75E-01
96,X31_PedConnect,X44_C_LOS,0.090251761,1.91E-01
97,X32_PBN,X44_C_LOS,-0.057327623,4.06E-01
98,X33_DestScore,X44_C_LOS,0.180970166,8.26E-03
99,X35_Parkiteer,X44_C_LOS,0.044201563,5.22E-01
100,X37_ACDist,X44_C_LOS,-0.253311091,1.93E-04
101,X38_ACCount,X44_C_LOS,0.101543284,1.41E-01
102,X39._FTZ,X44_C_LOS,-0.214387672,1.69E-03
103,X40_Parking,X44_C_LOS,0.123814342,7.20E-02
104,X42_PropRural,X44_C_LOS,0.109672543,1.11E-01
105,X43_EmpAccess,X44_C_LOS,0.201759295,3.17E-03
106,ln_Patronage,X45_O_Bus_LOS,0.350631265,1.58E-07
107,X26_PropComm,X45_O_Bus_LOS,0.28126968,3.25E-05
108,X28_Balance,X45_O_Bus_LOS,0.035218794,6.10E-01
109,X29_LUEntropy,X45_O_Bus_LOS,0.315537257,2.77E-06
110,X31_PedConnect,X45_O_Bus_LOS,0.020568408,7.66E-01
111,X32_PBN,X45_O_Bus_LOS,-0.17247883,1.19E-02
112,X33_DestScore,X45_O_Bus_LOS,0.14076997,4.06E-02
113,X35_Parkiteer,X45_O_Bus_LOS,0.452739088,4.14E-12
114,X37_ACDist,X45_O_Bus_LOS,-0.266317864,8.64E-05
115,X38_ACCount,X45_O_Bus_LOS,0.364794348,4.51E-08
116,X39._FTZ,X45_O_Bus_LOS,-0.078483035,2.55E-01
117,X40_Parking,X45_O_Bus_LOS,0.258593187,1.40E-04
118,X42_PropRural,X45_O_Bus_LOS,-0.05533317,4.23E-01
119,X43_EmpAccess,X45_O_Bus_LOS,-0.16757708,1.46E-02
120,X44_C_LOS,X45_O_Bus_LOS,0.127416928,6.41E-02
121,ln_Patronage,X46_O_Tram_LOS,0.355767261,1.01E-07
122,X26_PropComm,X46_O_Tram_LOS,0.423300762,1.26E-10
123,X28_Balance,X46_O_Tram_LOS,0.474982897,2.50E-13
124,X29_LUEntropy,X46_O_Tram_LOS,-0.03672129,5.95E-01
125,X31_PedConnect,X46_O_Tram_LOS,0.499174931,9.33E-15
126,X32_PBN,X46_O_Tram_LOS,0.357261189,8.86E-08
127,X33_DestScore,X46_O_Tram_LOS,0.181716417,7.99E-03
128,X35_Parkiteer,X46_O_Tram_LOS,-0.139634546,4.22E-02
129,X37_ACDist,X46_O_Tram_LOS,-0.115439072,9.36E-02
130,X38_ACCount,X46_O_Tram_LOS,0.163615506,1.71E-02
131,X39._FTZ,X46_O_Tram_LOS,0.473320257,3.10E-13
132,X40_Parking,X46_O_Tram_LOS,-0.13518608,4.93E-02
133,X42_PropRural,X46_O_Tram_LOS,-0.028243583,6.83E-01
134,X43_EmpAccess,X46_O_Tram_LOS,0.401191048,1.33E-09
135,X44_C_LOS,X46_O_Tram_LOS,-0.115767417,9.27E-02
136,X45_O_Bus_LOS,X46_O_Tram_LOS,-0.130406614,5.80E-02
137,ln_Patronage,X52_PropOS,0.28748593,2.13E-05
138,X26_PropComm,X52_PropOS,0.331931184,7.60E-07
139,X28_Balance,X52_PropOS,0.164807394,1.63E-02
140,X29_LUEntropy,X52_PropOS,0.144753405,3.52E-02
141,X31_PedConnect,X52_PropOS,0.170701928,1.28E-02
142,X32_PBN,X52_PropOS,0.195457117,4.28E-03
143,X33_DestScore,X52_PropOS,0.023832483,7.30E-01
144,X35_Parkiteer,X52_PropOS,0.042628837,5.37E-01
145,X37_ACDist,X52_PropOS,-0.29702148,1.09E-05
146,X38_ACCount,X52_PropOS,0.116055643,9.19E-02
147,X39._FTZ,X52_PropOS,0.076345281,2.68E-01
148,X40_Parking,X52_PropOS,-0.033932675,6.23E-01
149,X42_PropRural,X52_PropOS,-0.091958185,1.82E-01
150,X43_EmpAccess,X52_PropOS,0.213070796,1.81E-03
151,X44_C_LOS,X52_PropOS,0.127151169,6.46E-02
152,X45_O_Bus_LOS,X52_PropOS,0.119335047,8.30E-02
153,X46_O_Tram_LOS,X52_PropOS,0.156535649,2.26E-02
154,ln_Patronage,X53_PropBach,0.347969459,1.99E-07
155,X26_PropComm,X53_PropBach,-0.0126132,8.55E-01
156,X28_Balance,X53_PropBach,0.24999085,2.36E-04
157,X29_LUEntropy,X53_PropBach,-0.159177917,2.04E-02
158,X31_PedConnect,X53_PropBach,0.424783045,1.07E-10
159,X32_PBN,X53_PropBach,0.189472888,5.65E-03
160,X33_DestScore,X53_PropBach,0.371968962,2.33E-08
161,X35_Parkiteer,X53_PropBach,-0.278687356,3.86E-05
162,X37_ACDist,X53_PropBach,-0.315396294,2.80E-06
163,X38_ACCount,X53_PropBach,-0.003222669,9.63E-01
164,X39._FTZ,X53_PropBach,0.099886232,1.47E-01
165,X40_Parking,X53_PropBach,-0.144284259,3.58E-02
166,X42_PropRural,X53_PropBach,-0.028576194,6.79E-01
167,X43_EmpAccess,X53_PropBach,0.624460856,0.00E+00
168,X44_C_LOS,X53_PropBach,0.282080993,3.08E-05
169,X45_O_Bus_LOS,X53_PropBach,-0.254667254,1.78E-04
170,X46_O_Tram_LOS,X53_PropBach,0.1705249,1.29E-02
171,X52_PropOS,X53_PropBach,0.036592469,5.96E-01
172,ln_Patronage,X49_censored_PropFTE,-0.008614033,9.01E-01
173,X26_PropComm,X49_censored_PropFTE,-0.117033477,8.92E-02
174,X28_Balance,X49_censored_PropFTE,0.030826987,6.55E-01
175,X29_LUEntropy,X49_censored_PropFTE,-0.019873488,7.74E-01
176,X31_PedConnect,X49_censored_PropFTE,0.285138838,2.50E-05
177,X32_PBN,X49_censored_PropFTE,0.010602793,8.78E-01
178,X33_DestScore,X49_censored_PropFTE,0.040001595,5.62E-01
179,X35_Parkiteer,X49_censored_PropFTE,-0.151173077,2.78E-02
180,X37_ACDist,X49_censored_PropFTE,-0.025123967,7.16E-01
181,X38_ACCount,X49_censored_PropFTE,-0.035927136,6.03E-01
182,X39._FTZ,X49_censored_PropFTE,-0.191647224,5.11E-03
183,X40_Parking,X49_censored_PropFTE,-0.228648214,7.96E-04
184,X42_PropRural,X49_censored_PropFTE,0.011801855,8.64E-01
185,X43_EmpAccess,X49_censored_PropFTE,0.324973723,1.33E-06
186,X44_C_LOS,X49_censored_PropFTE,0.075191766,2.76E-01
187,X45_O_Bus_LOS,X49_censored_PropFTE,-0.236449378,5.17E-04
188,X46_O_Tram_LOS,X49_censored_PropFTE,-0.008976064,8.97E-01
189,X52_PropOS,X49_censored_PropFTE,-0.126055932,6.70E-02
190,X53_PropBach,X49_censored_PropFTE,0.308027975,4.88E-06
191,ln_Patronage,X50_censored_MeanSize,-0.091039697,1.87E-01
192,X26_PropComm,X50_censored_MeanSize,-0.193030677,4.79E-03
193,X28_Balance,X50_censored_MeanSize,-0.093953308,1.73E-01
194,X29_LUEntropy,X50_censored_MeanSize,-0.114204562,9.72E-02
195,X31_PedConnect,X50_censored_MeanSize,-0.447829582,7.49E-12
196,X32_PBN,X50_censored_MeanSize,-0.193714717,4.64E-03
197,X33_DestScore,X50_censored_MeanSize,-0.365206641,4.34E-08
198,X35_Parkiteer,X50_censored_MeanSize,0.229795107,7.48E-04
199,X37_ACDist,X50_censored_MeanSize,0.176598149,9.98E-03
200,X38_ACCount,X50_censored_MeanSize,-0.132592333,5.39E-02
201,X39._FTZ,X50_censored_MeanSize,-0.142028294,3.88E-02
202,X40_Parking,X50_censored_MeanSize,0.194873865,4.40E-03
203,X42_PropRural,X50_censored_MeanSize,-0.032968045,6.33E-01
204,X43_EmpAccess,X50_censored_MeanSize,-0.429639684,6.21E-11
205,X44_C_LOS,X50_censored_MeanSize,-0.104401742,1.30E-01
206,X45_O_Bus_LOS,X50_censored_MeanSize,0.171430229,1.24E-02
207,X46_O_Tram_LOS,X50_censored_MeanSize,-0.22235808,1.12E-03
208,X52_PropOS,X50_censored_MeanSize,0.095484267,1.66E-01
209,X53_PropBach,X50_censored_MeanSize,-0.224274189,1.01E-03
210,X49_censored_PropFTE,X50_censored_MeanSize,-0.463297482,1.12E-12
