,row,column,cor,p
1,ln_Patronage,X26_PropComm,0.342428267,5.71E-07
2,ln_Patronage,X28_Balance,0.279017041,5.55E-05
3,X26_PropComm,X28_Balance,0.422447342,3.43E-10
4,ln_Patronage,X29_LUEntropy,0.254485598,2.48E-04
5,X26_PropComm,X29_LUEntropy,0.469260828,1.64E-12
6,X28_Balance,X29_LUEntropy,0.253241043,2.67E-04
7,ln_Patronage,X31_PedConnect,0.356796185,1.74E-07
8,X26_PropComm,X31_PedConnect,0.295279912,1.90E-05
9,X28_Balance,X31_PedConnect,0.193340901,5.71E-03
10,X29_LUEntropy,X31_PedConnect,0.24378708,4.57E-04
11,ln_Patronage,X32_PBN,-0.083549676,2.36E-01
12,X26_PropComm,X32_PBN,0.136643736,5.19E-02
13,X28_Balance,X32_PBN,0.141710033,4.37E-02
14,X29_LUEntropy,X32_PBN,0.071243299,3.12E-01
15,X31_PedConnect,X32_PBN,0.288802494,2.93E-05
16,ln_Patronage,X33_DestScore,0.289872852,2.73E-05
17,X26_PropComm,X33_DestScore,0.134172845,5.63E-02
18,X28_Balance,X33_DestScore,0.018963934,7.88E-01
19,X29_LUEntropy,X33_DestScore,0.240113114,5.59E-04
20,X31_PedConnect,X33_DestScore,0.500825184,2.75E-14
21,X32_PBN,X33_DestScore,0.124706537,7.63E-02
22,ln_Patronage,X35_Parkiteer,0.278360742,5.79E-05
23,X26_PropComm,X35_Parkiteer,0.067567232,3.38E-01
24,X28_Balance,X35_Parkiteer,0.000839506,9.91E-01
25,X29_LUEntropy,X35_Parkiteer,0.103874008,1.40E-01
26,X31_PedConnect,X35_Parkiteer,-0.14456762,3.96E-02
27,X32_PBN,X35_Parkiteer,-0.116542732,9.77E-02
28,X33_DestScore,X35_Parkiteer,-0.100272621,1.55E-01
29,ln_Patronage,X37_ACDist,-0.506338279,1.29E-14
30,X26_PropComm,X37_ACDist,-0.240753122,5.40E-04
31,X28_Balance,X37_ACDist,-0.186680636,7.66E-03
32,X29_LUEntropy,X37_ACDist,-0.117677024,9.45E-02
33,X31_PedConnect,X37_ACDist,-0.254902397,2.42E-04
34,X32_PBN,X37_ACDist,0.047287602,5.03E-01
35,X33_DestScore,X37_ACDist,-0.216038055,1.96E-03
36,X35_Parkiteer,X37_ACDist,-0.062518867,3.76E-01
37,ln_Patronage,X38_ACCount,0.411928737,1.02E-09
38,X26_PropComm,X38_ACCount,0.235837022,7.06E-04
39,X28_Balance,X38_ACCount,0.053615692,4.47E-01
40,X29_LUEntropy,X38_ACCount,0.238724299,6.04E-04
41,X31_PedConnect,X38_ACCount,0.079221413,2.61E-01
42,X32_PBN,X38_ACCount,-0.211870015,2.41E-03
43,X33_DestScore,X38_ACCount,0.259287598,1.87E-04
