,row,column,cor,p
1,ln_Patronage,X26_PropComm,4.31E-01,5.53E-11
2,ln_Patronage,X28_Balance,1.54E-01,2.46E-02
3,X26_PropComm,X28_Balance,4.46E-01,9.10E-12
4,ln_Patronage,X29_LUEntropy,8.39E-02,2.24E-01
5,X26_PropComm,X29_LUEntropy,3.09E-01,4.52E-06
6,X28_Balance,X29_LUEntropy,3.08E-02,6.56E-01
7,ln_Patronage,X31_PedConnect,3.12E-01,3.68E-06
8,X26_PropComm,X31_PedConnect,6.52E-01,0.00E+00
9,X28_Balance,X31_PedConnect,3.19E-01,2.06E-06
10,X29_LUEntropy,X31_PedConnect,1.96E-01,4.11E-03
11,ln_Patronage,X32_PBN,2.35E-01,5.69E-04
12,X26_PropComm,X32_PBN,1.69E-01,1.35E-02
13,X28_Balance,X32_PBN,2.49E-01,2.48E-04
14,X29_LUEntropy,X32_PBN,7.08E-02,3.05E-01
15,X31_PedConnect,X32_PBN,2.53E-01,2.03E-04
16,ln_Patronage,X33_DestScore,2.89E-01,1.94E-05
17,X26_PropComm,X33_DestScore,2.87E-01,2.21E-05
18,X28_Balance,X33_DestScore,-6.13E-02,3.75E-01
19,X29_LUEntropy,X33_DestScore,1.69E-01,1.37E-02
20,X31_PedConnect,X33_DestScore,4.68E-01,5.83E-13
21,X32_PBN,X33_DestScore,5.66E-02,4.12E-01
22,ln_Patronage,X37_ACDist,-1.82E-01,7.94E-03
23,X26_PropComm,X37_ACDist,-3.32E-01,7.78E-07
24,X28_Balance,X37_ACDist,-2.89E-01,1.92E-05
25,X29_LUEntropy,X37_ACDist,-2.02E-01,3.16E-03
26,X31_PedConnect,X37_ACDist,-2.68E-01,7.56E-05
27,X32_PBN,X37_ACDist,-1.17E-01,8.95E-02
28,X33_DestScore,X37_ACDist,-2.35E-01,5.47E-04
29,ln_Patronage,X38_ACCount,1.89E-01,5.71E-03
30,X26_PropComm,X38_ACCount,3.89E-01,4.74E-09
31,X28_Balance,X38_ACCount,1.55E-01,2.44E-02
32,X29_LUEntropy,X38_ACCount,2.52E-01,2.07E-04
33,X31_PedConnect,X38_ACCount,2.72E-01,6.11E-05
34,X32_PBN,X38_ACCount,6.57E-03,9.24E-01
35,X33_DestScore,X38_ACCount,2.32E-01,6.54E-04
36,X37_ACDist,X38_ACCount,-5.02E-01,5.77E-15
37,ln_Patronage,X39._FTZ,4.07E-01,7.03E-10
38,X26_PropComm,X39._FTZ,4.10E-01,5.47E-10
39,X28_Balance,X39._FTZ,4.45E-01,1.11E-11
40,X29_LUEntropy,X39._FTZ,-1.91E-01,5.33E-03
41,X31_PedConnect,X39._FTZ,2.92E-01,1.56E-05
42,X32_PBN,X39._FTZ,2.00E-01,3.43E-03
43,X33_DestScore,X39._FTZ,1.45E-01,3.51E-02
44,X37_ACDist,X39._FTZ,-5.85E-02,3.96E-01
45,X38_ACCount,X39._FTZ,-3.53E-03,9.59E-01
46,ln_Patronage,X40_Parking,6.49E-02,3.47E-01
47,X26_PropComm,X40_Parking,-2.22E-02,7.48E-01
48,X28_Balance,X40_Parking,1.79E-02,7.96E-01
49,X29_LUEntropy,X40_Parking,1.41E-01,4.01E-02
50,X31_PedConnect,X40_Parking,-2.40E-02,7.28E-01
51,X32_PBN,X40_Parking,1.08E-01,1.16E-01
52,X33_DestScore,X40_Parking,1.13E-01,1.02E-01
53,X37_ACDist,X40_Parking,-9.38E-02,1.74E-01
54,X38_ACCount,X40_Parking,1.35E-01,5.04E-02
55,X39._FTZ,X40_Parking,-1.91E-02,7.82E-01
56,ln_Patronage,X41_PropUrban,-5.47E-02,4.28E-01
57,X26_PropComm,X41_PropUrban,-6.51E-02,3.45E-01
58,X28_Balance,X41_PropUrban,-3.97E-01,2.10E-09
59,X29_LUEntropy,X41_PropUrban,-3.54E-01,1.16E-07
60,X31_PedConnect,X41_PropUrban,-3.75E-02,5.87E-01
61,X32_PBN,X41_PropUrban,-2.04E-01,2.90E-03
62,X33_DestScore,X41_PropUrban,2.02E-01,3.13E-03
63,X37_ACDist,X41_PropUrban,-1.03E-01,1.36E-01
64,X38_ACCount,X41_PropUrban,1.23E-01,7.43E-02
65,X39._FTZ,X41_PropUrban,-2.64E-01,9.70E-05
66,X40_Parking,X41_PropUrban,-5.56E-05,9.99E-01
67,ln_Patronage,X43_EmpAccess,3.53E-01,1.34E-07
68,X26_PropComm,X43_EmpAccess,5.07E-01,3.11E-15
69,X28_Balance,X43_EmpAccess,4.05E-01,8.58E-10
70,X29_LUEntropy,X43_EmpAccess,1.87E-01,6.34E-03
71,X31_PedConnect,X43_EmpAccess,7.03E-01,0.00E+00
72,X32_PBN,X43_EmpAccess,3.88E-01,4.79E-09
73,X33_DestScore,X43_EmpAccess,3.46E-01,2.32E-07
74,X37_ACDist,X43_EmpAccess,-3.68E-01,3.31E-08
75,X38_ACCount,X43_EmpAccess,2.68E-01,7.97E-05
76,X39._FTZ,X43_EmpAccess,4.19E-01,2.13E-10
77,X40_Parking,X43_EmpAccess,1.64E-01,1.68E-02
78,X41_PropUrban,X43_EmpAccess,-2.95E-01,1.23E-05
79,ln_Patronage,X44_C_LOS,6.26E-01,0.00E+00
80,X26_PropComm,X44_C_LOS,1.70E-01,1.34E-02
81,X28_Balance,X44_C_LOS,1.84E-01,7.24E-03
82,X29_LUEntropy,X44_C_LOS,-3.21E-02,6.42E-01
83,X31_PedConnect,X44_C_LOS,1.55E-01,2.41E-02
