,row,column,cor,p
1,ln_Patronage,X26_PropComm,0.273086065,7.14E-05
2,ln_Patronage,X28_Balance,-0.098714157,1.58E-01
3,X26_PropComm,X28_Balance,0.256902334,1.93E-04
4,ln_Patronage,X29_LUEntropy,0.173934842,1.24E-02
5,X26_PropComm,X29_LUEntropy,0.480514043,2.68E-13
6,X28_Balance,X29_LUEntropy,0.138031762,4.79E-02
7,ln_Patronage,X31_PedConnect,0.187793635,6.87E-03
8,X26_PropComm,X31_PedConnect,0.573101724,0.00E+00
9,X28_Balance,X31_PedConnect,0.170546347,1.43E-02
10,X29_LUEntropy,X31_PedConnect,0.304053054,8.87E-06
11,ln_Patronage,X32_PBN,0.147086775,3.49E-02
12,X26_PropComm,X32_PBN,0.077196233,2.70E-01
13,X28_Balance,X32_PBN,0.160753507,2.10E-02
14,X29_LUEntropy,X32_PBN,0.123163305,7.78E-02
15,X31_PedConnect,X32_PBN,0.178924263,1.01E-02
16,ln_Patronage,X33_DestScore,0.253291078,2.39E-04
17,X26_PropComm,X33_DestScore,0.24696221,3.45E-04
18,X28_Balance,X33_DestScore,-0.163044595,1.92E-02
19,X29_LUEntropy,X33_DestScore,0.206482351,2.90E-03
20,X31_PedConnect,X33_DestScore,0.45912054,3.90E-12
21,X32_PBN,X33_DestScore,0.029190854,6.77E-01
22,ln_Patronage,X37_ACDist,-0.157980286,2.33E-02
23,X26_PropComm,X37_ACDist,-0.323204545,2.15E-06
24,X28_Balance,X37_ACDist,-0.279374137,4.77E-05
25,X29_LUEntropy,X37_ACDist,-0.223529217,1.24E-03
26,X31_PedConnect,X37_ACDist,-0.242517865,4.44E-04
27,X32_PBN,X37_ACDist,-0.098394228,1.59E-01
28,X33_DestScore,X37_ACDist,-0.223056471,1.27E-03
29,ln_Patronage,X38_ACCount,0.20515394,3.10E-03
30,X26_PropComm,X38_ACCount,0.438955571,4.11E-11
31,X28_Balance,X38_ACCount,0.152313182,2.88E-02
32,X29_LUEntropy,X38_ACCount,0.282633531,3.85E-05
33,X31_PedConnect,X38_ACCount,0.271404763,7.95E-05
34,X32_PBN,X38_ACCount,-0.004325209,9.51E-01
35,X33_DestScore,X38_ACCount,0.234729957,6.84E-04
36,X37_ACDist,X38_ACCount,-0.502786227,1.35E-14
37,ln_Patronage,X40_Parking,0.082039133,2.41E-01
38,X26_PropComm,X40_Parking,-0.017364305,8.04E-01
39,X28_Balance,X40_Parking,0.030647154,6.62E-01
40,X29_LUEntropy,X40_Parking,0.141923505,4.19E-02
41,X31_PedConnect,X40_Parking,-0.020378093,7.71E-01
42,X32_PBN,X40_Parking,0.11702007,9.39E-02
43,X33_DestScore,X40_Parking,0.117441234,9.27E-02
44,X37_ACDist,X40_Parking,-0.095747731,1.71E-01
45,X38_ACCount,X40_Parking,0.136366448,5.06E-02
46,ln_Patronage,X41_PropUrban,-0.017628575,8.01E-01
47,X26_PropComm,X41_PropUrban,-0.156357847,2.48E-02
48,X28_Balance,X41_PropUrban,-0.482671074,2.03E-13
49,X29_LUEntropy,X41_PropUrban,-0.481035299,2.51E-13
50,X31_PedConnect,X41_PropUrban,-0.085152327,2.24E-01
51,X32_PBN,X41_PropUrban,-0.210853417,2.35E-03
52,X33_DestScore,X41_PropUrban,0.247562518,3.34E-04
53,X37_ACDist,X41_PropUrban,-0.085162128,2.24E-01
54,X38_ACCount,X41_PropUrban,0.102169876,1.44E-01
55,X40_Parking,X41_PropUrban,-0.005851334,9.33E-01
56,ln_Patronage,X43_EmpAccess,0.207424869,2.78E-03
57,X26_PropComm,X43_EmpAccess,0.412798676,7.01E-10
58,X28_Balance,X43_EmpAccess,0.260566412,1.55E-04
59,X29_LUEntropy,X43_EmpAccess,0.300287504,1.16E-05
60,X31_PedConnect,X43_EmpAccess,0.685648517,0.00E+00
61,X32_PBN,X43_EmpAccess,0.340590557,5.46E-07
62,X33_DestScore,X43_EmpAccess,0.315737042,3.78E-06
63,X37_ACDist,X43_EmpAccess,-0.374051351,3.05E-08
64,X38_ACCount,X43_EmpAccess,0.297473267,1.41E-05
65,X40_Parking,X43_EmpAccess,0.190135003,6.19E-03
66,X41_PropUrban,X43_EmpAccess,-0.267782008,9.97E-05
67,ln_Patronage,X44_C_LOS,0.578785589,0.00E+00
68,X26_PropComm,X44_C_LOS,0.064163892,3.60E-01
69,X28_Balance,X44_C_LOS,0.003108897,9.65E-01
70,X29_LUEntropy,X44_C_LOS,0.042151976,5.47E-01
71,X31_PedConnect,X44_C_LOS,0.090700061,1.95E-01
72,X32_PBN,X44_C_LOS,0.173228845,1.28E-02
73,X33_DestScore,X44_C_LOS,0.175987412,1.14E-02
74,X37_ACDist,X44_C_LOS,-0.170144514,1.45E-02
75,X38_ACCount,X44_C_LOS,0.104379465,1.35E-01
76,X40_Parking,X44_C_LOS,-0.01609191,8.18E-01
77,X41_PropUrban,X44_C_LOS,-0.019432412,7.82E-01
78,X43_EmpAccess,X44_C_LOS,0.178126206,1.04E-02
79,ln_Patronage,X45_O_Bus_LOS,0.057490144,4.12E-01
80,X26_PropComm,X45_O_Bus_LOS,0.185908371,7.46E-03
81,X28_Balance,X45_O_Bus_LOS,0.027296627,6.97E-01
82,X29_LUEntropy,X45_O_Bus_LOS,0.074425389,2.88E-01
83,X31_PedConnect,X45_O_Bus_LOS,0.076583391,2.74E-01
84,X32_PBN,X45_O_Bus_LOS,-0.027114728,6.99E-01
85,X33_DestScore,X45_O_Bus_LOS,-0.051368201,4.63E-01
86,X37_ACDist,X45_O_Bus_LOS,0.079439818,2.56E-01
87,X38_ACCount,X45_O_Bus_LOS,0.104274876,1.36E-01
88,X40_Parking,X45_O_Bus_LOS,0.249690568,2.95E-04
89,X41_PropUrban,X45_O_Bus_LOS,-0.050594638,4.70E-01
90,X43_EmpAccess,X45_O_Bus_LOS,-0.024144351,7.30E-01
91,X44_C_LOS,X45_O_Bus_LOS,-0.1885888,6.63E-03
92,ln_Patronage,X46_O_Tram_LOS,0.029903881,6.70E-01
93,X26_PropComm,X46_O_Tram_LOS,0.176966747,1.09E-02
94,X28_Balance,X46_O_Tram_LOS,-0.040924176,5.59E-01
95,X29_LUEntropy,X46_O_Tram_LOS,0.165936631,1.71E-02
96,X31_PedConnect,X46_O_Tram_LOS,0.234927959,6.76E-04
97,X32_PBN,X46_O_Tram_LOS,0.185049766,7.75E-03
98,X33_DestScore,X46_O_Tram_LOS,0.120889071,8.35E-02
99,X37_ACDist,X46_O_Tram_LOS,-0.047929273,4.94E-01
100,X38_ACCount,X46_O_Tram_LOS,0.029545772,6.73E-01
101,X40_Parking,X46_O_Tram_LOS,-0.004678551,9.47E-01
102,X41_PropUrban,X46_O_Tram_LOS,-0.053732929,4.43E-01
103,X43_EmpAccess,X46_O_Tram_LOS,0.25785673,1.83E-04
104,X44_C_LOS,X46_O_Tram_LOS,-0.046018452,5.11E-01
105,X45_O_Bus_LOS,X46_O_Tram_LOS,0.053231757,4.47E-01
106,ln_Patronage,X47_O_Train_LOS,0.034811205,6.19E-01
107,X26_PropComm,X47_O_Train_LOS,0.104036019,1.37E-01
108,X28_Balance,X47_O_Train_LOS,0.100240789,1.52E-01
109,X29_LUEntropy,X47_O_Train_LOS,0.198618456,4.21E-03
110,X31_PedConnect,X47_O_Train_LOS,0.075555355,2.80E-01
111,X32_PBN,X47_O_Train_LOS,0.132700094,5.72E-02
112,X33_DestScore,X47_O_Train_LOS,0.147706449,3.41E-02
113,X37_ACDist,X47_O_Train_LOS,-0.166496145,1.68E-02
114,X38_ACCount,X47_O_Train_LOS,0.255906106,2.05E-04
115,X40_Parking,X47_O_Train_LOS,0.524636381,4.44E-16
116,X41_PropUrban,X47_O_Train_LOS,0.025329247,7.18E-01
117,X43_EmpAccess,X47_O_Train_LOS,0.349313615,2.66E-07
118,X44_C_LOS,X47_O_Train_LOS,-0.018286408,7.94E-01
119,X45_O_Bus_LOS,X47_O_Train_LOS,0.031359808,6.55E-01
120,X46_O_Tram_LOS,X47_O_Train_LOS,0.067074311,3.38E-01
121,ln_Patronage,X52_PropOS,0.021860765,7.55E-01
122,X26_PropComm,X52_PropOS,0.219092889,1.56E-03
123,X28_Balance,X52_PropOS,-0.065826276,3.47E-01
124,X29_LUEntropy,X52_PropOS,0.311166152,5.30E-06
125,X31_PedConnect,X52_PropOS,0.311902518,5.02E-06
126,X32_PBN,X52_PropOS,-0.042272661,5.46E-01
127,X33_DestScore,X52_PropOS,0.112877813,1.06E-01
128,X37_ACDist,X52_PropOS,-0.124103709,7.55E-02
129,X38_ACCount,X52_PropOS,0.054070253,4.40E-01
130,X40_Parking,X52_PropOS,-0.057255607,4.14E-01
131,X41_PropUrban,X52_PropOS,-0.130059474,6.24E-02
132,X43_EmpAccess,X52_PropOS,0.247273934,3.39E-04
133,X44_C_LOS,X52_PropOS,0.091555144,1.91E-01
134,X45_O_Bus_LOS,X52_PropOS,0.079997693,2.53E-01
135,X46_O_Tram_LOS,X52_PropOS,0.110326956,1.14E-01
136,X47_O_Train_LOS,X52_PropOS,-0.007859983,9.11E-01
137,ln_Patronage,X53_PropBach,0.090123539,1.98E-01
138,X26_PropComm,X53_PropBach,0.032275778,6.45E-01
139,X28_Balance,X53_PropBach,-0.262943253,1.34E-04
140,X29_LUEntropy,X53_PropBach,-0.001792881,9.80E-01
141,X31_PedConnect,X53_PropBach,0.176249479,1.13E-02
142,X32_PBN,X53_PropBach,0.149679725,3.18E-02
143,X33_DestScore,X53_PropBach,0.324346995,1.97E-06
144,X37_ACDist,X53_PropBach,-0.155552408,2.56E-02
145,X38_ACCount,X53_PropBach,0.126429875,7.02E-02
146,X40_Parking,X53_PropBach,0.075001823,2.84E-01
147,X41_PropUrban,X53_PropBach,0.283935091,3.54E-05
148,X43_EmpAccess,X53_PropBach,0.312702192,4.74E-06
149,X44_C_LOS,X53_PropBach,0.140655715,4.37E-02
150,X45_O_Bus_LOS,X53_PropBach,-0.310298167,5.65E-06
151,X46_O_Tram_LOS,X53_PropBach,0.095624978,1.72E-01
152,X47_O_Train_LOS,X53_PropBach,0.142437541,4.11E-02
153,X52_PropOS,X53_PropBach,-0.117485545,9.26E-02
154,ln_Patronage,X49_censored_PropFTE,0.059740632,3.94E-01
155,X26_PropComm,X49_censored_PropFTE,0.191039264,5.95E-03
156,X28_Balance,X49_censored_PropFTE,0.222807843,1.29E-03
157,X29_LUEntropy,X49_censored_PropFTE,0.001062252,9.88E-01
158,X31_PedConnect,X49_censored_PropFTE,0.470762103,9.30E-13
159,X32_PBN,X49_censored_PropFTE,0.326473603,1.67E-06
160,X33_DestScore,X49_censored_PropFTE,0.218492122,1.60E-03
161,X37_ACDist,X49_censored_PropFTE,-0.422690075,2.47E-10
162,X38_ACCount,X49_censored_PropFTE,0.119607591,8.68E-02
163,X40_Parking,X49_censored_PropFTE,-0.037727201,5.90E-01
164,X41_PropUrban,X49_censored_PropFTE,-0.044473952,5.26E-01
165,X43_EmpAccess,X49_censored_PropFTE,0.619515097,0.00E+00
166,X44_C_LOS,X49_censored_PropFTE,0.310765172,5.46E-06
167,X45_O_Bus_LOS,X49_censored_PropFTE,-0.251663911,2.63E-04
168,X46_O_Tram_LOS,X49_censored_PropFTE,0.117712304,9.20E-02
169,X47_O_Train_LOS,X49_censored_PropFTE,0.028527998,6.84E-01
170,X52_PropOS,X49_censored_PropFTE,0.175916683,1.14E-02
171,X53_PropBach,X49_censored_PropFTE,0.371765175,3.76E-08
172,ln_Patronage,X50_censored_MeanSize,-0.156224015,2.49E-02
173,X26_PropComm,X50_censored_MeanSize,-0.356511857,1.44E-07
174,X28_Balance,X50_censored_MeanSize,0.015055233,8.30E-01
175,X29_LUEntropy,X50_censored_MeanSize,-0.281679305,4.10E-05
176,X31_PedConnect,X50_censored_MeanSize,-0.43013223,1.10E-10
177,X32_PBN,X50_censored_MeanSize,-0.146270002,3.59E-02
178,X33_DestScore,X50_censored_MeanSize,-0.424756962,1.98E-10
179,X37_ACDist,X50_censored_MeanSize,0.624775629,0.00E+00
180,X38_ACCount,X50_censored_MeanSize,-0.293853158,1.81E-05
181,X40_Parking,X50_censored_MeanSize,-0.049606652,4.79E-01
182,X41_PropUrban,X50_censored_MeanSize,-0.105991537,1.29E-01
183,X43_EmpAccess,X50_censored_MeanSize,-0.518729834,1.33E-15
184,X44_C_LOS,X50_censored_MeanSize,-0.21278828,2.14E-03
185,X45_O_Bus_LOS,X50_censored_MeanSize,0.102228955,1.44E-01
186,X46_O_Tram_LOS,X50_censored_MeanSize,-0.188454489,6.67E-03
187,X47_O_Train_LOS,X50_censored_MeanSize,-0.106497,1.28E-01
188,X52_PropOS,X50_censored_MeanSize,-0.27034235,8.50E-05
189,X53_PropBach,X50_censored_MeanSize,-0.28692904,2.90E-05
190,X49_censored_PropFTE,X50_censored_MeanSize,-0.569251291,0.00E+00
191,ln_Patronage,ln_Emp,0.235269772,6.64E-04
192,X26_PropComm,ln_Emp,0.477897594,3.76E-13
193,X28_Balance,ln_Emp,0.455057849,6.34E-12
194,X29_LUEntropy,ln_Emp,0.32750477,1.55E-06
195,X31_PedConnect,ln_Emp,0.617448599,0.00E+00
196,X32_PBN,ln_Emp,0.262635645,1.37E-04
197,X33_DestScore,ln_Emp,0.231084324,8.32E-04
198,X37_ACDist,ln_Emp,-0.506196257,8.44E-15
199,X38_ACCount,ln_Emp,0.245500308,3.75E-04
200,X40_Parking,ln_Emp,-0.022457272,7.49E-01
201,X41_PropUrban,ln_Emp,-0.32296597,2.19E-06
202,X43_EmpAccess,ln_Emp,0.763084831,0.00E+00
203,X44_C_LOS,ln_Emp,0.1863289,7.33E-03
204,X45_O_Bus_LOS,ln_Emp,-0.129657554,6.32E-02
205,X46_O_Tram_LOS,ln_Emp,0.212031487,2.22E-03
206,X47_O_Train_LOS,ln_Emp,0.127676206,6.74E-02
207,X52_PropOS,ln_Emp,0.199204192,4.10E-03
208,X53_PropBach,ln_Emp,0.258878236,1.72E-04
209,X49_censored_PropFTE,ln_Emp,0.565481966,0.00E+00
210,X50_censored_MeanSize,ln_Emp,-0.48659808,1.21E-13
