OBJECTID,OBJECTID_MODE,Mode_Centroid,FacilityID,FacilityID_Mode,X,Y,Name,Target break,Mode standard,Standard?,Cluster sample?,FromBreak,ToBreak,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,1_Total_Pat,2_Empden,3_Popden,4_Dwell,5_ActDen,6_PropComm,7_RetailEmp,8_Balance,9_LUEntropy,10_HousingDiv,11_PedConnect,12_PBN,13_DestScore,14_DestCount,15_Parkiteer,16_CBDDist,17_ACDist,18_ACCount,19 _FTZ,20_Parking,21_PropUrban,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_PropFTE,29_MeanSize,30_MedInc,31_PropOS,32_PropBach,0.1_Centroid_patronage,0.2_Bus_patronage,0.2_Bus_Censored,ln_Centroid,ln_bus,ln_emp,ln_pop,Co-located_outlier_tracking
1591,1591-tram,tram,3,3-tram,325749.4849,5802471.033,Location 3 : 0 - 600,600,600,yes,No,0,600,50,940,4098.914288,845274.2212,90.86106673,534.21,3150.62,1140.91,3684.84,0.01,36.87,0.02,0.26,7,74.53,0,5,36,0,11.56,1.48,0,0,0,0.89,30701.33,43.85,17.54,0,0,43.85,0.58,2.76,650,0.06,0.56,90.86,13,13,4.51,2.56,6.28,8.06,
1597,1597-tram,tram,4,4-tram,325776.9833,5802710.471,Location 4 : 0 - 600,600,600,yes,No,0,600,50,946,3983.584913,790558.9059,90.86106673,540.07,3399.1,1226.86,3939.17,0.01,36.62,0.02,0.21,7,72.1,0,5,34,0,11.36,1.47,0,0,0,0.93,29394.01,43.92,17.54,0,0,43.92,0.58,2.77,650,0.07,0.58,90.86,9.4,9.4,4.51,2.24,6.29,8.13,
1607,1607-tram,tram,6,6-tram,325850.0052,5803276.987,Location 6 : 0 - 600,600,600,yes,tram,0,600,50,958,3828.364487,893664.4933,90.86106673,877.23,3078.03,1061.92,3955.26,0.02,47.28,0.03,0.32,8,80.57,0,4,36,0,10.89,1.61,0,0,0,0.78,41800.79,43.92,49.69,0,0,43.92,0.55,2.9,650,0.08,0.6,90.86,75,75,4.51,4.32,6.78,8.03,
1624,1624-tram,tram,10,10-tram,325945.5086,5803991.02,Location 10 : 0 - 600,600,600,yes,No,0,600,50,982,3798.206811,893139.9181,90.86106673,1224.16,3055.91,1137.49,4280.07,0.02,57.57,0.04,0.38,7,110.84,0,5,54,0,10.31,1.84,0,0,0,0.79,33987.09,43.92,26.31,0,0,43.92,0.58,2.69,650,0.11,0.6,90.86,11.4,11.4,4.51,2.43,7.11,8.02,
1628,1628-tram,tram,11,11-tram,329062.0302,5804169.99,Location 11 : 0 - 600,600,600,yes,No,0,600,50,988,4298.849471,825532.9626,84.75170278,885.04,4850.56,1956.29,5735.6,0.03,144.31,0.06,0.27,8,44.82,0,6,43,0,12.06,0.67,0,0,0,0.91,34650.62,42.77,35.08,0,0,42.77,0.6,2.48,500,0.07,0.63,84.75,4.3,4.3,4.44,1.46,6.79,8.49,
1732,1732-tram,tram,32,32-tram,325442.5128,5804972.484,Location 32 : 0 - 600,600,600,yes,No,0,600,50,1114,4585.973323,816687.7315,262.2371717,1433.87,4225.69,1609.65,5659.56,0.12,157.88,0.07,0.39,8,62.45,0.32,5,79,0,9.21,0.97,0,0,0,0.98,82601.44,42,25.69,0,0,42,0.61,2.63,650,0.07,0.62,262.24,14,14,5.57,2.64,7.27,8.35,
1760,1760-tram,tram,38,38-tram,324161.9883,5805145.461,Location 38 : 0 - 600,600,600,yes,tram,0,600,50,1150,4667.051271,771487.6003,262.2371717,1527.75,3838.04,1620.82,5365.79,0.15,232.22,0.11,0.47,8,94.62,0,6,69,0,8.46,0.32,1,0,670.213,0.89,301278.86,41.69,103.31,0,102.38,144.08,0.65,2.37,800,0.06,0.59,262.24,275.5,275.5,5.57,5.62,7.33,8.25,
1746,1746-tram,tram,35,35-tram,324646.5095,5805074.958,Location 35 : 0 - 600,600,600,yes,No,0,600,50,1132,3952.81683,842594.372,262.2371717,1630.54,4022.89,1626.99,5653.44,0.14,251.95,0.12,0.36,8,83.08,0.32,6,72,0,8.74,0.17,1,0,0,0.97,82592.41,42,35.46,0,0,42,0.64,2.47,800,0.05,0.63,262.24,45,45,5.57,3.81,7.4,8.3,
1751,1751-tram,tram,36,36-tram,324462.9707,5805101.506,Location 36 : 0 - 600,600,600,yes,No,0,600,50,1138,3783.731496,755684.4878,262.2371717,1628.27,3852.23,1605.02,5480.5,0.17,251.51,0.12,0.38,8,89.98,0,6,75,0,8.63,0.02,1,0,0,0.98,301278.86,41.92,17,0,0,41.92,0.65,2.4,800,0.05,0.62,262.24,61.4,61.4,5.57,4.12,7.4,8.26,
1763,1763-tram,tram,39,39-tram,323918.4867,5805181.979,Location 39 : 0 - 600,600,600,yes,No,0,600,50,1156,4340.681154,619667.2495,262.2371717,1369.16,4597.36,2016.41,5966.53,0.14,197.97,0.08,0.53,8,109.74,0.37,6,62,0,8.33,0.57,1,0,0,0.82,301278.86,41.38,55.15,20.77,0,62.15,0.66,2.28,800,0.06,0.58,262.24,26.7,26.7,5.57,3.28,7.22,8.43,
1767,1767-tram,tram,40,40-tram,323803.0081,5805284.023,Location 40 : 0 - 600,600,600,yes,No,0,600,50,1162,3859.344378,560603.5175,185.2899543,1260.5,5400.99,2411.1,6661.49,0.12,174,0.06,0.54,8,110.6,0.53,5,45,0,8.2,0.7,0,0,0,0.79,58672.09,41.46,69.62,41.38,0,82.85,0.67,2.24,800,0.05,0.58,185.29,31.3,31.3,5.22,3.44,7.14,8.59,
