OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
1,5,Location 5,1,1069495,0.712041385205298,1,0,0,0.000000000000000,,341812.956648106,5753352.03662736,160.000000000000000,5,207,Location 207,1,1005763,0.801455599163960,2,0,0,0.000000000000000,,341864.521000001,5753409.0013
2,6,Location 6,1,992576,0.889174952328549,2,0,0,0.000000000000000,,340765.040594845,5755179.03646435,160.000000000000000,6,252,Location 252,1,1053720,0.716638338224977,2,0,0,0.000000000000000,,340655.983,5755127.0371
3,9,Location 9,1,1053724,0.625215480538880,2,0,0,0.000000000000000,,340364.007187001,5767609.99573638,160.000000000000000,9,392,Location 392,1,293066,0.981720478238585,1,0,0,0.000000000000000,,340452.029400001,5767599.9622
4,9,Location 9,1,1053724,0.625215480538880,2,0,0,0.000000000000000,,340364.007187001,5767609.99573638,160.000000000000000,9,396,Location 396,1,293068,0.782984824842100,2,0,0,0.000000000000000,,340346.0223,5767700.0035
5,31,Location 31,1,1069491,0.148872628451798,1,0,0,0.000000000000000,,335794.975112188,5776661.00706507,160.000000000000000,31,613,Location 613,1,279932,0.014241801152352,1,0,0,0.000000000000000,,335767.634400001,5776670.1274
6,32,Location 32,1,371617,0.644033117030650,2,0,0,0.000000000000000,,336547.970067565,5779035.00323329,160.000000000000000,32,681,Location 681,1,371617,0.253635075712928,1,0,0,0.000000000000000,,336537.0127,5779074.0246
7,33,Location 33,1,481165,0.825418044623723,2,0,0,0.000000000000000,,335888.964641675,5780989.00380221,160.000000000000000,33,744,Location 744,1,995261,0.308805716921075,1,0,0,0.000000000000000,,335911.996100001,5780976.664
8,62,Location 62,1,422921,0.846925632547152,1,0,0,0.000000000000000,,349240.00150416,5781745.03417149,160.000000000000000,62,3758,Location 3758,1,422451,0.820329535832392,2,0,0,0.000000000000000,,349247.820500001,5781701.1852
9,63,Location 63,1,480197,0.544237773563993,2,0,0,0.000000000000000,,347698.966299724,5783996.05233617,160.000000000000000,63,3805,Location 3805,1,1064769,0.994304859049020,2,0,0,0.000000000000000,,347770.500100002,5783942.9968
10,215,Location 215,1,1070118,0.386534381570199,2,0,0,0.000000000000000,,362970.998502586,5785123.05232737,160.000000000000000,215,3869,Location 3869,1,1008496,0.648707871410596,1,0,0,0.000000000000000,,363023.0054,5785021.038
11,215,Location 215,1,1070118,0.386534381570199,2,0,0,0.000000000000000,,362970.998502586,5785123.05232737,160.000000000000000,215,3880,Location 3880,1,1051385,0.115196183355537,2,0,0,0.000000000000000,,362929.5222,5785220.9697
12,214,Location 214,1,1051002,0.320809105747597,2,0,0,0.000000000000000,,346404.989606219,5786376.01950077,160.000000000000000,214,3958,Location 3958,1,1049396,0.488983901398040,1,0,0,0.000000000000000,,346358.001900001,5786321.9592
13,214,Location 214,1,1051002,0.320809105747597,2,0,0,0.000000000000000,,346404.989606219,5786376.01950077,160.000000000000000,214,3967,Location 3967,1,411499,0.651331262976821,2,0,0,0.000000000000000,,346558.029800002,5786378.017
14,36,Location 36,1,59716,0.644890497237068,2,0,0,0.000000000000000,,334702.970464069,5786745.04211824,160.000000000000000,36,847,Location 847,1,59716,0.380983575376840,1,0,0,0.000000000000000,,334731.038399999,5786727.0176
15,58,Location 58,1,1054234,0.373001856558091,2,0,0,0.000000000000000,,356640.022194235,5787285.03954882,160.000000000000000,58,4030,Location 4030,1,1051520,1.000000000000000,2,0,0,0.000000000000000,,356659.744699999,5787278.0049
16,37,Location 37,1,1053760,0.277234769290987,2,0,0,0.000000000000000,,334013.039890925,5788274.00265142,160.000000000000000,37,883,Location 883,1,96472,0.491695960631276,1,0,0,0.000000000000000,,334099.9963,5788268.7783
17,59,Location 59,1,1071244,0.883650534659103,2,0,0,0.000000000000000,,354833.991921477,5788410.03221275,160.000000000000000,59,4077,Location 4077,1,1071243,0.395295260626633,1,0,0,0.000000000000000,,354917.498700001,5788383.9908
18,38,Location 38,1,59302,0.789604279706301,1,0,0,0.000000000000000,,333428.033190503,5789465.02237586,160.000000000000000,38,911,Location 911,1,59135,0.581324668321871,2,0,0,0.000000000000000,,333506.987600001,5789352.9602
19,38,Location 38,1,59302,0.789604279706301,1,0,0,0.000000000000000,,333428.033190503,5789465.02237586,160.000000000000000,38,913,Location 913,1,59302,0.166734054697265,2,0,0,0.000000000000000,,333425.966199999,5789537.9728
