                       row                 column          cor            p
1                   ln_Bus       ln_Centroid_Mode  0.347722185 1.067657e-11
2                   ln_Bus           X10_PropComm  0.375532888 1.554312e-13
3         ln_Centroid_Mode           X10_PropComm  0.438677058 0.000000e+00
4                   ln_Bus            X11_Balance  0.100000862 5.767140e-02
5         ln_Centroid_Mode            X11_Balance  0.197609938 1.575249e-04
6             X10_PropComm            X11_Balance  0.605925268 0.000000e+00
7                   ln_Bus          X12_LUEntropy -0.010959311 8.356108e-01
8         ln_Centroid_Mode          X12_LUEntropy  0.117144695 2.603440e-02
9             X10_PropComm          X12_LUEntropy  0.075316720 1.532677e-01
10             X11_Balance          X12_LUEntropy  0.034726693 5.107198e-01
11                  ln_Bus         X13_PedConnect  0.293124628 1.385334e-08
12        ln_Centroid_Mode         X13_PedConnect  0.335700261 5.864775e-11
13            X10_PropComm         X13_PedConnect  0.642239291 0.000000e+00
14             X11_Balance         X13_PedConnect  0.318898021 5.621916e-10
15           X12_LUEntropy         X13_PedConnect  0.156451840 2.876361e-03
16                  ln_Bus                X14_PBN  0.115632474 2.803679e-02
17        ln_Centroid_Mode                X14_PBN  0.272614972 1.427196e-07
18            X10_PropComm                X14_PBN  0.161063374 2.143054e-03
19             X11_Balance                X14_PBN  0.097132706 6.525865e-02
20           X12_LUEntropy                X14_PBN  0.059187406 2.620138e-01
21          X13_PedConnect                X14_PBN  0.159538346 2.364123e-03
22                  ln_Bus             X16_ACDist -0.101669009 5.360492e-02
23        ln_Centroid_Mode             X16_ACDist -0.172319641 1.011378e-03
24            X10_PropComm             X16_ACDist -0.402628650 1.776357e-15
25             X11_Balance             X16_ACDist -0.297058423 8.666382e-09
26           X12_LUEntropy             X16_ACDist -0.117519004 2.555820e-02
27          X13_PedConnect             X16_ACDist -0.330220436 1.244573e-10
28                 X14_PBN             X16_ACDist -0.131305695 1.252575e-02
29                  ln_Bus            X17_ACCount  0.148222645 4.771513e-03
30        ln_Centroid_Mode            X17_ACCount  0.130177600 1.331101e-02
31            X10_PropComm            X17_ACCount  0.347523051 1.098854e-11
32             X11_Balance            X17_ACCount  0.071211060 1.770057e-01
33           X12_LUEntropy            X17_ACCount  0.114498879 2.962324e-02
34          X13_PedConnect            X17_ACCount  0.238646038 4.540646e-06
35                 X14_PBN            X17_ACCount -0.003876387 9.414908e-01
36              X16_ACDist            X17_ACCount -0.543656596 0.000000e+00
37                  ln_Bus                X18_FTZ  0.235675995 6.004555e-06
38        ln_Centroid_Mode                X18_FTZ  0.318098978 6.238481e-10
39            X10_PropComm                X18_FTZ  0.606274240 0.000000e+00
40             X11_Balance                X18_FTZ  0.553690080 0.000000e+00
41           X12_LUEntropy                X18_FTZ -0.194514117 2.003866e-04
42          X13_PedConnect                X18_FTZ  0.411655531 4.440892e-16
43                 X14_PBN                X18_FTZ  0.219110739 2.671391e-05
44              X16_ACDist                X18_FTZ -0.119292621 2.340249e-02
45             X17_ACCount                X18_FTZ -0.021407764 6.851958e-01
46                  ln_Bus            X19_Parking  0.170120769 1.175463e-03
47        ln_Centroid_Mode            X19_Parking  0.032891192 5.333280e-01
48            X10_PropComm            X19_Parking -0.007006120 8.944652e-01
49             X11_Balance            X19_Parking -0.002332505 9.647737e-01
50           X12_LUEntropy            X19_Parking  0.070943881 1.786401e-01
51          X13_PedConnect            X19_Parking -0.039023168 4.598157e-01
52                 X14_PBN            X19_Parking  0.090209075 8.698531e-02
53              X16_ACDist            X19_Parking -0.054182605 3.045837e-01
54             X17_ACCount            X19_Parking  0.056316926 2.859006e-01
55                 X18_FTZ            X19_Parking -0.024816936 6.383844e-01
56                  ln_Bus          X22_EmpAccess  0.255321954 8.832660e-07
57        ln_Centroid_Mode          X22_EmpAccess  0.464658570 0.000000e+00
58            X10_PropComm          X22_EmpAccess  0.598343734 0.000000e+00
59             X11_Balance          X22_EmpAccess  0.367375457 5.613288e-13
60           X12_LUEntropy          X22_EmpAccess  0.098835803 6.066036e-02
61          X13_PedConnect          X22_EmpAccess  0.761562656 0.000000e+00
62                 X14_PBN          X22_EmpAccess  0.307334544 2.460455e-09
63              X16_ACDist          X22_EmpAccess -0.336593871 5.180234e-11
64             X17_ACCount          X22_EmpAccess  0.103973504 4.838192e-02
65                 X18_FTZ          X22_EmpAccess  0.535075108 0.000000e+00
66             X19_Parking          X22_EmpAccess  0.076805424 1.452837e-01
67                  ln_Bus              X23_C_LOS  0.094939636 7.159756e-02
68        ln_Centroid_Mode              X23_C_LOS  0.633126188 0.000000e+00
69            X10_PropComm              X23_C_LOS  0.292774722 1.443862e-08
70             X11_Balance              X23_C_LOS  0.186939687 3.555310e-04
71           X12_LUEntropy              X23_C_LOS  0.036282333 4.919568e-01
72          X13_PedConnect              X23_C_LOS  0.181517777 5.288326e-04
73                 X14_PBN              X23_C_LOS  0.221312697 2.204645e-05
74              X16_ACDist              X23_C_LOS -0.130828307 1.285293e-02
75             X17_ACCount              X23_C_LOS  0.045781267 3.857874e-01
76                 X18_FTZ              X23_C_LOS  0.242600164 3.112336e-06
77             X19_Parking              X23_C_LOS -0.013485611 7.984531e-01
