                      row                column          cor                        p
1                  ln_Bus      ln_Centroid_Mode  0.289747933 0.0000000508809807620025
2                  ln_Bus          X10_PropComm  0.278933533 0.0000001639049189705588
3        ln_Centroid_Mode          X10_PropComm  0.350964263 0.0000000000254849474857
4                  ln_Bus           X11_Balance -0.059317250 0.2746997980778542736147
5        ln_Centroid_Mode           X11_Balance -0.006795359 0.9005037235825639196918
6            X10_PropComm           X11_Balance  0.401889647 0.0000000000000115463195
7                  ln_Bus         X12_LUEntropy  0.059399349 0.2740348848449085661372
8        ln_Centroid_Mode         X12_LUEntropy  0.262060210 0.0000009223826631377108
9            X10_PropComm         X12_LUEntropy  0.341166391 0.0000000000966426938476
10            X11_Balance         X12_LUEntropy  0.228130285 0.0000210505110858072442
11                 ln_Bus        X13_PedConnect  0.223706320 0.0000306227167610195750
12       ln_Centroid_Mode        X13_PedConnect  0.292085199 0.0000000392568157980833
13           X10_PropComm        X13_PedConnect  0.528050543 0.0000000000000000000000
14            X11_Balance        X13_PedConnect  0.115464271 0.0330488514798332744249
15          X12_LUEntropy        X13_PedConnect  0.335737565 0.0000000001983009312312
16                 ln_Bus               X14_PBN  0.079240137 0.1442386819405401254812
17       ln_Centroid_Mode               X14_PBN  0.226860831 0.0000234586968277383789
18           X10_PropComm               X14_PBN  0.037119995 0.4944910533977782129966
19            X11_Balance               X14_PBN -0.043855962 0.4195126052760858037516
20          X12_LUEntropy               X14_PBN  0.120154973 0.0265070914182627959121
21         X13_PedConnect               X14_PBN  0.079460584 0.1431223349712045234128
22                 ln_Bus            X16_ACDist -0.067334387 0.2148823431504676140236
23       ln_Centroid_Mode            X16_ACDist -0.151241938 0.0051305093336482254784
24           X10_PropComm            X16_ACDist -0.412141249 0.0000000000000019984014
25            X11_Balance            X16_ACDist -0.276098468 0.0000002209213183501646
26          X12_LUEntropy            X16_ACDist -0.173601551 0.0012888140128601843770
27         X13_PedConnect            X16_ACDist -0.301809019 0.0000000130103399165193
28                X14_PBN            X16_ACDist -0.110829809 0.0408160197920910405855
29                 ln_Bus           X17_ACCount  0.156989852 0.0036561207831744546581
30       ln_Centroid_Mode           X17_ACCount  0.117345615 0.0302761141621119556078
31           X10_PropComm           X17_ACCount  0.451110096 0.0000000000000000000000
32            X11_Balance           X17_ACCount  0.085614872 0.1145486985249304368040
33          X12_LUEntropy           X17_ACCount  0.163489680 0.0024589609987391014556
34         X13_PedConnect           X17_ACCount  0.252038734 0.0000024360264025968803
35                X14_PBN           X17_ACCount  0.005028207 0.9262916937441412201792
36             X16_ACDist           X17_ACCount -0.552352832 0.0000000000000000000000
37                 ln_Bus           X19_Parking  0.190280707 0.0004105766866744353649
38       ln_Centroid_Mode           X19_Parking  0.047786398 0.3790245822006257370163
39           X10_PropComm           X19_Parking  0.010562627 0.8459091656081938470635
40            X11_Balance           X19_Parking  0.014022398 0.7964052898722764339823
41          X12_LUEntropy           X19_Parking  0.070127399 0.1964189952125903193547
42         X13_PedConnect           X19_Parking -0.032842054 0.5455753163224068558179
43                X14_PBN           X19_Parking  0.100526232 0.0637077956882332596678
44             X16_ACDist           X19_Parking -0.057827516 0.2869556394786045849798
45            X17_ACCount           X19_Parking  0.057188036 0.2923276077515544191243
46                 ln_Bus         X22_EmpAccess  0.161396449 0.0027984335463095977303
47       ln_Centroid_Mode         X22_EmpAccess  0.392553410 0.0000000000000519584376
48           X10_PropComm         X22_EmpAccess  0.422634124 0.0000000000000004440892
49            X11_Balance         X22_EmpAccess  0.102639891 0.0583032266082517125483
50          X12_LUEntropy         X22_EmpAccess  0.258881081 0.0000012607014956422802
51         X13_PedConnect         X22_EmpAccess  0.735346193 0.0000000000000000000000
52                X14_PBN         X22_EmpAccess  0.237156983 0.0000095723486057686102
53             X16_ACDist         X22_EmpAccess -0.326513432 0.0000000006514944139724
54            X17_ACCount         X22_EmpAccess  0.138756823 0.0103080203078169674313
55            X19_Parking         X22_EmpAccess  0.106820231 0.0487282448194996664625
56                 ln_Bus             X23_C_LOS  0.016564949 0.7605267527594024024040
57       ln_Centroid_Mode             X23_C_LOS  0.593033944 0.0000000000000000000000
58           X10_PropComm             X23_C_LOS  0.205894386 0.0001285451910564283651
59            X11_Balance             X23_C_LOS  0.044958443 0.4079078112644278775178
60          X12_LUEntropy             X23_C_LOS  0.124414120 0.0215644460978827723352
61         X13_PedConnect             X23_C_LOS  0.125423088 0.0205180572007495065634
62                X14_PBN             X23_C_LOS  0.178227306 0.0009477391137684421096
63             X16_ACDist             X23_C_LOS -0.113315594 0.0364774967494834179149
64            X17_ACCount             X23_C_LOS  0.027554426 0.6121175773080775872614
65            X19_Parking             X23_C_LOS -0.008358995 0.8777716581256260752752
66          X22_EmpAccess             X23_C_LOS  0.257131599 0.0000014946263868775844
67                 ln_Bus         X24_O_Bus_LOS  0.594362862 0.0000000000000000000000
68       ln_Centroid_Mode         X24_O_Bus_LOS  0.141323338 0.0089686038099758835784
69           X10_PropComm         X24_O_Bus_LOS  0.369813993 0.0000000000017177370637
70            X11_Balance         X24_O_Bus_LOS  0.093668353 0.0841416320350139024242
71          X12_LUEntropy         X24_O_Bus_LOS  0.127556223 0.0184499896318832679043
72         X13_PedConnect         X24_O_Bus_LOS  0.258512894 0.0000013068137532101787
73                X14_PBN         X24_O_Bus_LOS  0.007880909 0.8847122890969276731710
74             X16_ACDist         X24_O_Bus_LOS -0.092029120 0.0897365278226800455741
75            X17_ACCount         X24_O_Bus_LOS  0.185777916 0.0005645943206054049313
76            X19_Parking         X24_O_Bus_LOS  0.199462833 0.0002096366217547718236
77          X22_EmpAccess         X24_O_Bus_LOS  0.151959408 0.0049210640701145003106
78              X23_C_LOS         X24_O_Bus_LOS -0.068824324 0.2048837587472998045257
79                 ln_Bus       X26_O_Train_LOS  0.168359845 0.0018094471719325433412
80       ln_Centroid_Mode       X26_O_Train_LOS  0.085072082 0.1168736116587698603553
81           X10_PropComm       X26_O_Train_LOS  0.021461501 0.6929149639077101241469
82            X11_Balance       X26_O_Train_LOS  0.076645770 0.1578804487498182140826
83          X12_LUEntropy       X26_O_Train_LOS  0.086271344 0.1117854471944161875996
84         X13_PedConnect       X26_O_Train_LOS  0.002049123 0.9699264136569873961946
85                X14_PBN       X26_O_Train_LOS  0.024202396 0.6560667650584299792627
86             X16_ACDist       X26_O_Train_LOS -0.081924841 0.1310885207041554423313
87            X17_ACCount       X26_O_Train_LOS  0.055880890 0.3035163332890489229499
88            X19_Parking       X26_O_Train_LOS  0.625127730 0.0000000000000000000000
89          X22_EmpAccess       X26_O_Train_LOS  0.195555012 0.0002801092841164809499
90              X23_C_LOS       X26_O_Train_LOS  0.047697229 0.3799157334549572162530
91          X24_O_Bus_LOS       X26_O_Train_LOS  0.082115565 0.1301907483161921508241
92                 ln_Bus            X29_PropOS -0.002881517 0.9577196712559787883379
93       ln_Centroid_Mode            X29_PropOS  0.087597668 0.1063625643755381489086
94           X10_PropComm            X29_PropOS  0.210950638 0.0000865814627419858596
95            X11_Balance            X29_PropOS  0.119894033 0.0268392855958357046120
96          X12_LUEntropy            X29_PropOS  0.187076660 0.0005154153177899800653
97         X13_PedConnect            X29_PropOS  0.380151460 0.0000000000003623767952
98                X14_PBN            X29_PropOS -0.033786992 0.5340711136810989412282
99             X16_ACDist            X29_PropOS -0.185899251 0.0005598219205402710230
100           X17_ACCount            X29_PropOS  0.120806183 0.0256934428918020874022
101           X19_Parking            X29_PropOS -0.074765829 0.1683581001662968201771
102         X22_EmpAccess            X29_PropOS  0.320584716 0.0000000013705907520034
103             X23_C_LOS            X29_PropOS  0.098215540 0.0700807339533640050178
104         X24_O_Bus_LOS            X29_PropOS  0.088157215 0.1041379840917229238073
105       X26_O_Train_LOS            X29_PropOS -0.014390675 0.7911798649145509454428
106                ln_Bus          X30_PropBach  0.018610642 0.7320233192996941085084
107      ln_Centroid_Mode          X30_PropBach  0.067547708 0.2134297104945472867144
108          X10_PropComm          X30_PropBach -0.037973510 0.4846125419379274656961
109           X11_Balance          X30_PropBach -0.263144947 0.0000008283272545650533
110         X12_LUEntropy          X30_PropBach -0.121344712 0.0250369197196493864510
111        X13_PedConnect          X30_PropBach  0.183347076 0.0006685213703061521073
112               X14_PBN          X30_PropBach  0.199686986 0.0002061458745967748030
113            X16_ACDist          X30_PropBach -0.077980015 0.1507479052685796183653
114           X17_ACCount          X30_PropBach -0.023245729 0.6688392916646999086794
115           X19_Parking          X30_PropBach  0.049128181 0.3657700005232988882398
116         X22_EmpAccess          X30_PropBach  0.368261529 0.0000000000021593837829
117             X23_C_LOS          X30_PropBach  0.099325408 0.0669575217651188214774
118         X24_O_Bus_LOS          X30_PropBach -0.252387270 0.0000023567140883251625
119       X26_O_Train_LOS          X30_PropBach  0.086479430 0.1109205745973871337640
120            X29_PropOS          X30_PropBach -0.160775470 0.0029070398197150737474
121                ln_Bus  X34_censored_PropFTE -0.117464210 0.0301082013747722143648
122      ln_Centroid_Mode  X34_censored_PropFTE  0.092797589 0.0870776011742231403900
123          X10_PropComm  X34_censored_PropFTE  0.116748616 0.0311335886788273175085
124           X11_Balance  X34_censored_PropFTE  0.165050681 0.0022307092333790912164
125         X12_LUEntropy  X34_censored_PropFTE  0.097717835 0.0715194428834311501930
126        X13_PedConnect  X34_censored_PropFTE  0.301101503 0.0000000141185436675073
127               X14_PBN  X34_censored_PropFTE  0.226663977 0.0000238547355639884273
128            X16_ACDist  X34_censored_PropFTE -0.409583613 0.0000000000000031086245
129           X17_ACCount  X34_censored_PropFTE  0.211965945 0.0000798849730112571876
130           X19_Parking  X34_censored_PropFTE -0.054733522 0.3135679117813023886185
131         X22_EmpAccess  X34_censored_PropFTE  0.390702571 0.0000000000000699440506
132             X23_C_LOS  X34_censored_PropFTE  0.084750857 0.1182667818884632904286
133         X24_O_Bus_LOS  X34_censored_PropFTE -0.093508683 0.0846739376436049795416
134       X26_O_Train_LOS  X34_censored_PropFTE  0.009897768 0.8554984803952714322861
135            X29_PropOS  X34_censored_PropFTE  0.140757639 0.0092497570525484906767
136          X30_PropBach  X34_censored_PropFTE  0.259711931 0.0000011623015665485070
137                ln_Bus X35_censored_MeanSize  0.001461457 0.9785487036579239017442
138      ln_Centroid_Mode X35_censored_MeanSize -0.188897731 0.0004531266213680940069
139          X10_PropComm X35_censored_MeanSize -0.301963388 0.0000000127799790750061
140           X11_Balance X35_censored_MeanSize -0.123532265 0.0225165776411566653792
141         X12_LUEntropy X35_censored_MeanSize -0.151894162 0.0049397874610010994445
142        X13_PedConnect X35_censored_MeanSize -0.382722541 0.0000000000002440270208
143               X14_PBN X35_censored_MeanSize -0.162003584 0.0026958280142754809106
144            X16_ACDist X35_censored_MeanSize  0.564934295 0.0000000000000000000000
145           X17_ACCount X35_censored_MeanSize -0.280645421 0.0000001366472011099518
146           X19_Parking X35_censored_MeanSize -0.011780599 0.8284020494483961272181
147         X22_EmpAccess X35_censored_MeanSize -0.484979971 0.0000000000000000000000
148             X23_C_LOS X35_censored_MeanSize -0.177229943 0.0010133253804305297763
149         X24_O_Bus_LOS X35_censored_MeanSize -0.015235907 0.7792225995806569827096
150       X26_O_Train_LOS X35_censored_MeanSize -0.054123124 0.3190032137266340939163
151            X29_PropOS X35_censored_MeanSize -0.184496851 0.0006173354946734654902
152          X30_PropBach X35_censored_MeanSize -0.112759734 0.0374120966091804341147
153  X34_censored_PropFTE X35_censored_MeanSize -0.640295794 0.0000000000000000000000
154                ln_Bus   DestScore_surrogate  0.171881260 0.0014421458198168313203
155      ln_Centroid_Mode   DestScore_surrogate  0.303619870 0.0000000105436370745338
156          X10_PropComm   DestScore_surrogate  0.327291619 0.0000000005901921174001
157           X11_Balance   DestScore_surrogate -0.097239034 0.0729261600608630544684
158         X12_LUEntropy   DestScore_surrogate  0.212232416 0.0000782099836360572453
159        X13_PedConnect   DestScore_surrogate  0.517504023 0.0000000000000000000000
160               X14_PBN   DestScore_surrogate  0.163499385 0.0024574786004623039304
161            X16_ACDist   DestScore_surrogate -0.151957126 0.0049217176859928102317
162           X17_ACCount   DestScore_surrogate  0.175267829 0.0011547183370499425337
163           X19_Parking   DestScore_surrogate  0.104245790 0.0544553775524685423903
164         X22_EmpAccess   DestScore_surrogate  0.427385030 0.0000000000000000000000
165             X23_C_LOS   DestScore_surrogate  0.157418306 0.0035633441025932910406
166         X24_O_Bus_LOS   DestScore_surrogate  0.092681371 0.0874756050049834144033
167       X26_O_Train_LOS   DestScore_surrogate  0.103336314 0.0566077875939865471366
168            X29_PropOS   DestScore_surrogate  0.128604836 0.0175016951236939277692
169          X30_PropBach   DestScore_surrogate  0.264216948 0.0000007444523981714468
170  X34_censored_PropFTE   DestScore_surrogate  0.190309614 0.0004097283053139388898
171 X35_censored_MeanSize   DestScore_surrogate -0.318569067 0.0000000017584511624591
172                ln_Bus                ln_Pop  0.108054146 0.0461670836107754833932
173      ln_Centroid_Mode                ln_Pop  0.281567411 0.0000001238328803943034
174          X10_PropComm                ln_Pop  0.195991168 0.0002712685232491018894
175           X11_Balance                ln_Pop -0.320826485 0.0000000013300651691139
176         X12_LUEntropy                ln_Pop  0.031753788 0.5589743508402842397942
177        X13_PedConnect                ln_Pop  0.599370212 0.0000000000000000000000
178               X14_PBN                ln_Pop  0.167222916 0.0019451841637243560967
179            X16_ACDist                ln_Pop -0.312579789 0.0000000036474374631723
180           X17_ACCount                ln_Pop  0.138897371 0.0102303226260314072960
181           X19_Parking                ln_Pop -0.040770095 0.4530043460835253554819
182         X22_EmpAccess                ln_Pop  0.589127474 0.0000000000000000000000
183             X23_C_LOS                ln_Pop  0.229050581 0.0000194532729056451359
184         X24_O_Bus_LOS                ln_Pop -0.035627811 0.5120157512423202383900
185       X26_O_Train_LOS                ln_Pop -0.031210676 0.5657202847926710020943
186            X29_PropOS                ln_Pop  0.341191651 0.0000000000963169544121
187          X30_PropBach                ln_Pop  0.379163202 0.0000000000004216627048
188  X34_censored_PropFTE                ln_Pop  0.362498399 0.0000000000049968917892
189 X35_censored_MeanSize                ln_Pop -0.483054838 0.0000000000000000000000
190   DestScore_surrogate                ln_Pop  0.514414534 0.0000000000000000000000
191                ln_Bus                ln_Emp  0.136124346 0.0118631197633904950095
192      ln_Centroid_Mode                ln_Emp  0.375975030 0.0000000000006841194278
193          X10_PropComm                ln_Emp  0.516286670 0.0000000000000000000000
194           X11_Balance                ln_Emp  0.310359346 0.0000000047607886521916
195         X12_LUEntropy                ln_Emp  0.328251624 0.0000000005222533516758
196        X13_PedConnect                ln_Emp  0.693194506 0.0000000000000000000000
197               X14_PBN                ln_Emp  0.174471491 0.0012171160502665312464
198            X16_ACDist                ln_Emp -0.421319574 0.0000000000000004440892
199           X17_ACCount                ln_Emp  0.177242890 0.0010124478844648621134
200           X19_Parking                ln_Emp -0.025939211 0.6331344275212718031298
201         X22_EmpAccess                ln_Emp  0.794739787 0.0000000000000000000000
202             X23_C_LOS                ln_Emp  0.275676428 0.0000002308939950346200
203         X24_O_Bus_LOS                ln_Emp  0.097772955 0.0713589309850588549011
204       X26_O_Train_LOS                ln_Emp  0.063736390 0.2404590649646620725832
205            X29_PropOS                ln_Emp  0.361950011 0.0000000000054072302191
206          X30_PropBach                ln_Emp  0.277659274 0.0000001875182373822781
207  X34_censored_PropFTE                ln_Emp  0.312020308 0.0000000039014729225073
208 X35_censored_MeanSize                ln_Emp -0.435975158 0.0000000000000000000000
209   DestScore_surrogate                ln_Emp  0.315730860 0.0000000024897719441697
210                ln_Pop                ln_Emp  0.550259028 0.0000000000000000000000
