                Factor1       Factor2       Factor3
3059-bus  -2.040689e+00  2.704640e-01 -0.8492782460
10253-bus -1.742279e+00  2.882642e-01 -1.0058299985
10235-bus -8.824848e-01  1.767556e-01 -1.0304848453
10226-bus -1.702776e+00  2.905170e-01 -1.0249581928
10233-bus -9.035662e-01  1.732566e-01 -1.0134826425
11843-bus  7.080640e-01 -2.571483e-01  0.6640555125
10206-bus -1.494160e+00  1.476075e-01 -0.6939129826
10200-bus -1.746161e+00  2.871375e-01 -1.0007681760
6673-bus  -1.102056e+00 -4.728770e-01  1.1323331266
6954-bus  -1.451904e+00 -3.501156e-01  0.9984481727
6903-bus  -1.551413e+00 -3.498239e-01  0.9940221734
7021-bus  -1.059193e-01 -2.778775e-01  0.2316558154
7080-bus   7.054815e-01 -9.946973e-02 -0.5934530631
7261-bus   7.357884e-01  4.689196e-02 -1.0491536920
7340-bus   3.209114e-02 -9.852056e-02 -0.3301947838
7277-bus   7.385970e-01  1.193923e-02 -0.9437358710
6874-bus  -7.350711e-01 -3.984573e-01  0.8166292742
6720-bus  -2.073800e-01 -3.532545e-01  0.4202395244
6949-bus   8.738798e-02 -3.435546e-01  0.3321325110
7113-bus   8.168867e-01 -3.525183e-02 -0.8233517312
6618-bus  -2.640586e-02 -3.135346e-01  0.2313834055
7041-bus   6.498269e-01 -2.174137e-01 -0.2448845019
7087-bus  -1.037472e+00 -5.833506e-01  1.3123627799
7495-bus  -3.361085e-01 -2.547358e-01  0.2885668117
7077-bus  -1.006898e+00 -4.888285e-01  1.0668541574
6528-bus   1.166933e-01 -2.869045e-01  0.1058683630
6897-bus   1.723704e-01 -4.981425e-01  0.6446173229
7198-bus   7.768694e-01  1.094324e-02 -0.9520522552
6649-bus  -1.127271e+00 -5.124831e-01  1.2625921119
6285-bus  -2.014028e-02 -3.901481e-01  0.4218200170
6816-bus  -1.278121e+00 -1.767964e-01  0.3099056495
6844-bus  -1.421834e+00 -3.092569e-01  0.8040201878
6850-bus  -9.793531e-01 -4.564224e-01  1.0514290598
7101-bus   9.451083e-01 -1.188853e-01 -0.6362236573
6871-bus   3.738033e-02 -4.973780e-01  0.7327683025
7084-bus   3.919892e-01 -3.116427e-01  0.0793751998
7175-bus   8.027906e-01 -6.466911e-02 -0.7569159139
2992-bus  -1.812224e+00  2.781520e-01 -0.9626743288
2986-bus  -1.784259e+00  2.933267e-01 -1.0167710149
10196-bus -1.746556e+00  2.873364e-01 -1.0012160230
3106-bus  -1.591388e+00  2.709715e-01 -1.0507930034
3064-bus  -1.979906e+00  2.767980e-01 -0.8894961251
3080-bus  -1.962904e+00  2.630520e-01 -0.8544739356
3091-bus  -1.959011e+00  2.432624e-01 -0.7961433585
3061-bus  -1.983869e+00  2.778797e-01 -0.8909422931
3098-bus  -1.988069e+00  2.444234e-01 -0.7915422300
11308-bus -1.965693e+00  2.777339e-01 -0.8958323561
12302-bus  3.355333e-01  4.179991e-02 -0.0575759090
12375-bus  2.835883e-01  7.359936e-03  0.0295289416
12606-bus  2.817581e-01 -1.066867e-01  0.2622769751
12480-bus  1.181834e+00 -7.744048e-03 -0.3474362857
12597-bus  1.130665e+00 -5.824474e-02 -0.2297449531
12585-bus  1.534864e+00 -2.174470e-02 -0.4880553798
3497-bus  -1.372296e+00  1.612420e-01 -0.8256763919
12654-bus  6.012489e-01 -9.733807e-02  0.1011043549
3124-bus  -1.577239e+00  2.472770e-01 -0.9851019611
3142-bus  -1.677789e+00  1.483378e-01 -0.6349517890
3131-bus  -1.935230e+00  9.023146e-02 -0.3503031002
3148-bus  -1.838206e+00  2.179568e-01 -0.7713490476
3924-bus  -1.545765e+00  2.664314e-01 -1.0130126325
10181-bus -1.410618e+00  1.884497e-01 -0.8446568115
3137-bus  -1.666497e+00  2.165224e-01 -0.8466157463
3960-bus  -1.759856e+00  2.904059e-01 -1.0230814049
3891-bus  -1.594693e+00  2.707742e-01 -1.0114108150
3961-bus  -1.760449e+00  2.903957e-01 -1.0227948051
3134-bus  -1.517960e+00  2.320357e-01 -0.9591118813
3208-bus  -1.904767e+00  2.397215e-01 -0.8162576698
12292-bus -1.906384e+00  1.385929e-01 -0.5108907805
3930-bus  -1.358172e+00  2.888695e-01 -1.1795427635
3140-bus  -1.534890e+00  2.098265e-01 -0.8865244053
3933-bus  -1.380356e+00  2.539449e-01 -1.0534369556
12291-bus -1.856542e+00  1.649692e-01 -0.6073755153
3380-bus  -4.115468e-01  2.567704e-01 -1.5031149835
18-bus    -1.873652e+00  1.433329e-01 -0.5335192246
3143-bus  -1.690163e+00  2.477248e-01 -0.9277997864
3904-bus  -1.502131e+00  2.719632e-01 -1.0434284014
12306-bus -1.861378e+00  1.583394e-01 -0.5827054664
3963-bus  -1.555053e+00  2.798852e-01 -1.0841570014
12303-bus -1.824484e+00  1.510363e-01 -0.5723373236
12771-bus -1.878673e+00  2.532227e-01 -0.8672856861
11173-bus -1.960868e+00  2.803912e-01 -0.9056277968
3145-bus  -1.539314e+00  2.191872e-01 -0.9144366383
3286-bus  -1.898338e+00  2.430198e-01 -0.8287906601
12295-bus -1.895698e+00  1.512009e-01 -0.5523217016
11053-bus -1.886352e+00  2.435120e-01 -0.8305104792
10179-bus -1.379593e+00  2.157448e-01 -0.9377436518
3329-bus  -1.887103e+00  2.499398e-01 -0.8540247596
3023-bus  -1.833567e+00  2.907628e-01 -0.9891310581
3966-bus  -1.268818e+00 -5.291434e-02 -0.2412735358
3958-bus  -1.565309e+00  2.848217e-01 -1.0940414842
3964-bus  -1.481192e+00  1.334911e-01 -0.6901078799
12301-bus -1.797736e+00  1.781979e-01 -0.6630801194
11406-bus -1.958375e+00  2.785691e-01 -0.9014326718
11404-bus -1.959466e+00  2.784939e-01 -0.9007410140
11137-bus -1.929982e+00  2.845271e-01 -0.9264382523
2977-bus  -1.629877e+00  2.667564e-01 -1.0114747969
3969-bus  -7.325228e-01 -1.286368e-01 -0.2335710788
4034-bus  -1.848789e+00  1.183388e-01 -0.4820986269
11077-bus -1.947723e+00  2.462741e-01 -0.8116495228
3967-bus  -1.209599e+00  1.707946e-02 -0.4738091323
2978-bus  -1.598961e+00  2.652371e-01 -1.0158396973
2902-bus  -1.388995e+00  2.434342e-01 -1.0190500338
4052-bus  -1.685343e+00  1.064019e-01 -0.5233148648
12300-bus -1.814381e+00  1.972894e-01 -0.7159156232
11123-bus -1.929303e+00  2.845557e-01 -0.9268158346
2980-bus  -1.437596e+00  2.753897e-01 -1.1227222546
2898-bus  -2.198466e+00  2.526161e-01 -0.7207532525
3982-bus  -5.623879e-01  1.373837e-01 -1.0738899077
3979-bus  -5.517261e-01  1.298373e-01 -1.0536660241
2919-bus  -2.183023e+00  2.542516e-01 -0.7329543685
3988-bus  -1.587731e+00  2.972143e-01 -1.1083120950
3984-bus  -9.156140e-01  1.508278e-01 -0.9768239880
3981-bus  -3.956127e-01  1.259158e-01 -1.1158813648
2889-bus  -1.317276e+00  2.493097e-01 -1.0872864979
11072-bus -1.918289e+00  2.848530e-01 -0.9370906474
3978-bus  -4.398487e-01  6.903444e-02 -0.9283045868
3972-bus  -4.710956e-01  2.453288e-02 -0.7827274451
3990-bus  -1.617903e+00  2.947803e-01 -1.0927438998
3001-bus  -1.677265e+00  2.907536e-01 -1.0547486749
3976-bus  -4.105280e-01  9.933057e-02 -1.0294491280
2892-bus  -1.264042e+00  2.599177e-01 -1.1368448795
3985-bus  -1.176394e+00  1.771286e-01 -0.9480720139
12283-bus -2.010887e+00  2.337710e-01 -0.7432180646
11065-bus -7.505146e-01  2.281898e-01 -1.2463975250
3022-bus  -1.921969e+00  2.593650e-01 -0.8590349058
3017-bus  -1.864615e+00  2.523911e-01 -0.8542664423
12298-bus -1.873140e+00 -3.131276e-02 -0.0032564328
3987-bus  -1.078502e+00  2.735495e-01 -1.2731058878
3975-bus  -1.016587e+00  1.477313e-01 -0.9315719720
3970-bus  -1.422587e+00  1.343049e-01 -0.7110537848
12297-bus -1.836593e+00  5.308585e-03 -0.1258667192
12294-bus -1.863823e+00 -2.460906e-02 -0.0262672072
3973-bus  -6.212187e-01  1.652831e-01 -1.1360978664
12288-bus -2.105602e+00  3.015935e-03 -0.0059768692
12286-bus -1.740919e+00  9.106567e-02 -0.4165828316
