                  row            column          cor            p
1            PropComm           Balance  0.511105366 0.000000e+00
2            PropComm         LUEntropy  0.344547966 0.000000e+00
3             Balance         LUEntropy  0.164742874 0.000000e+00
4            PropComm        PedConnect  0.089682004 0.000000e+00
5             Balance        PedConnect -0.036370587 3.960754e-04
6           LUEntropy        PedConnect  0.118302280 0.000000e+00
7            PropComm               PBN  0.078110413 2.575717e-14
8             Balance               PBN  0.073506003 7.656098e-13
9           LUEntropy               PBN  0.253150260 0.000000e+00
10         PedConnect               PBN  0.161139352 0.000000e+00
11           PropComm         DestScore  0.154452045 0.000000e+00
12            Balance         DestScore  0.006571212 5.222600e-01
13          LUEntropy         DestScore  0.247170108 0.000000e+00
14         PedConnect         DestScore  0.413748557 0.000000e+00
15                PBN         DestScore  0.134209427 0.000000e+00
16           PropComm         Parkiteer  0.082691371 8.881784e-16
17            Balance         Parkiteer  0.019569232 5.668951e-02
18          LUEntropy         Parkiteer  0.091634408 0.000000e+00
19         PedConnect         Parkiteer  0.095578776 0.000000e+00
20                PBN         Parkiteer  0.015016499 1.436634e-01
21          DestScore         Parkiteer  0.127688173 0.000000e+00
22           PropComm            ACDist -0.085957057 0.000000e+00
23            Balance            ACDist -0.102547262 0.000000e+00
24          LUEntropy            ACDist -0.011560833 2.602711e-01
25         PedConnect            ACDist -0.280160181 0.000000e+00
26                PBN            ACDist -0.074781745 3.055334e-13
27          DestScore            ACDist -0.251196122 0.000000e+00
28          Parkiteer            ACDist -0.041558387 5.156599e-05
29           PropComm           ACCount  0.246704017 0.000000e+00
30            Balance           ACCount  0.054868648 8.954641e-08
31          LUEntropy           ACCount  0.183500296 0.000000e+00
32         PedConnect           ACCount  0.183461918 0.000000e+00
33                PBN           ACCount  0.042310229 3.760552e-05
34          DestScore           ACCount  0.291891167 0.000000e+00
35          Parkiteer           ACCount  0.153622528 0.000000e+00
36             ACDist           ACCount -0.151969789 0.000000e+00
37           PropComm           Parking  0.089234037 0.000000e+00
38            Balance           Parking  0.022175725 3.080502e-02
39          LUEntropy           Parking  0.124762011 0.000000e+00
40         PedConnect           Parking  0.112906026 0.000000e+00
41                PBN           Parking  0.015684466 1.266771e-01
42          DestScore           Parking  0.151712931 0.000000e+00
43          Parkiteer           Parking  0.561367243 0.000000e+00
44             ACDist           Parking -0.044465931 1.478124e-05
45            ACCount           Parking  0.145558555 0.000000e+00
46           PropComm         PropUrban -0.366292212 0.000000e+00
47            Balance         PropUrban -0.378775624 0.000000e+00
48          LUEntropy         PropUrban -0.407855190 0.000000e+00
49         PedConnect         PropUrban  0.279003346 0.000000e+00
50                PBN         PropUrban -0.084097482 2.220446e-16
51          DestScore         PropUrban  0.227981448 0.000000e+00
52          Parkiteer         PropUrban  0.017446560 8.932803e-02
53             ACDist         PropUrban -0.373191220 0.000000e+00
54            ACCount         PropUrban  0.059689066 5.980935e-09
55            Parking         PropUrban  0.020165100 4.956073e-02
56           PropComm         PropRural -0.008275082 4.203678e-01
57            Balance         PropRural  0.005095806 6.197553e-01
58          LUEntropy         PropRural -0.003059665 7.657570e-01
59         PedConnect         PropRural  0.026104101 1.101358e-02
60                PBN         PropRural  0.006752163 5.108686e-01
61          DestScore         PropRural  0.007477051 4.665689e-01
62          Parkiteer         PropRural  0.011879743 2.473512e-01
63             ACDist         PropRural -0.031024936 2.513444e-03
64            ACCount         PropRural  0.008326013 4.175134e-01
65            Parking         PropRural -0.002004327 8.452618e-01
66          PropUrban         PropRural  0.025889263 1.169096e-02
67           PropComm         EmpAccess  0.283939821 0.000000e+00
68            Balance         EmpAccess  0.160633560 0.000000e+00
69          LUEntropy         EmpAccess  0.201978893 0.000000e+00
70         PedConnect         EmpAccess  0.493055629 0.000000e+00
71                PBN         EmpAccess  0.225283774 0.000000e+00
72          DestScore         EmpAccess  0.409374627 0.000000e+00
73          Parkiteer         EmpAccess  0.019625350 5.598361e-02
74             ACDist         EmpAccess -0.171297068 0.000000e+00
75            ACCount         EmpAccess  0.105962932 0.000000e+00
76            Parking         EmpAccess  0.023847245 2.021098e-02
77          PropUrban         EmpAccess  0.019644919 5.573920e-02
78          PropRural         EmpAccess -0.011685533 2.551647e-01
79           PropComm             C_LOS  0.188545355 0.000000e+00
80            Balance             C_LOS  0.106457261 0.000000e+00
81          LUEntropy             C_LOS  0.149942549 0.000000e+00
82         PedConnect             C_LOS  0.259464361 0.000000e+00
83                PBN             C_LOS  0.089198629 0.000000e+00
84          DestScore             C_LOS  0.244124525 0.000000e+00
85          Parkiteer             C_LOS  0.249422251 0.000000e+00
86             ACDist             C_LOS -0.192429247 0.000000e+00
87            ACCount             C_LOS  0.198856701 0.000000e+00
88            Parking             C_LOS  0.228284580 0.000000e+00
89          PropUrban             C_LOS  0.087116876 0.000000e+00
90          PropRural             C_LOS  0.016490608 1.083071e-01
91          EmpAccess             C_LOS  0.236693529 0.000000e+00
92           PropComm        O_Tram_LOS  0.150377738 0.000000e+00
93            Balance        O_Tram_LOS  0.082928374 4.440892e-16
94          LUEntropy        O_Tram_LOS  0.123726682 0.000000e+00
95         PedConnect        O_Tram_LOS  0.238519280 0.000000e+00
96                PBN        O_Tram_LOS  0.144386574 0.000000e+00
97          DestScore        O_Tram_LOS  0.272909457 0.000000e+00
98          Parkiteer        O_Tram_LOS -0.014491966 1.581856e-01
99             ACDist        O_Tram_LOS -0.074970343 2.664535e-13
100           ACCount        O_Tram_LOS  0.088834237 0.000000e+00
101           Parking        O_Tram_LOS -0.014473610 1.587132e-01
102         PropUrban        O_Tram_LOS  0.003838396 7.085847e-01
103         PropRural        O_Tram_LOS  0.010600384 3.019690e-01
104         EmpAccess        O_Tram_LOS  0.416255828 0.000000e+00
105             C_LOS        O_Tram_LOS  0.110837678 0.000000e+00
106          PropComm       O_Train_LOS  0.091168587 0.000000e+00
107           Balance       O_Train_LOS  0.017686513 8.501094e-02
108         LUEntropy       O_Train_LOS  0.125572095 0.000000e+00
109        PedConnect       O_Train_LOS  0.143656176 0.000000e+00
110               PBN       O_Train_LOS  0.039864053 1.030798e-04
111         DestScore       O_Train_LOS  0.217839953 0.000000e+00
112         Parkiteer       O_Train_LOS  0.586341465 0.000000e+00
113            ACDist       O_Train_LOS -0.056231881 4.258009e-08
114           ACCount       O_Train_LOS  0.196115669 0.000000e+00
115           Parking       O_Train_LOS  0.491731972 0.000000e+00
