                  row            column          cor                        p
1            PropComm           Balance  0.511105366 0.0000000000000000000000
2            PropComm         LUEntropy  0.344547966 0.0000000000000000000000
3             Balance         LUEntropy  0.164742874 0.0000000000000000000000
4            PropComm        PedConnect  0.089682004 0.0000000000000000000000
5             Balance        PedConnect -0.036370587 0.0003960754444887193415
6           LUEntropy        PedConnect  0.118302280 0.0000000000000000000000
7            PropComm               PBN  0.078110413 0.0000000000000257571742
8             Balance               PBN  0.073506003 0.0000000000007656097978
9           LUEntropy               PBN  0.253150260 0.0000000000000000000000
10         PedConnect               PBN  0.161139352 0.0000000000000000000000
11           PropComm         DestScore  0.154452045 0.0000000000000000000000
12            Balance         DestScore  0.006571212 0.5222600453856076629933
13          LUEntropy         DestScore  0.247170108 0.0000000000000000000000
14         PedConnect         DestScore  0.413748557 0.0000000000000000000000
15                PBN         DestScore  0.134209427 0.0000000000000000000000
16           PropComm         Parkiteer  0.082691371 0.0000000000000008881784
17            Balance         Parkiteer  0.019569232 0.0566895096394994801869
18          LUEntropy         Parkiteer  0.091634408 0.0000000000000000000000
19         PedConnect         Parkiteer  0.095578776 0.0000000000000000000000
20                PBN         Parkiteer  0.015016499 0.1436634345984768579285
21          DestScore         Parkiteer  0.127688173 0.0000000000000000000000
22           PropComm           ACCount  0.246704017 0.0000000000000000000000
23            Balance           ACCount  0.054868648 0.0000000895464098427112
24          LUEntropy           ACCount  0.183500296 0.0000000000000000000000
25         PedConnect           ACCount  0.183461918 0.0000000000000000000000
26                PBN           ACCount  0.042310229 0.0000376055247324202924
27          DestScore           ACCount  0.291891167 0.0000000000000000000000
28          Parkiteer           ACCount  0.153622528 0.0000000000000000000000
29           PropComm           Parking  0.089234037 0.0000000000000000000000
30            Balance           Parking  0.022175725 0.0308050238750428029277
31          LUEntropy           Parking  0.124762011 0.0000000000000000000000
32         PedConnect           Parking  0.112906026 0.0000000000000000000000
33                PBN           Parking  0.015684466 0.1266771354612807876094
34          DestScore           Parking  0.151712931 0.0000000000000000000000
35          Parkiteer           Parking  0.561367243 0.0000000000000000000000
36            ACCount           Parking  0.145558555 0.0000000000000000000000
