                 row            column          cor                        p
1           PropComm           Balance  0.583654751 0.0000000000000000000000
2           PropComm         LUEntropy  0.342400889 0.0000003199496250161360
3            Balance         LUEntropy  0.071846174 0.2977560423807179557087
4           PropComm        PedConnect  0.487916540 0.0000000000000444089210
5            Balance        PedConnect  0.339150223 0.0000004199895289325184
6          LUEntropy        PedConnect  0.236640801 0.0005115125489489891208
7           PropComm               PBN  0.150690608 0.0282600089219737782287
8            Balance               PBN  0.106904757 0.1207090533832251288970
9          LUEntropy               PBN  0.263510676 0.0001032007612011831554
10        PedConnect               PBN  0.233122434 0.0006227444768449608148
11          PropComm         DestScore  0.529591437 0.0000000000000000000000
12           Balance         DestScore  0.248980417 0.0002506374776498621060
13         LUEntropy         DestScore  0.275193609 0.0000486758990869695651
14        PedConnect         DestScore  0.504877672 0.0000000000000039968029
15               PBN         DestScore  0.170545555 0.0128917851851699793997
16          PropComm         Parkiteer  0.104911937 0.1278300906300120498571
17           Balance         Parkiteer  0.014899501 0.8292454758203353648582
18         LUEntropy         Parkiteer  0.094656284 0.1697047964854410118107
19        PedConnect         Parkiteer  0.116194226 0.0915011564605290317331
20               PBN         Parkiteer  0.017346069 0.8017458763538798383053
21         DestScore         Parkiteer  0.203907339 0.0028563931119927055136
22          PropComm            ACDist -0.285782114 0.0000239049782218003770
23           Balance            ACDist -0.271217368 0.0000631058092768199685
24         LUEntropy            ACDist -0.130709378 0.0574246007254324286606
25        PedConnect            ACDist -0.328700304 0.0000009863959209432949
26               PBN            ACDist -0.196475374 0.0040806856155781723317
27         DestScore            ACDist -0.245626404 0.0003053682380562694476
28         Parkiteer            ACDist -0.047578918 0.4907892392726500574440
29          PropComm           ACCount  0.311171738 0.0000038534205395457377
30           Balance           ACCount  0.131168619 0.0565466340686042734376
31         LUEntropy           ACCount  0.062900117 0.3621227846765113778105
32        PedConnect           ACCount  0.205862259 0.0025952714833359369351
33               PBN           ACCount  0.061599529 0.3721529567625339041115
34         DestScore           ACCount  0.250047353 0.0002352403890075738246
35         Parkiteer           ACCount -0.035374853 0.6085245047680398755574
36            ACDist           ACCount -0.294617119 0.0000129158977451027113
37          PropComm           Parking  0.202278524 0.0030918974966884782418
38           Balance           Parking -0.004844272 0.9441004900905010099876
39         LUEntropy           Parking  0.165671693 0.0157497013346890035734
40        PedConnect           Parking  0.036102057 0.6011715386555676055025
41               PBN           Parking  0.008729133 0.8994556233453643301345
42         DestScore           Parking  0.224127659 0.0010163608839182103338
43         Parkiteer           Parking  0.449392491 0.0000000000062070348861
44            ACDist           Parking  0.111145301 0.1065847139215287953107
45           ACCount           Parking  0.131623085 0.0556887477821335075134
46          PropComm         PropUrban -0.085639884 0.2142933650815310731019
47           Balance         PropUrban -0.045293631 0.5118737361531253693414
48         LUEntropy         PropUrban -0.604762549 0.0000000000000000000000
49        PedConnect         PropUrban  0.124537840 0.0703533310352892904405
50               PBN         PropUrban -0.088068783 0.2015307169796634045866
51         DestScore         PropUrban  0.164675212 0.0163978141936902410691
52         Parkiteer         PropUrban  0.085193813 0.2166987872407930559859
53            ACDist         PropUrban -0.185189810 0.0068532848118643130420
54           ACCount         PropUrban  0.097314886 0.1579787595565869118275
55           Parking         PropUrban  0.042254492 0.5406233707712961855663
56          PropComm         EmpAccess  0.609395015 0.0000000000000000000000
57           Balance         EmpAccess  0.435157766 0.0000000000331215055382
58         LUEntropy         EmpAccess  0.248313941 0.0002607263042064822400
59        PedConnect         EmpAccess  0.679714947 0.0000000000000000000000
60               PBN         EmpAccess  0.251689051 0.0002132606533797876125
61         DestScore         EmpAccess  0.616988636 0.0000000000000000000000
62         Parkiteer         EmpAccess  0.039711193 0.5652831257770352113567
63            ACDist         EmpAccess -0.343237924 0.0000002981525346612557
64           ACCount         EmpAccess  0.123801773 0.0720423891806134530924
65           Parking         EmpAccess -0.005597275 0.9354289446871648650017
66         PropUrban         EmpAccess  0.063080382 0.3607459637994183676568
67          PropComm             C_LOS  0.451212009 0.0000000000049829029791
68           Balance             C_LOS  0.455001935 0.0000000000031399327582
69         LUEntropy             C_LOS -0.017926740 0.7952533997091948414493
70        PedConnect             C_LOS  0.367534103 0.0000000350883855304573
71               PBN             C_LOS  0.032652653 0.6363951050176719359541
72         DestScore             C_LOS  0.284987994 0.0000252397862370301596
73         Parkiteer             C_LOS  0.279694584 0.0000361050723136635554
74            ACDist             C_LOS -0.180705315 0.0083568781138814163256
75           ACCount             C_LOS  0.267137161 0.0000820294407501975797
76           Parking             C_LOS  0.261022190 0.0001205821152727715173
77         PropUrban             C_LOS  0.098414599 0.1533105745913601047903
78         EmpAccess             C_LOS  0.335995675 0.0000005452813380824040
79          PropComm         O_Bus_LOS  0.217501779 0.0014406347837712107918
80           Balance         O_Bus_LOS  0.027696656 0.6884480292354335784211
81         LUEntropy         O_Bus_LOS  0.104476570 0.1294281379727428848980
82        PedConnect         O_Bus_LOS  0.140574427 0.0408688219541897268527
83               PBN         O_Bus_LOS  0.090698093 0.1883454680167848671601
84         DestScore         O_Bus_LOS  0.189201590 0.0057179067837818120523
85         Parkiteer         O_Bus_LOS -0.057747230 0.4028514084457914812276
86            ACDist         O_Bus_LOS -0.088360218 0.2000371560298701556491
87           ACCount         O_Bus_LOS  0.019773663 0.7746983864789660501060
88           Parking         O_Bus_LOS -0.017738808 0.7973531469666106374916
89         PropUrban         O_Bus_LOS -0.034186842 0.6206215039312026338081
90         EmpAccess         O_Bus_LOS  0.233715888 0.0006025387439083651486
91             C_LOS         O_Bus_LOS -0.002651766 0.9693830385833246410243
92          PropComm        O_Tram_LOS  0.397681645 0.0000000019058445932529
93           Balance        O_Tram_LOS  0.347468543 0.0000002080576293472802
94         LUEntropy        O_Tram_LOS  0.111715607 0.1047887046155984158702
95        PedConnect        O_Tram_LOS  0.278008691 0.0000404044952464488460
96               PBN        O_Tram_LOS  0.199290848 0.0035700249749017753942
97         DestScore        O_Tram_LOS  0.424014624 0.0000000001164819352084
98         Parkiteer        O_Tram_LOS -0.046655380 0.4992537774501903946600
99            ACDist        O_Tram_LOS -0.155245075 0.0237739753462973268938
100          ACCount        O_Tram_LOS  0.034578580 0.6166211173323761229881
101          Parking        O_Tram_LOS -0.039149607 0.5707997121758490166599
102        PropUrban        O_Tram_LOS  0.048622528 0.4813171309270241060574
103        EmpAccess        O_Tram_LOS  0.377926706 0.0000000132885837889063
104            C_LOS        O_Tram_LOS  0.252309824 0.0002054602738248423321
105        O_Bus_LOS        O_Tram_LOS  0.013286547 0.8474917287317327296847
106         PropComm       O_Train_LOS  0.153296820 0.0256117611116208898636
107          Balance       O_Train_LOS -0.013315315 0.8471655600612875147704
108        LUEntropy       O_Train_LOS  0.113364006 0.0997314608602397623116
109       PedConnect       O_Train_LOS  0.111355088 0.1059212568737386561679
110              PBN       O_Train_LOS -0.009762280 0.8876298414225267663369
111        DestScore       O_Train_LOS  0.218875584 0.0013412215015835560195
112        Parkiteer       O_Train_LOS  0.570192144 0.0000000000000000000000
113           ACDist       O_Train_LOS -0.077471326 0.2614293678023451583670
114          ACCount       O_Train_LOS  0.111375248 0.1058576730428351098112
115          Parking       O_Train_LOS  0.607710457 0.0000000000000000000000
116        PropUrban       O_Train_LOS  0.102564667 0.1366288345623147826302
117        EmpAccess       O_Train_LOS  0.073653462 0.2857367103883952097476
118            C_LOS       O_Train_LOS  0.314129460 0.0000030803050863337234
119        O_Bus_LOS       O_Train_LOS  0.077436177 0.2616464750962264051992
120       O_Tram_LOS       O_Train_LOS -0.069653024 0.3127858098394753483262
121         PropComm             O_LOS  0.474339282 0.0000000000002717825964
122          Balance             O_LOS  0.296509619 0.0000112899498088125938
123        LUEntropy             O_LOS  0.179140758 0.0089465936244599308935
124       PedConnect             O_LOS  0.330042570 0.0000008854922741718951
125              PBN             O_LOS  0.191903577 0.0050512842917456168834
126        DestScore             O_LOS  0.518465481 0.0000000000000004440892
127        Parkiteer             O_LOS  0.207731545 0.0023660505924090191598
128           ACDist             O_LOS -0.194412322 0.0044956958974675664820
129          ACCount             O_LOS  0.087050427 0.2068130033952524371443
130          Parking             O_LOS  0.243722976 0.0003411773819124164220
131        PropUrban             O_LOS  0.078385638 0.2558253214709977907404
132        EmpAccess             O_LOS  0.425562539 0.0000000000980797665306
133            C_LOS             O_LOS  0.358768801 0.0000000775191610902226
134        O_Bus_LOS             O_LOS  0.352349779 0.0000001364653625657297
135       O_Tram_LOS             O_LOS  0.818520594 0.0000000000000000000000
136      O_Train_LOS             O_LOS  0.429155520 0.0000000000655795417970
137         PropComm            MedInc -0.102715449 0.1360500353691858066441
138          Balance            MedInc -0.031799558 0.6452380489672955299341
139        LUEntropy            MedInc  0.098409837 0.1533305612392446004577
140       PedConnect            MedInc  0.210641349 0.0020456567206661446789
141              PBN            MedInc  0.155814640 0.0232586394718374833701
142        DestScore            MedInc  0.178606709 0.0091561752879556479456
143        Parkiteer            MedInc -0.042370342 0.5395129399680522741534
144           ACDist            MedInc -0.127710473 0.0634384106874228415052
145          ACCount            MedInc  0.012919130 0.8516598185569359547031
146          Parking            MedInc -0.115234807 0.0942281730611702617040
147        PropUrban            MedInc -0.018764122 0.7859154800191836542922
148        EmpAccess            MedInc  0.204880343 0.0027235895243391539111
149            C_LOS            MedInc -0.121425740 0.0777208978437722297627
150        O_Bus_LOS            MedInc -0.025803811 0.7087390894966774101960
151       O_Tram_LOS            MedInc  0.101531756 0.1406446710568778346584
152      O_Train_LOS            MedInc -0.054584998 0.4291422170681087333577
153            O_LOS            MedInc  0.052750413 0.4448381721180054704234
154         PropComm            PropOS  0.124470545 0.0705064014362486446430
155          Balance            PropOS  0.082090519 0.2339681106666939847116
156        LUEntropy            PropOS -0.069047885 0.3170186864677544402724
157       PedConnect            PropOS  0.179574176 0.0087796424187183141896
158              PBN            PropOS  0.074303766 0.2814926555797983009910
159        DestScore            PropOS  0.052049229 0.4509220065240193697775
160        Parkiteer            PropOS -0.037656605 0.5855882908698342159681
161           ACDist            PropOS -0.283444341 0.0000280383232749148448
162          ACCount            PropOS  0.061357173 0.3740407453056031616967
163          Parking            PropOS -0.132375459 0.0542921837352867697746
164        PropUrban            PropOS  0.072108781 0.2959890575264290113466
165        EmpAccess            PropOS  0.291043244 0.0000166092062801048712
166            C_LOS            PropOS  0.066399472 0.3359806774455469380314
167        O_Bus_LOS            PropOS  0.131127769 0.0566242787442519102115
