                  row            column           cor                        p
1            PropComm           Balance  0.5112903547 0.0000000000000004440892
2            PropComm         LUEntropy  0.4002457409 0.0000000007168794446955
3             Balance         LUEntropy  0.2181763561 0.0011260864153546101818
4            PropComm        PedConnect  0.4045103159 0.0000000004541793607871
5             Balance        PedConnect  0.3696111702 0.0000000158200403888031
6           LUEntropy        PedConnect  0.1459635562 0.0304443608104763008271
7            PropComm               PBN  0.2145078065 0.0013700769991955574767
8             Balance               PBN  0.2174756568 0.0011693569218582666736
9           LUEntropy               PBN  0.0343337622 0.6125054862685499479369
10         PedConnect               PBN  0.3465546184 0.0000001325071248281517
11           PropComm         DestScore  0.1991135440 0.0030143981896895155614
12            Balance         DestScore  0.1320533294 0.0504552549535799421676
13          LUEntropy         DestScore  0.2373133108 0.0003841619006403895753
14         PedConnect         DestScore  0.5036232505 0.0000000000000015543122
15                PBN         DestScore  0.1471556671 0.0290998952696668311546
16           PropComm         Parkiteer  0.0353474036 0.6020442718829446260287
17            Balance         Parkiteer  0.0035464048 0.9582879083440225542745
18          LUEntropy         Parkiteer  0.1150316543 0.0887309578512978092135
19         PedConnect         Parkiteer -0.1413313877 0.0361827352595853746209
20                PBN         Parkiteer -0.1029038513 0.1280947650806552040592
21          DestScore         Parkiteer -0.0739159498 0.2750093744911663584674
22           PropComm            ACDist -0.2205241921 0.0009915911809597055537
23            Balance            ACDist -0.2171104232 0.0011925113642414775228
24          LUEntropy            ACDist -0.0808979458 0.2320735175917456594163
25         PedConnect            ACDist -0.3200491505 0.0000012459872598125088
26                PBN            ACDist -0.0347412263 0.6082906853829364024477
27          DestScore            ACDist -0.3143902967 0.0000019572309222226636
28          Parkiteer            ACDist -0.1192860324 0.0774751134573194999433
29           PropComm           ACCount  0.2361513599 0.0004111270049467208310
30            Balance           ACCount  0.0634031031 0.3492707124650484828976
31          LUEntropy           ACCount  0.1948527216 0.0037134329454628911549
32         PedConnect           ACCount  0.1224889087 0.0697873647878100022979
33                PBN           ACCount -0.1549371613 0.0215107543918358068424
34          DestScore           ACCount  0.2618768658 0.0000846087654524652066
35          Parkiteer           ACCount  0.1985793695 0.0030949600056207060561
36             ACDist           ACCount -0.5744733411 0.0000000000000000000000
37           PropComm               FTZ  0.4382286885 0.0000000000097231112051
38            Balance               FTZ  0.4117053361 0.0000000002071978144613
39          LUEntropy               FTZ -0.0448448780 0.5081629856273131018440
40         PedConnect               FTZ  0.4342000568 0.0000000000157442947568
41                PBN               FTZ  0.1716355253 0.0107656057102656355084
42          DestScore               FTZ  0.1501016615 0.0259932478654394394368
43          Parkiteer               FTZ -0.0958971903 0.1563218007269977505302
44             ACDist               FTZ -0.0603478135 0.3730280022951548701826
45            ACCount               FTZ -0.0273170862 0.6869887662109943615718
46           PropComm           Parking  0.0127510066 0.8508310075751297496538
47            Balance           Parking -0.1063212419 0.1158403253613831118685
48          LUEntropy           Parking  0.1088054398 0.1075215690212534269676
49         PedConnect           Parking -0.1317597889 0.0509741277233513034872
50                PBN           Parking -0.1645206671 0.0145655555931454294694
51          DestScore           Parking  0.0084836413 0.9004300132730025385541
52          Parkiteer           Parking  0.2253805274 0.0007590268881552120206
53             ACDist           Parking -0.0932127537 0.1682978567200994479691
54            ACCount           Parking  0.1157806866 0.0866594555079158723743
55                FTZ           Parking -0.1030393677 0.1275904771396580983378
56           PropComm         PropUrban -0.3230239630 0.0000009790242310181441
57            Balance         PropUrban -0.2444692142 0.0002511189047895712179
58          LUEntropy         PropUrban -0.4992909405 0.0000000000000028865799
59         PedConnect         PropUrban  0.0977655732 0.1483732014759564510342
60                PBN         PropUrban -0.1298230578 0.0545098909477439441673
61          DestScore         PropUrban  0.1943859614 0.0037982904711246767704
62          Parkiteer         PropUrban  0.0016871508 0.9801491250234000141006
63             ACDist         PropUrban -0.2707536265 0.0000471515740672057149
64            ACCount         PropUrban  0.2070401381 0.0020223909062928591140
65                FTZ         PropUrban -0.0659081216 0.3305210480412892337654
66            Parking         PropUrban -0.0460589328 0.4967366311867251749135
67           PropComm         PropRural -0.0939010556 0.1651638527738983341919
68            Balance         PropRural -0.0665726491 0.3256578016013351728475
69          LUEntropy         PropRural -0.1325495568 0.0495881037274030767037
70         PedConnect         PropRural -0.0289706001 0.6691278741516710759640
71                PBN         PropRural -0.0181034390 0.7894617639198968639391
72          DestScore         PropRural -0.0829154600 0.2205980645668406125992
73          Parkiteer         PropRural -0.0824865953 0.2230029379548432721947
74             ACDist         PropRural  0.0483706975 0.4753606293375063351903
75            ACCount         PropRural -0.0992548508 0.1422600408734298049751
76                FTZ         PropRural -0.0195265958 0.7733438585712428814389
77            Parking         PropRural -0.0692809567 0.3063180590522063262426
78          PropUrban         PropRural  0.0720465803 0.2873653678643177666885
79           PropComm         EmpAccess  0.3070415179 0.0000034704996973999869
80            Balance         EmpAccess  0.3984243065 0.0000000008694700515122
81          LUEntropy         EmpAccess  0.0676416677 0.3179318297291267025884
82         PedConnect         EmpAccess  0.6703421151 0.0000000000000000000000
83                PBN         EmpAccess  0.2658319589 0.0000653700843686877420
84          DestScore         EmpAccess  0.3691320470 0.0000000165630493764723
85          Parkiteer         EmpAccess -0.3656143427 0.0000000231469159395203
86             ACDist         EmpAccess -0.2679875465 0.0000566989801320527675
87            ACCount         EmpAccess  0.0316189780 0.6409075952886618132709
88                FTZ         EmpAccess  0.3218333133 0.0000010785530100143603
89            Parking         EmpAccess -0.2230926968 0.0008614830355420100005
90          PropUrban         EmpAccess  0.0321429152 0.6353836211518388843444
91          PropRural         EmpAccess -0.0858494949 0.2046398244670004640255
92           PropComm             C_LOS -0.0973500445 0.1501139091987684359708
93            Balance             C_LOS -0.0197083120 0.7712926505491179973717
94          LUEntropy             C_LOS  0.0508571027 0.4529407711266801861427
95         PedConnect             C_LOS  0.0775577122 0.2519856212406650364244
96                PBN             C_LOS -0.0432909231 0.5229857206379000533758
97          DestScore             C_LOS  0.1722766770 0.0104706013249797891262
98          Parkiteer             C_LOS  0.0631148053 0.3514708011076810301176
99             ACDist             C_LOS -0.2807735734 0.0000237729325707203287
100           ACCount             C_LOS  0.1125318772 0.0959324262142620121097
