                  row            column          cor                        p
1            PropComm           Balance  0.523945095 0.0000000000000002220446
2            PropComm         LUEntropy  0.386839455 0.0000000056217199784214
3             Balance         LUEntropy  0.183027505 0.0075451899899854346643
4            PropComm        PedConnect  0.422374916 0.0000000001396223137107
5             Balance        PedConnect  0.348102287 0.0000001970507459425619
6           LUEntropy        PedConnect  0.172737552 0.0117624314049533662541
7            PropComm               PBN  0.203716180 0.0028831638095658806975
8             Balance               PBN  0.219280814 0.0013131213657133766759
9           LUEntropy               PBN  0.035057695 0.6117437809556223182739
10         PedConnect               PBN  0.345539630 0.0000002453082883491220
11           PropComm         DestScore  0.186867503 0.0063560491839007582371
12            Balance         DestScore  0.103842662 0.1317824291675999681672
13          LUEntropy         DestScore  0.232095101 0.0006592086513641515211
14         PedConnect         DestScore  0.507372169 0.0000000000000028865799
15                PBN         DestScore  0.148377336 0.0308034922571596148089
16           PropComm         Parkiteer  0.031569716 0.6476291413543291408672
17            Balance         Parkiteer -0.032762491 0.6352602459377947319297
18          LUEntropy         Parkiteer  0.103095168 0.1346007521856800170923
19         PedConnect         Parkiteer -0.138557946 0.0438797852492396334156
20                PBN         Parkiteer -0.119416800 0.0827997023723967551234
21          DestScore         Parkiteer -0.080685335 0.2420981027233772842067
22           PropComm            ACDist -0.258779513 0.0001385590024551852650
23            Balance            ACDist -0.201922259 0.0031456953477091431637
24          LUEntropy            ACDist -0.110166608 0.1097231823738833433879
25         PedConnect            ACDist -0.295346379 0.0000122647002007703065
26                PBN            ACDist  0.003062263 0.9646463645390319641137
27          DestScore            ACDist -0.303523122 0.0000068002499875596811
28          Parkiteer            ACDist -0.087902134 0.2023883863959026196966
29           PropComm           ACCount  0.266423864 0.0000858410838606715743
30            Balance           ACCount  0.091566067 0.1841346733771536126056
31          LUEntropy           ACCount  0.219526101 0.0012963754340336031134
32         PedConnect           ACCount  0.132370559 0.0543011849353853826017
33                PBN           ACCount -0.168660279 0.0139381923870094404094
34          DestScore           ACCount  0.275190604 0.0000486855241470518507
35          Parkiteer           ACCount  0.193744142 0.0046380296070842597089
36             ACDist           ACCount -0.594049587 0.0000000000000000000000
37           PropComm               FTZ  0.427609546 0.0000000000780255859922
38            Balance               FTZ  0.349784330 0.0000001704799550417135
39          LUEntropy               FTZ -0.079515807 0.2490135071004568878550
40         PedConnect               FTZ  0.365075160 0.0000000439316645284293
41                PBN               FTZ  0.164799537 0.0163157032070926355516
42          DestScore               FTZ  0.132658799 0.0537738222249533048824
43          Parkiteer               FTZ -0.084118657 0.2225756574485842076427
44             ACDist               FTZ -0.055058777 0.4251413161140651375547
45            ACCount               FTZ -0.005121753 0.9409042078749358939405
46           PropComm           Parking  0.019697919 0.7755384077418434607409
47            Balance           Parking -0.091263558 0.1855943068224328307281
48          LUEntropy           Parking  0.129136473 0.0605173161708307816298
49         PedConnect           Parking -0.133713869 0.0518795535040923461167
50                PBN           Parking -0.163984844 0.0168603606279444928617
51          DestScore           Parking  0.009141540 0.8947322480407811085001
