                  row            column          cor                        p
1            PropComm           Balance  0.607458658 0.0000000000000000000000
2            PropComm         LUEntropy  0.091264080 0.0054739405820596331864
3             Balance         LUEntropy -0.037066964 0.2600765025639941718794
4            PropComm        PedConnect  0.674109749 0.0000000000000000000000
5             Balance        PedConnect  0.401129626 0.0000000000000000000000
6           LUEntropy        PedConnect  0.178943223 0.0000000427084525522758
7            PropComm               PBN  0.243891823 0.0000000000000541788836
8             Balance               PBN  0.197813580 0.0000000012935990056917
9           LUEntropy               PBN  0.220382029 0.0000000000122621912624
10         PedConnect               PBN  0.253711126 0.0000000000000046629367
11           PropComm         DestScore  0.428429019 0.0000000000000000000000
12            Balance         DestScore  0.086780241 0.0082727067852643720869
13          LUEntropy         DestScore  0.153427077 0.0000027619226301567323
14         PedConnect         DestScore  0.529714979 0.0000000000000000000000
15                PBN         DestScore  0.165758175 0.0000003985884691193320
16           PropComm         Parkiteer -0.037537790 0.2540674157046380887692
17            Balance         Parkiteer -0.009815082 0.7656134220269219525790
18          LUEntropy         Parkiteer  0.016734156 0.6112451606415385541027
19         PedConnect         Parkiteer -0.025862896 0.4320684153777056835111
20                PBN         Parkiteer -0.018443402 0.5753271208758246046955
21          DestScore         Parkiteer -0.012943833 0.6942046649279660641696
22           PropComm            ACDist -0.387837314 0.0000000000000000000000
23            Balance            ACDist -0.230790094 0.0000000000011957101975
24          LUEntropy            ACDist -0.157335609 0.0000015192648576967116
25         PedConnect            ACDist -0.346949651 0.0000000000000000000000
26                PBN            ACDist -0.158953173 0.0000011812466720328985
27          DestScore            ACDist -0.268926796 0.0000000000000000000000
28          Parkiteer            ACDist  0.065813220 0.0453822434933996987638
29           PropComm           ACCount  0.298413116 0.0000000000000000000000
30            Balance           ACCount  0.113415356 0.0005484883774871107676
31          LUEntropy           ACCount  0.100454658 0.0022221196701468493018
32         PedConnect           ACCount  0.237807183 0.0000000000002331468352
33                PBN           ACCount  0.058684149 0.0744345738226450670538
34          DestScore           ACCount  0.236764839 0.0000000000002984279490
35          Parkiteer           ACCount -0.025739737 0.4342648125750683263391
36             ACDist           ACCount -0.573063832 0.0000000000000000000000
37           PropComm               FTZ  0.573792000 0.0000000000000000000000
38            Balance               FTZ  0.608049770 0.0000000000000000000000
39          LUEntropy               FTZ -0.204421438 0.0000000003491646971554
40         PedConnect               FTZ  0.370053391 0.0000000000000000000000
41                PBN               FTZ  0.191497600 0.0000000043393120208179
42          DestScore               FTZ  0.261060492 0.0000000000000006661338
43          Parkiteer               FTZ -0.012902965 0.6951217224905077429753
44             ACDist               FTZ -0.093417800 0.0044611218667678365080
45            ACCount               FTZ  0.006895650 0.8341032731923718746003
46           PropComm           Parking -0.026943427 0.4130758053757372927350
47            Balance           Parking -0.021897050 0.5059532743945918120687
48          LUEntropy           Parking  0.059194375 0.0719443153922258993305
49         PedConnect           Parking -0.045782628 0.1641432617398901339101
50                PBN           Parking  0.013882286 0.6732712600564196847586
51          DestScore           Parking  0.077684524 0.0181247564641204839120
52          Parkiteer           Parking  0.073803591 0.0247889896943931375972
53             ACDist           Parking -0.050939395 0.1215810196397029141480
54            ACCount           Parking  0.067533859 0.0400212453930568479166
55                FTZ           Parking -0.027945294 0.3959149680001887716685
56           PropComm         PropUrban  0.018116568 0.5821177270019017857550
57            Balance         PropUrban -0.234939342 0.0000000000004578559754
58          LUEntropy         PropUrban -0.463413827 0.0000000000000000000000
59         PedConnect         PropUrban  0.005875840 0.8583565550781817599102
60                PBN         PropUrban -0.235594621 0.0000000000003925748615
61          DestScore         PropUrban  0.134766925 0.0000392236212267693674
62          Parkiteer         PropUrban -0.025251819 0.4430292448736410371168
63             ACDist         PropUrban -0.180028740 0.0000000352646902790354
64            ACCount         PropUrban  0.227366427 0.0000000000026041391266
65                FTZ         PropUrban -0.160454695 0.0000009330562358300654
66            Parking         PropUrban  0.010791091 0.7430901363830408890010
