                  row            column          cor                        p
1            PropComm           Balance  0.446196024 0.0000000000091020524451
2            PropComm         LUEntropy  0.309030019 0.0000045249871356567439
3             Balance         LUEntropy  0.030807495 0.6555844231770360241995
4            PropComm        PedConnect  0.651864268 0.0000000000000000000000
5             Balance        PedConnect  0.319357083 0.0000020612733240277237
6           LUEntropy        PedConnect  0.196315578 0.0041115517674470414278
7            PropComm               PBN  0.169381272 0.0135295310218603859198
8             Balance               PBN  0.249131279 0.0002484048228343915810
9           LUEntropy               PBN  0.070827040 0.3046795830771116264657
10         PedConnect               PBN  0.252505204 0.0002030608045975323961
11           PropComm         DestScore  0.286920765 0.0000221069559913633640
12            Balance         DestScore -0.061255448 0.3748348547736606306557
13          LUEntropy         DestScore  0.169108432 0.0136829249470915570441
14         PedConnect         DestScore  0.468439135 0.0000000000005828670879
15                PBN         DestScore  0.056598033 0.4122930406749472087569
16           PropComm            ACDist -0.331636433 0.0000007784718811798541
17            Balance            ACDist -0.288997786 0.0000191515993079871549
18          LUEntropy            ACDist -0.201802693 0.0031639393943510008000
19         PedConnect            ACDist -0.268406619 0.0000756357707361043907
20                PBN            ACDist -0.116917256 0.0894879567029209788132
21          DestScore            ACDist -0.235435014 0.0005473751935853865547
22           PropComm           ACCount  0.388577043 0.0000000047393771129833
23            Balance           ACCount  0.154546883 0.0244190812958007263944
24          LUEntropy           ACCount  0.252188845 0.0002069592577182977067
25         PedConnect           ACCount  0.271727373 0.0000610526138038469668
26                PBN           ACCount  0.006566840 0.9242748319088056607740
27          DestScore           ACCount  0.232242485 0.0006538590189308912670
28             ACDist           ACCount -0.502348412 0.0000000000000057731597
29           PropComm               FTZ  0.409717077 0.0000000005474984909881
30            Balance               FTZ  0.444499954 0.0000000000111342046694
31          LUEntropy               FTZ -0.190727118 0.0053324511686918540931
32         PedConnect               FTZ  0.291906392 0.0000156351996900561119
33                PBN               FTZ  0.200129539 0.0034294805534207384312
34          DestScore               FTZ  0.144818579 0.0350963478206727241826
35             ACDist               FTZ -0.058531474 0.3964826769834672859361
36            ACCount               FTZ -0.003534849 0.9591948026776853097886
37           PropComm           Parking -0.022192182 0.7480192572552051277768
38            Balance           Parking  0.017899439 0.7955583437196189766638
39          LUEntropy           Parking  0.141108439 0.0401012088272696409774
40         PedConnect           Parking -0.024035747 0.7278800305768957645824
41                PBN           Parking  0.108406719 0.1155487331442406340187
42          DestScore           Parking  0.112518312 0.1023013359825619694732
43             ACDist           Parking -0.093791816 0.1736538767917181758094
44            ACCount           Parking  0.134535408 0.0504432392981783994657
45                FTZ           Parking -0.019149954 0.7816231136460436434987
46           PropComm         EmpAccess  0.506630858 0.0000000000000031086245
47            Balance         EmpAccess  0.405438202 0.0000000008579261745467
48          LUEntropy         EmpAccess  0.186936947 0.0063361805041970420405
49         PedConnect         EmpAccess  0.702904519 0.0000000000000000000000
50                PBN         EmpAccess  0.388467631 0.0000000047907433575745
51          DestScore         EmpAccess  0.346200425 0.0000002318795409017582
52             ACDist         EmpAccess -0.368183826 0.0000000330547631488542
53            ACCount         EmpAccess  0.267585119 0.0000797174979063619560
54                FTZ         EmpAccess  0.418526656 0.0000000002128097698062
55            Parking         EmpAccess  0.164011823 0.0168420732113134796748
56           PropComm             C_LOS  0.169660665 0.0133740187550799305427
57            Balance             C_LOS  0.183947228 0.0072436329578966507370
58          LUEntropy             C_LOS -0.032069754 0.6424318019294630310867
59         PedConnect             C_LOS  0.154905482 0.0240858910831469597014
60                PBN             C_LOS  0.241716342 0.0003831240036369365498
61          DestScore             C_LOS  0.191865068 0.0050602728537070262860
62             ACDist             C_LOS -0.155715506 0.0233476371554601769276
63            ACCount             C_LOS  0.074738160 0.2786814623015234637649
64                FTZ             C_LOS  0.427482631 0.0000000000791435805780
65            Parking             C_LOS -0.022181705 0.7481342146875511467385
66          EmpAccess             C_LOS  0.314721236 0.0000029444887084117966
67           PropComm         O_Bus_LOS  0.196104000 0.0041527436379868998273
68            Balance         O_Bus_LOS  0.025316922 0.7139925227364083415438
69          LUEntropy         O_Bus_LOS  0.063355000 0.3586547749491209025052
70         PedConnect         O_Bus_LOS  0.109619725 0.1115082437733225795284
71                PBN         O_Bus_LOS -0.027083569 0.6949967469160185373767
72          DestScore         O_Bus_LOS -0.036226894 0.5999132934533071281891
73             ACDist         O_Bus_LOS  0.064273092 0.3517186989300298272099
74            ACCount         O_Bus_LOS  0.090345347 0.1900767466849919706817
75                FTZ         O_Bus_LOS  0.025539312 0.7115912943087003839082
76            Parking         O_Bus_LOS  0.240213012 0.0004176319444364473554
77          EmpAccess         O_Bus_LOS -0.006195598 0.9285440595456790902062
78              C_LOS         O_Bus_LOS -0.195450165 0.0042823977975570137744
79           PropComm        O_Tram_LOS  0.460582256 0.0000000000015742962489
80            Balance        O_Tram_LOS  0.364543473 0.0000000461080738034525
81          LUEntropy        O_Tram_LOS -0.038286378 0.5793286994230224529190
82         PedConnect        O_Tram_LOS  0.396361694 0.0000000021786714654581
83                PBN        O_Tram_LOS  0.279685857 0.0000361261727650497022
84          DestScore        O_Tram_LOS  0.159437352 0.0202009233899345108654
85             ACDist        O_Tram_LOS -0.110426912 0.1088814455368114497702
86            ACCount        O_Tram_LOS  0.104475920 0.1294305347335327205371
87                FTZ        O_Tram_LOS  0.513906006 0.0000000000000011102230
88            Parking        O_Tram_LOS -0.012295117 0.8587481737636901701904
89          EmpAccess        O_Tram_LOS  0.371855542 0.0000000235299586481830
90              C_LOS        O_Tram_LOS  0.199922650 0.0034636774880920651043
91          O_Bus_LOS        O_Tram_LOS -0.028096514 0.6841893588120315783385
92           PropComm       O_Train_LOS  0.073979274 0.2836050343086067293541
93            Balance       O_Train_LOS  0.073398596 0.2874116812755858063611
94          LUEntropy       O_Train_LOS  0.197883873 0.0038175210635165157669
95         PedConnect       O_Train_LOS  0.059858392 0.3858453794829941330136
96                PBN       O_Train_LOS  0.121409305 0.0777614002026654205224
97          DestScore       O_Train_LOS  0.140742834 0.0406254221420367933604
98             ACDist       O_Train_LOS -0.163296539 0.0173328029978190301108
99            ACCount       O_Train_LOS  0.252384914 0.0002045349798671658448
100               FTZ       O_Train_LOS -0.029173403 0.6727697770142537780913
101           Parking       O_Train_LOS  0.524875582 0.0000000000000002220446
102         EmpAccess       O_Train_LOS  0.303758643 0.0000066839296855025765
103             C_LOS       O_Train_LOS -0.028371298 0.6812685390067676483028
104         O_Bus_LOS       O_Train_LOS  0.029478509 0.6695478033569097764399
105        O_Tram_LOS       O_Train_LOS  0.020178704 0.7702108951250270507671
106          PropComm             O_LOS  0.412954407 0.0000000003881108767700
107           Balance             O_LOS  0.354739666 0.0000001107162552749230
108         LUEntropy             O_LOS  0.069027313 0.3171632364927696734469
109        PedConnect             O_LOS  0.356870801 0.0000000917484959117587
110               PBN             O_LOS  0.347635132 0.0000002051084799781222
111         DestScore             O_LOS  0.258538064 0.0001406371794889782478
112            ACDist             O_LOS -0.223846022 0.0010317563271891039278
113           ACCount             O_LOS  0.235801804 0.0005362272932996070551
114               FTZ             O_LOS  0.495440748 0.0000000000000155431223
115           Parking             O_LOS  0.267343429 0.0000809571656934515715
116         EmpAccess             O_LOS  0.536651228 0.0000000000000000000000
117             C_LOS             O_LOS  0.516745494 0.0000000000000006661338
118         O_Bus_LOS             O_LOS -0.080760582 0.2416578055895493015726
119        O_Tram_LOS             O_LOS  0.753182236 0.0000000000000000000000
120       O_Train_LOS             O_LOS  0.543778363 0.0000000000000000000000
121          PropComm            PropOS  0.249316779 0.0002456849403822403133
122           Balance            PropOS  0.026393041 0.7023997844411993263236
123         LUEntropy            PropOS  0.260283581 0.0001262463917113265666
124        PedConnect            PropOS  0.328050971 0.0000010390663536252731
125               PBN            PropOS -0.001279494 0.9852243579315913546424
