                      row                column          cor                        p
1             ln_centroid                ln_bus  0.292088373 0.0000000392429280182682
2             ln_centroid              PropComm  0.350964263 0.0000000000254849474857
3                  ln_bus              PropComm  0.280665223 0.0000001363590200753606
4             ln_centroid               Balance -0.006795359 0.9005037233477557467864
5                  ln_bus               Balance -0.057980111 0.2856836307979404576685
6                PropComm               Balance  0.401889647 0.0000000000000115463195
7             ln_centroid             LUEntropy  0.262060210 0.0000009223826582527295
8                  ln_bus             LUEntropy  0.060732467 0.2633912278739500845148
9                PropComm             LUEntropy  0.341166391 0.0000000000966426938476
10                Balance             LUEntropy  0.228130285 0.0000210505115809667132
11            ln_centroid            PedConnect  0.292085198 0.0000000392568160201279
12                 ln_bus            PedConnect  0.224544542 0.0000285396999621934100
13               PropComm            PedConnect  0.528050543 0.0000000000000000000000
14                Balance            PedConnect  0.115464271 0.0330488514798332744249
15              LUEntropy            PedConnect  0.335737565 0.0000000001983009312312
16            ln_centroid                   PBN  0.226860831 0.0000234586968432815013
17                 ln_bus                   PBN  0.082059186 0.1304556381621413407856
18               PropComm                   PBN  0.037119995 0.4944910533977782129966
19                Balance                   PBN -0.043855962 0.4195126052760858037516
20              LUEntropy                   PBN  0.120154973 0.0265070914705614057993
21             PedConnect                   PBN  0.079460584 0.1431223349712045234128
22            ln_centroid               ACCount  0.117345615 0.0302761141630454311269
23                 ln_bus               ACCount  0.157873091 0.0034672031976450412571
24               PropComm               ACCount  0.451110096 0.0000000000000000000000
25                Balance               ACCount  0.085614872 0.1145486985249304368040
26              LUEntropy               ACCount  0.163489680 0.0024589610069587486407
27             PedConnect               ACCount  0.252038734 0.0000024360264025968803
28                    PBN               ACCount  0.005028207 0.9262916937441412201792
29            ln_centroid               Parking  0.047786398 0.3790245824871436575165
30                 ln_bus               Parking  0.191197455 0.0003844518422084775011
31               PropComm               Parking  0.010562627 0.8459091656081938470635
32                Balance               Parking  0.014022398 0.7964052898722764339823
33              LUEntropy               Parking  0.070127399 0.1964189960255255940069
34             PedConnect               Parking -0.032842054 0.5455753163224068558179
35                    PBN               Parking  0.100526232 0.0637077956882332596678
36                ACCount               Parking  0.057188036 0.2923276077515544191243
37            ln_centroid             EmpAccess  0.392553410 0.0000000000000519584376
38                 ln_bus             EmpAccess  0.163255087 0.0024950457016452709524
39               PropComm             EmpAccess  0.422634124 0.0000000000000004440892
40                Balance             EmpAccess  0.102639891 0.0583032266082517125483
41              LUEntropy             EmpAccess  0.258881081 0.0000012607014912013881
42             PedConnect             EmpAccess  0.735346193 0.0000000000000000000000
43                    PBN             EmpAccess  0.237156983 0.0000095723486057686102
44                ACCount             EmpAccess  0.138756823 0.0103080203078169674313
45                Parking             EmpAccess  0.106820231 0.0487282448194996664625
46            ln_centroid                 C_LOS  0.593033944 0.0000000000000000000000
47                 ln_bus                 C_LOS  0.017158540 0.7522206740403918345805
48               PropComm                 C_LOS  0.205894386 0.0001285451910564283651
49                Balance                 C_LOS  0.044958443 0.4079078112644278775178
50              LUEntropy                 C_LOS  0.124414121 0.0215644459834636315065
51             PedConnect                 C_LOS  0.125423088 0.0205180572007495065634
52                    PBN                 C_LOS  0.178227306 0.0009477391137684421096
53                ACCount                 C_LOS  0.027554426 0.6121175773080775872614
54                Parking                 C_LOS -0.008358995 0.8777716581256260752752
55              EmpAccess                 C_LOS  0.257131599 0.0000014946263868775844
56            ln_centroid             O_Bus_LOS  0.141323338 0.0089686038134835222024
57                 ln_bus             O_Bus_LOS  0.596089238 0.0000000000000000000000
58               PropComm             O_Bus_LOS  0.369813993 0.0000000000017177370637
59                Balance             O_Bus_LOS  0.093668353 0.0841416320350139024242
60              LUEntropy             O_Bus_LOS  0.127556222 0.0184499898269550044461
61             PedConnect             O_Bus_LOS  0.258512894 0.0000013068137532101787
62                    PBN             O_Bus_LOS  0.007880909 0.8847122890969276731710
63                ACCount             O_Bus_LOS  0.185777916 0.0005645943206054049313
64                Parking             O_Bus_LOS  0.199462833 0.0002096366217547718236
65              EmpAccess             O_Bus_LOS  0.151959408 0.0049210640701145003106
66                  C_LOS             O_Bus_LOS -0.068824324 0.2048837587472998045257
67            ln_centroid            O_Tram_LOS  0.044621512 0.4114340037201511535159
68                 ln_bus            O_Tram_LOS  0.082575533 0.1280451425313260394034
69               PropComm            O_Tram_LOS  0.147605379 0.0063205220605926371036
70                Balance            O_Tram_LOS  0.032178083 0.5537314261372063839417
71              LUEntropy            O_Tram_LOS  0.215783404 0.0000588202857785269373
72             PedConnect            O_Tram_LOS  0.176750807 0.0010462982533967490895
73                    PBN            O_Tram_LOS  0.190072865 0.0004167248076514251665
74                ACCount            O_Tram_LOS  0.014836501 0.7848665894184994051841
75                Parking            O_Tram_LOS -0.006410986 0.9061049325224785899735
76              EmpAccess            O_Tram_LOS  0.193838912 0.0003175695355541741094
77                  C_LOS            O_Tram_LOS -0.089301614 0.0997029013749133330435
