                  row           column           cor            p
1   X1ln.ln_Patronage      X3ln.ln_Pop  0.2958377441 2.681378e-05
2   X1ln.ln_Patronage      X6_PropComm  0.2882062741 4.393664e-05
3         X3ln.ln_Pop      X6_PropComm -0.0675858317 3.478381e-01
4   X1ln.ln_Patronage       X8_Balance  0.1401865762 5.062128e-02
5         X3ln.ln_Pop       X8_Balance -0.4417674801 1.013227e-10
6         X6_PropComm       X8_Balance  0.5029134865 6.772360e-14
7   X1ln.ln_Patronage     X9_LUEntropy  0.0744680160 3.008367e-01
8         X3ln.ln_Pop     X9_LUEntropy -0.0688448060 3.389107e-01
9         X6_PropComm     X9_LUEntropy  0.3648910143 1.565975e-07
10         X8_Balance     X9_LUEntropy  0.1691500184 1.808248e-02
11  X1ln.ln_Patronage   X10_HousingDiv  0.2119480816 2.934340e-03
12        X3ln.ln_Pop   X10_HousingDiv  0.5530764351 0.000000e+00
13        X6_PropComm   X10_HousingDiv  0.1379623963 5.443470e-02
14         X8_Balance   X10_HousingDiv -0.0513271655 4.760892e-01
15       X9_LUEntropy   X10_HousingDiv  0.2800382986 7.339385e-05
16  X1ln.ln_Patronage   X11_IntDensity  0.2559433669 3.045287e-04
17        X3ln.ln_Pop   X11_IntDensity  0.5152226006 1.287859e-14
18        X6_PropComm   X11_IntDensity  0.3916716780 1.495432e-08
19         X8_Balance   X11_IntDensity  0.0294360120 6.829086e-01
20       X9_LUEntropy   X11_IntDensity  0.2830184023 6.097557e-05
21     X10_HousingDiv   X11_IntDensity  0.4989760353 1.132427e-13
22  X1ln.ln_Patronage X12_CycleConnect  0.0988600255 1.691314e-01
23        X3ln.ln_Pop X12_CycleConnect  0.2239257580 1.650069e-03
24        X6_PropComm X12_CycleConnect  0.1692066886 1.804329e-02
25         X8_Balance X12_CycleConnect  0.0298992056 6.781945e-01
26       X9_LUEntropy X12_CycleConnect  0.2828956731 6.144539e-05
27     X10_HousingDiv X12_CycleConnect  0.3287344609 2.704437e-06
28     X11_IntDensity X12_CycleConnect  0.3070375138 1.265988e-05
29  X1ln.ln_Patronage    X13_DestScore  0.3349593856 1.698212e-06
30        X3ln.ln_Pop    X13_DestScore  0.5199528652 6.661338e-15
31        X6_PropComm    X13_DestScore  0.2005198013 4.943256e-03
32         X8_Balance    X13_DestScore  0.0180386344 8.023579e-01
33       X9_LUEntropy    X13_DestScore  0.1866127304 8.997800e-03
34     X10_HousingDiv    X13_DestScore  0.6188997214 0.000000e+00
35     X11_IntDensity    X13_DestScore  0.5117420557 2.087219e-14
36   X12_CycleConnect    X13_DestScore  0.1816704974 1.102937e-02
37  X1ln.ln_Patronage    X15_Parkiteer  0.0419872639 5.600227e-01
38        X3ln.ln_Pop    X15_Parkiteer -0.0119342149 8.684822e-01
39        X6_PropComm    X15_Parkiteer  0.0636377674 3.767848e-01
40         X8_Balance    X15_Parkiteer -0.0564562965 4.330834e-01
41       X9_LUEntropy    X15_Parkiteer  0.0490813014 4.956264e-01
42     X10_HousingDiv    X15_Parkiteer  0.0453989302 5.285567e-01
43     X11_IntDensity    X15_Parkiteer  0.0017295819 9.808550e-01
44   X12_CycleConnect    X15_Parkiteer  0.0608750411 3.978916e-01
45      X13_DestScore    X15_Parkiteer  0.0840681489 2.426173e-01
46  X1ln.ln_Patronage      X16_CBDDist -0.2480126414 4.726075e-04
47        X3ln.ln_Pop      X16_CBDDist -0.6028413515 0.000000e+00
48        X6_PropComm      X16_CBDDist -0.2000299663 5.051989e-03
49         X8_Balance      X16_CBDDist  0.0607753930 3.986659e-01
50       X9_LUEntropy      X16_CBDDist -0.1632483067 2.258984e-02
51     X10_HousingDiv      X16_CBDDist -0.5666377658 0.000000e+00
52     X11_IntDensity      X16_CBDDist -0.5125798717 1.865175e-14
53   X12_CycleConnect      X16_CBDDist -0.3314363410 2.212624e-06
54      X13_DestScore      X16_CBDDist -0.4519878837 3.295098e-11
55      X15_Parkiteer      X16_CBDDist  0.0854490178 2.349388e-01
56  X1ln.ln_Patronage       X17_ACDist -0.2887324979 4.248483e-05
57        X3ln.ln_Pop       X17_ACDist -0.3705160079 9.729856e-08
58        X6_PropComm       X17_ACDist -0.2406378334 7.023678e-04
59         X8_Balance       X17_ACDist -0.0356662419 6.205949e-01
60       X9_LUEntropy       X17_ACDist -0.2076641979 3.579141e-03
61     X10_HousingDiv       X17_ACDist -0.4842048073 7.409628e-13
62     X11_IntDensity       X17_ACDist -0.3658581298 1.443878e-07
63   X12_CycleConnect       X17_ACDist -0.1283477356 7.375042e-02
64      X13_DestScore       X17_ACDist -0.4649345652 7.519763e-12
65      X15_Parkiteer       X17_ACDist -0.0880474253 2.209563e-01
66        X16_CBDDist       X17_ACDist  0.3019442114 1.787788e-05
67  X1ln.ln_Patronage      X18_ACCount  0.2320953504 1.095039e-03
68        X3ln.ln_Pop      X18_ACCount  0.0523950155 4.669488e-01
69        X6_PropComm      X18_ACCount  0.2303875886 1.194443e-03
70         X8_Balance      X18_ACCount -0.0444376217 5.373318e-01
71       X9_LUEntropy      X18_ACCount  0.1136252956 1.137372e-01
72     X10_HousingDiv      X18_ACCount  0.1399712104 5.098055e-02
73     X11_IntDensity      X18_ACCount  0.2296923115 1.237232e-03
74   X12_CycleConnect      X18_ACCount  0.0583607425 4.177018e-01
75      X13_DestScore      X18_ACCount  0.3003274854 1.992099e-05
76      X15_Parkiteer      X18_ACCount  0.1957254033 6.103709e-03
77        X16_CBDDist      X18_ACCount -0.0190003424 7.920548e-01
78         X17_ACDist      X18_ACCount -0.3129829608 8.392880e-06
79  X1ln.ln_Patronage         X19._FTZ           NaN          NaN
80        X3ln.ln_Pop         X19._FTZ           NaN          NaN
81        X6_PropComm         X19._FTZ           NaN          NaN
82         X8_Balance         X19._FTZ           NaN          NaN
83       X9_LUEntropy         X19._FTZ           NaN          NaN
84     X10_HousingDiv         X19._FTZ           NaN          NaN
85     X11_IntDensity         X19._FTZ           NaN          NaN
86   X12_CycleConnect         X19._FTZ           NaN          NaN
87      X13_DestScore         X19._FTZ           NaN          NaN
88      X15_Parkiteer         X19._FTZ           NaN          NaN
89        X16_CBDDist         X19._FTZ           NaN          NaN
90         X17_ACDist         X19._FTZ           NaN          NaN
91        X18_ACCount         X19._FTZ           NaN          NaN
92  X1ln.ln_Patronage  X20.Parking_m.2  0.1384692515 5.354539e-02
93        X3ln.ln_Pop  X20.Parking_m.2 -0.0242452611 7.365396e-01
94        X6_PropComm  X20.Parking_m.2  0.0968197879 1.781452e-01
95         X8_Balance  X20.Parking_m.2 -0.0301363789 6.757855e-01
96       X9_LUEntropy  X20.Parking_m.2  0.1343076555 6.121539e-02
97     X10_HousingDiv  X20.Parking_m.2  0.1176671910 1.013664e-01
98     X11_IntDensity  X20.Parking_m.2  0.0501558605 4.862260e-01
99   X12_CycleConnect  X20.Parking_m.2 -0.0587713448 4.144278e-01
100     X13_DestScore  X20.Parking_m.2  0.1906323468 7.597647e-03
101     X15_Parkiteer  X20.Parking_m.2  0.2889541893 4.188683e-05
102       X16_CBDDist  X20.Parking_m.2  0.0640862321 3.734244e-01
103        X17_ACDist  X20.Parking_m.2 -0.0934043497 1.940208e-01
104       X18_ACCount  X20.Parking_m.2  0.3916466914 1.498862e-08
105          X19._FTZ  X20.Parking_m.2           NaN          NaN
106 X1ln.ln_Patronage    X21_PropUrban  0.1449859301 4.314540e-02
107       X3ln.ln_Pop    X21_PropUrban  0.4299603276 3.543659e-10
108       X6_PropComm    X21_PropUrban -0.2930829550 3.209827e-05
109        X8_Balance    X21_PropUrban -0.4225834516 7.562988e-10
110      X9_LUEntropy    X21_PropUrban -0.4850913247 6.636913e-13
111    X10_HousingDiv    X21_PropUrban  0.1944524065 6.450181e-03
112    X11_IntDensity    X21_PropUrban  0.0004216099 9.953327e-01
113  X12_CycleConnect    X21_PropUrban -0.1814648709 1.112203e-02
114     X13_DestScore    X21_PropUrban  0.2536029060 3.472095e-04
115     X15_Parkiteer    X21_PropUrban  0.0146291630 8.391486e-01
116       X16_CBDDist    X21_PropUrban -0.0616418956 3.919632e-01
117        X17_ACDist    X21_PropUrban -0.2304760478 1.189097e-03
118       X18_ACCount    X21_PropUrban  0.0893019657 2.144216e-01
119          X19._FTZ    X21_PropUrban           NaN          NaN
120   X20.Parking_m.2    X21_PropUrban  0.0280991877 6.965823e-01
121 X1ln.ln_Patronage    X22_EmpAccess  0.3907170632 1.632003e-08
122       X3ln.ln_Pop    X22_EmpAccess  0.5673728132 0.000000e+00
123       X6_PropComm    X22_EmpAccess  0.4825541639 9.088286e-13
124        X8_Balance    X22_EmpAccess  0.1543414047 3.121436e-02
125      X9_LUEntropy    X22_EmpAccess  0.2584913294 2.636371e-04
126    X10_HousingDiv    X22_EmpAccess  0.5309843603 1.332268e-15
127    X11_IntDensity    X22_EmpAccess  0.6525803415 0.000000e+00
128  X12_CycleConnect    X22_EmpAccess  0.3555020786 3.396778e-07
129     X13_DestScore    X22_EmpAccess  0.5700919529 0.000000e+00
130     X15_Parkiteer    X22_EmpAccess -0.0436952445 5.441577e-01
131       X16_CBDDist    X22_EmpAccess -0.6241251857 0.000000e+00
132        X17_ACDist    X22_EmpAccess -0.3613138225 2.109508e-07
133       X18_ACCount    X22_EmpAccess  0.0647621668 3.683945e-01
134          X19._FTZ    X22_EmpAccess           NaN          NaN
135   X20.Parking_m.2    X22_EmpAccess -0.0729082993 3.111022e-01
136     X21_PropUrban    X22_EmpAccess  0.0356403602 6.208486e-01
137 X1ln.ln_Patronage        X23_C_LOS  0.6162619512 0.000000e+00
138       X3ln.ln_Pop        X23_C_LOS  0.1791467005 1.221507e-02
139       X6_PropComm        X23_C_LOS  0.2892422457 4.112164e-05
140        X8_Balance        X23_C_LOS  0.1704462272 1.720447e-02
141      X9_LUEntropy        X23_C_LOS  0.1716733361 1.640771e-02
142    X10_HousingDiv        X23_C_LOS  0.2592562578 2.523961e-04
143    X11_IntDensity        X23_C_LOS  0.2675674752 1.558633e-04
144  X12_CycleConnect        X23_C_LOS  0.0504944589 4.832838e-01
145     X13_DestScore        X23_C_LOS  0.3047557719 1.478845e-05
146     X15_Parkiteer        X23_C_LOS -0.0284694978 6.927846e-01
147       X16_CBDDist        X23_C_LOS -0.1850371936 9.606145e-03
148        X17_ACDist        X23_C_LOS -0.2595658456 2.479746e-04
149       X18_ACCount        X23_C_LOS  0.2559206211 3.049190e-04
150          X19._FTZ        X23_C_LOS           NaN          NaN
151   X20.Parking_m.2        X23_C_LOS  0.0448164607 5.338650e-01
152     X21_PropUrban        X23_C_LOS  0.0549335040 4.456132e-01
153     X22_EmpAccess        X23_C_LOS  0.3729816613 7.875227e-08
154 X1ln.ln_Patronage    X24_O_Bus_LOS  0.0197352069 7.842060e-01
155       X3ln.ln_Pop    X24_O_Bus_LOS  0.0149460788 8.357128e-01
156       X6_PropComm    X24_O_Bus_LOS  0.1626281128 2.311548e-02
157        X8_Balance    X24_O_Bus_LOS  0.0767016499 2.865299e-01
158      X9_LUEntropy    X24_O_Bus_LOS  0.1419981311 4.768184e-02
159    X10_HousingDiv    X24_O_Bus_LOS  0.0435859759 5.451660e-01
160    X11_IntDensity    X24_O_Bus_LOS  0.0868906283 2.271063e-01
161  X12_CycleConnect    X24_O_Bus_LOS -0.0091959722 8.984720e-01
162     X13_DestScore    X24_O_Bus_LOS  0.1155753856 1.076289e-01
163     X15_Parkiteer    X24_O_Bus_LOS  0.0554071731 4.416939e-01
164       X16_CBDDist    X24_O_Bus_LOS -0.1367766993 5.656290e-02
165        X17_ACDist    X24_O_Bus_LOS -0.0571362237 4.275549e-01
166       X18_ACCount    X24_O_Bus_LOS  0.0547323188 4.472837e-01
167          X19._FTZ    X24_O_Bus_LOS           NaN          NaN
168   X20.Parking_m.2    X24_O_Bus_LOS  0.2170513272 2.304548e-03
169     X21_PropUrban    X24_O_Bus_LOS -0.0830948062 2.481338e-01
170     X22_EmpAccess    X24_O_Bus_LOS  0.1056535350 1.415609e-01
171         X23_C_LOS    X24_O_Bus_LOS  0.0288412721 6.889795e-01
172 X1ln.ln_Patronage   X25_O_Tram_LOS  0.1693061588 1.797469e-02
173       X3ln.ln_Pop   X25_O_Tram_LOS  0.3662526267 1.396743e-07
174       X6_PropComm   X25_O_Tram_LOS  0.2919719652 3.449549e-05
175        X8_Balance   X25_O_Tram_LOS -0.0277350447 7.003242e-01
176      X9_LUEntropy   X25_O_Tram_LOS  0.0994866069 1.664325e-01
177    X10_HousingDiv   X25_O_Tram_LOS  0.2355388360 9.172989e-04
178    X11_IntDensity   X25_O_Tram_LOS  0.3885280709 1.992038e-08
179  X12_CycleConnect   X25_O_Tram_LOS  0.1751550807 1.431955e-02
180     X13_DestScore   X25_O_Tram_LOS  0.3472062965 6.596571e-07
181     X15_Parkiteer   X25_O_Tram_LOS -0.0315269817 6.617280e-01
182       X16_CBDDist   X25_O_Tram_LOS -0.3044411693 1.510721e-05
183        X17_ACDist   X25_O_Tram_LOS -0.2477568776 4.792422e-04
184       X18_ACCount   X25_O_Tram_LOS  0.1026636626 1.532402e-01
185          X19._FTZ   X25_O_Tram_LOS           NaN          NaN
186   X20.Parking_m.2   X25_O_Tram_LOS -0.0486227854 4.996667e-01
187     X21_PropUrban   X25_O_Tram_LOS  0.0419599658 5.602781e-01
188     X22_EmpAccess   X25_O_Tram_LOS  0.4067101827 3.636810e-09
189         X23_C_LOS   X25_O_Tram_LOS  0.1067625814 1.374055e-01
190     X24_O_Bus_LOS   X25_O_Tram_LOS  0.0022430334 9.751731e-01
191 X1ln.ln_Patronage  X26_O_Train_LOS  0.2476114915 4.830519e-04
192       X3ln.ln_Pop  X26_O_Train_LOS  0.0871311903 2.258175e-01
193       X6_PropComm  X26_O_Train_LOS  0.1376158359 5.504977e-02
194        X8_Balance  X26_O_Train_LOS  0.0682320708 3.432373e-01
195      X9_LUEntropy  X26_O_Train_LOS  0.1351444064 5.960466e-02
196    X10_HousingDiv  X26_O_Train_LOS  0.2326969985 1.061867e-03
197    X11_IntDensity  X26_O_Train_LOS  0.1610731852 2.447991e-02
198  X12_CycleConnect  X26_O_Train_LOS  0.0544874365 4.493219e-01
199     X13_DestScore  X26_O_Train_LOS  0.2690521850 1.427660e-04
200     X15_Parkiteer  X26_O_Train_LOS  0.3618502801 2.017792e-07
201       X16_CBDDist  X26_O_Train_LOS -0.0959329001 1.821723e-01
202        X17_ACDist  X26_O_Train_LOS -0.1465966772 4.085374e-02
203       X18_ACCount  X26_O_Train_LOS  0.1821734847 1.080557e-02
204          X19._FTZ  X26_O_Train_LOS           NaN          NaN
205   X20.Parking_m.2  X26_O_Train_LOS  0.4171915719 1.301258e-09
206     X21_PropUrban  X26_O_Train_LOS  0.1120221115 1.189590e-01
207     X22_EmpAccess  X26_O_Train_LOS  0.2124234241 2.869700e-03
208         X23_C_LOS  X26_O_Train_LOS  0.3049159366 1.462862e-05
209     X24_O_Bus_LOS  X26_O_Train_LOS  0.1542233427 3.134530e-02
210    X25_O_Tram_LOS  X26_O_Train_LOS -0.0045346508 9.498333e-01
