          X6_PropComm  X8_Balance X9_LUEntropy X10_HousingDiv X11_IntDensity X12_CycleConnect X13_DestScore   X16_CBDDist
3059-bus  -0.59647307 -0.59409093  -1.09274325    -1.76256962  -1.8248226111      -0.60105741    -1.7662562  3.752775e+00
10253-bus -0.59647307  0.31211045  -0.49402672    -2.37354547  -1.8011440639      -0.60105741    -1.7662562  1.456379e+00
10235-bus -0.47387740 -0.68471107  -0.36097860    -1.76256962  -1.0574507464      -0.60105741    -0.6723866  1.009942e+00
10226-bus -0.59647307  0.31211045  -0.42750266    -2.37354547  -1.9338685520      -0.60105741    -1.7662562  1.460156e+00
10233-bus -0.47387740 -0.68471107  -0.36097860    -1.76256962  -1.0104052118      -0.60105741    -0.6723866  1.000877e+00
11843-bus -0.47387740  0.13087018  -1.02621919     1.29230963  -0.2766818089       1.37677292     0.4214830 -9.631453e-01
10206-bus -0.59647307 -0.68471107  -0.89317107    -1.76256962  -1.4447196168      -0.60105741    -1.7662562  9.887908e-01
10200-bus -0.59647307  0.22149032  -0.62707484    -2.37354547  -2.0961912242      -0.60105741    -1.7662562  1.470732e+00
6673-bus  -0.59647307 -0.50347079  -2.62279659    -0.54061792   0.7997574085      -0.60105741    -0.6723866 -3.099003e-02
6954-bus  -0.59647307 -0.41285065  -0.95969513    -0.54061792   0.9994672604      -0.60105741    -1.7662562  8.080817e-02
6903-bus  -0.59647307 -0.50347079  -1.02621919    -0.54061792   1.2832982668      -0.60105741    -1.7662562  9.138368e-02
7021-bus  -0.59647307 -0.41285065  -0.49402672     0.68133378   1.1960615140      -0.60105741    -0.1254518  5.965716e-02
7080-bus  -0.59647307 -0.32223051  -0.16140643     0.07035793   0.4978559319      -0.60105741     0.9684178  4.908166e-02
7261-bus  -0.59647307 -0.23161038  -0.56055078     0.07035793  -0.2187316803       0.32605056     0.9684178  1.659975e-02
7340-bus  -0.59647307 -0.32223051  -0.22793049     0.07035793   0.2950304817      -0.60105741    -0.1254518  9.801208e-03
7277-bus  -0.59647307 -0.23161038  -0.69359890     0.07035793  -0.3174961468       0.69689374     0.9684178  6.779635e-03
6874-bus  -0.59647307 -0.50347079  -1.62493571     0.68133378   2.2195355601      -0.60105741    -1.2193214  6.570031e-02
6720-bus  -0.53517524 -0.50347079  -2.29017630     0.68133378   1.7092005563      -0.60105741    -0.1254518  7.854199e-02
6949-bus  -0.59647307 -0.50347079  -0.62707484     0.68133378   1.5045057471      -0.60105741     0.4214830  5.285862e-02
7113-bus  -0.59647307 -0.32223051  -0.29445455     0.07035793  -0.0548512090      -0.60105741     0.9684178  3.850615e-02
6618-bus  -0.35128174 -0.50347079  -2.09060412     0.07035793   0.9327934565      -0.60105741     0.4214830  8.760671e-02
7041-bus  -0.59647307 -0.41285065  -0.16140643     0.68133378   1.1019704449      -0.29202142     0.9684178  2.793065e-02
7087-bus  -0.59647307 -0.77533121  -1.09274325     0.07035793   0.8066117248      -0.60105741    -0.6723866 -6.875969e-02
7495-bus  -0.59647307 -0.41285065  -1.75798383     0.07035793   0.7066010189      -0.60105741    -0.6723866  1.508896e-02
7077-bus  -0.59647307 -0.68471107  -0.89317107     0.68133378   1.0209648888      -0.60105741    -1.2193214 -4.232093e-02
6528-bus  -0.35128174 -0.41285065  -2.09060412     0.07035793   0.5318159535      -0.60105741     0.4214830  9.667143e-02
6897-bus  -0.47387740 -0.59409093  -1.89103195     0.68133378   0.7807522588      -0.60105741     0.9684178 -1.814834e-02
7198-bus  -0.59647307 -0.23161038  -1.09274325     0.07035793  -0.3199886255       1.37677292     0.9684178  1.206739e-02
6649-bus  -0.59647307 -0.50347079  -2.62279659    -0.54061792   1.2178707022      -0.60105741    -0.6723866 -5.306657e-03
6285-bus  -0.41257957 -0.50347079  -2.15712818     0.07035793   0.8901097596      -0.60105741     0.4214830  1.155563e-01
6816-bus  -0.59647307 -0.50347079  -0.42750266    -0.54061792   1.0362313205      -0.60105741    -1.7662562  1.095131e-01
6844-bus  -0.59647307 -0.50347079  -1.09274325    -0.54061792   1.3362634381      -0.60105741    -1.7662562  9.440525e-02
6850-bus  -0.47387740 -0.50347079  -2.35670036     0.68133378   1.8665382711      -0.60105741    -1.2193214  4.152772e-02
7101-bus  -0.59647307 -0.32223051  -0.42750266     0.68133378   0.7405610405       0.94412253     0.9684178  1.962132e-02
6871-bus  -0.47387740 -0.50347079  -2.09060412     0.68133378   1.8160655785      -0.60105741     0.9684178  9.801208e-03
7084-bus  -0.59647307 -0.50347079  -0.22793049     0.68133378   1.2508960443      -0.60105741     0.9684178 -6.817443e-03
7175-bus  -0.59647307 -0.32223051  -0.95969513     0.68133378   0.8256168745      -0.60105741     0.9684178  7.364889e-04
2992-bus  -0.59647307 -0.77533121  -0.76012296    -2.37354547  -1.7288621830      -0.60105741    -1.7662562  1.817457e+00
2986-bus  -0.59647307 -0.05037010  -0.16140643    -2.37354547  -1.7528522900      -0.60105741    -1.7662562  1.854471e+00
10196-bus -0.59647307  0.22149032  -0.56055078    -2.37354547  -2.0703317582      -0.60105741    -1.7662562  1.473753e+00
3106-bus  -0.59647307 -0.68471107   0.23773792    -0.54061792  -1.9834065652       1.37677292    -1.7662562  3.433999e+00
3064-bus  -0.59647307 -0.59409093  -0.82664701    -1.76256962  -1.6543993833      -0.60105741    -1.7662562  3.664394e+00
3080-bus  -0.59647307 -0.68471107  -0.89317107    -1.76256962  -1.8534861156      -0.60105741    -1.7662562  3.595653e+00
3091-bus  -0.59647307 -0.68471107  -0.76012296    -1.76256962  -1.6039266906      -0.60105741    -1.7662562  3.563926e+00
3061-bus  -0.59647307 -0.59409093  -0.36097860    -1.76256962  -1.8170336153      -0.60105741    -1.7662562  3.691588e+00
3098-bus  -0.59647307 -0.68471107  -0.49402672    -1.76256962  -1.3344274365      -0.60105741    -1.7662562  3.523135e+00
11308-bus -0.59647307 -0.41285065  -1.89103195    -2.37354547  -1.9354263512      -0.60105741    -1.7662562  2.429326e+00
12302-bus -0.59647307  1.30893198  -1.29231542     0.68133378  -0.4256074083       0.75870094    -0.1254518 -8.483255e-01
12375-bus -0.53517524  1.21831184  -1.22579136     0.68133378  -0.5449348238      -0.60105741    -0.1254518 -8.513471e-01
12606-bus -0.59647307  0.67459101  -1.89103195     0.68133378  -1.0234907248      -0.60105741    -0.1254518 -8.883613e-01
12480-bus -0.41257957  0.94645142  -0.62707484     1.29230963  -0.5396383066      -0.60105741     0.9684178 -8.558794e-01
12597-bus -0.41257957  0.67459101  -0.89317107     1.29230963  -0.8758113647      -0.60105741     0.9684178 -8.724981e-01
12585-bus -0.35128174  0.76521115  -0.42750266     1.29230963  -0.5845029223      -0.60105741     1.5153526 -8.589010e-01
3497-bus  -0.41257957 -0.77533121   1.43517097     0.07035793  -1.2739848292      -0.60105741    -1.7662562  2.783605e+00
12654-bus -0.53517524  0.67459101  -1.69145977     0.68133378  -0.9966965793      -0.60105741     0.4214830 -9.027138e-01
3124-bus  -0.59647307 -0.68471107   0.03816575    -0.54061792   0.1875423398       1.25315852    -1.7662562  3.331265e+00
3142-bus  -0.59647307 -0.77533121  -0.22793049    -1.76256962  -1.2596530769       1.31496572    -1.2193214  3.007957e+00
3131-bus  -0.59647307 -0.77533121  -0.16140643    -2.37354547  -1.2179040595       1.25315852    -1.2193214  3.029863e+00
3148-bus  -0.59647307 -0.77533121  -0.16140643    -2.37354547  -1.2182156194       1.31496572    -1.2193214  3.000403e+00
3924-bus  -0.59647307 -0.50347079  -0.29445455    -2.37354547  -1.3649602999      -0.60105741    -1.7662562  9.993663e-01
10181-bus -0.59647307 -0.68471107  -0.49402672    -1.76256962  -1.4712022024      -0.60105741    -1.7662562  9.751938e-01
3137-bus  -0.59647307 -0.77533121  -0.16140643    -1.76256962  -1.1490493368       1.25315852    -1.2193214  3.014000e+00
3960-bus  -0.59647307  0.58397087  -1.35883948    -2.37354547  -1.8425815215      -0.60105741    -1.7662562  1.393682e+00
3891-bus  -0.59647307 -0.41285065  -0.29445455    -2.37354547  -1.5768209853      -0.60105741    -1.7662562  9.819923e-01
3961-bus  -0.59647307  0.58397087  -1.35883948    -2.37354547  -1.7949128673      -0.60105741    -1.7662562  1.396703e+00
3134-bus  -0.41257957 -0.77533121   1.03602662    -0.54061792  -0.7564839493       1.31496572    -1.7662562  3.235330e+00
3208-bus  -0.59647307 -0.77533121  -0.09488237    -1.76256962  -1.5964492547      -0.60105741    -1.7662562  2.943749e+00
12292-bus  2.40712073 -0.77533121   0.83645445    -1.76256962  -1.3272615603      -0.60105741    -1.7662562  2.451232e+00
3930-bus  -0.59647307  0.04025004  -0.69359890    -1.15159377  -1.8977276116      -0.60105741    -1.7662562  1.484329e+00
3140-bus  -0.35128174 -0.77533121   1.50169503    -0.54061792   0.0398629798       1.37677292    -1.7662562  3.208136e+00
3933-bus  -0.59647307 -0.59409093  -0.22793049    -1.76256962  -1.6578265414      -0.60105741    -1.7662562  9.819923e-01
12291-bus  1.42635541 -0.68471107   0.83645445    -1.76256962  -1.5484690406      -0.60105741    -1.7662562  2.430837e+00
3380-bus  -0.41257957 -0.77533121   0.50383415     0.07035793  -1.0356415582       1.31496572    -0.1254518  2.768497e+00
18-bus     2.59101423 -0.77533121  -0.22793049    -1.76256962  -0.9253493779      -0.60105741    -1.7662562  2.519218e+00
3143-bus  -0.47387740 -0.68471107   1.70126721    -1.15159377  -1.0110283315       1.31496572    -1.7662562  3.199071e+00
3904-bus  -0.59647307 -0.41285065  -0.22793049    -2.37354547  -1.5824290622      -0.60105741    -1.7662562  1.000122e+00
12306-bus  2.34582290 -0.68471107  -0.22793049    -1.76256962  -1.0322144000      -0.60105741    -1.7662562  2.537347e+00
3963-bus  -0.59647307 -0.59409093   0.30426198    -1.76256962  -1.9189136801      -0.60105741    -1.7662562  1.273574e+00
12303-bus  2.34582290 -0.77533121  -0.16140643    -1.76256962  -1.1228783110      -0.60105741    -1.7662562  2.507887e+00
12771-bus -0.59647307 -0.68471107  -0.49402672    -1.76256962  -1.6559571825      -0.60105741    -1.7662562  2.873497e+00
11173-bus -0.59647307 -0.32223051  -0.62707484    -2.37354547  -2.0631658821      -0.60105741    -1.7662562  2.419506e+00
3145-bus  -0.35128174 -0.77533121   1.70126721    -0.54061792   1.4281735884       1.31496572    -1.7662562  3.179431e+00
3286-bus  -0.59647307 -0.68471107  -0.49402672    -1.76256962  -1.8079983802      -0.60105741    -1.7662562  2.925619e+00
12295-bus  2.10063157 -0.77533121   0.83645445    -1.76256962  -1.3609100221      -0.60105741    -1.7662562  2.464829e+00
11053-bus -0.59647307 -0.68471107   0.57035821    -2.37354547  -1.9391650692      -0.60105741    -1.7662562  1.803105e+00
10179-bus -0.59647307 -0.68471107  -0.29445455    -1.76256962  -1.5730822673      -0.60105741    -1.7662562  9.631075e-01
3329-bus  -0.35128174 -0.68471107  -0.49402672    -1.76256962  -1.8488127181      -0.60105741    -1.7662562  2.901446e+00
3023-bus  -0.59647307  1.85265281  -1.82450789    -2.37354547  -1.9597280181      -0.60105741    -1.7662562  1.787241e+00
3966-bus  -0.59647307 -0.77533121  -1.55841166     0.07035793  -0.2688928131      -0.60105741    -1.7662562  1.178395e+00
3958-bus  -0.59647307 -0.50347079  -1.29231542    -1.76256962  -1.7497366917      -0.60105741    -1.7662562  1.358934e+00
3964-bus  -0.59647307 -0.77533121   0.10468980    -1.15159377  -0.9917116220      -0.60105741    -1.7662562  1.181416e+00
12301-bus  1.79414241 -0.68471107  -0.09488237    -1.76256962  -1.2540450000      -0.60105741    -1.7662562  2.520728e+00
11406-bus -0.59647307 -0.41285065  -1.22579136    -2.37354547  -1.7297968625      -0.60105741    -1.7662562  2.394578e+00
11404-bus -0.59647307 -0.41285065  -1.35883948    -2.37354547  -1.5540771176      -0.60105741    -1.7662562  2.400621e+00
11137-bus -0.59647307 -0.23161038   0.03816575    -2.37354547  -2.0098891509      -0.60105741    -1.7662562  2.480692e+00
2977-bus  -0.28998390 -0.77533121   1.43517097    -1.76256962  -1.7899279099      -0.60105741    -1.7662562  1.813680e+00
3969-bus  -0.35128174 -0.77533121  -1.22579136     0.07035793  -0.2040883682      -0.60105741    -0.6723866  1.167819e+00
4034-bus  -0.59647307 -0.77533121   2.23345967    -2.37354547  -1.1970295508      -0.60105741    -1.7662562  9.132515e-01
11077-bus -0.59647307 -0.68471107   0.50383415    -2.37354547  -1.8977276116      -0.60105741    -1.7662562  2.155873e+00
3967-bus  -0.59647307 -0.77533121  -0.29445455     0.07035793  -0.8259617917      -0.60105741    -1.7662562  1.149690e+00
2978-bus   1.48765324 -0.77533121   1.96736344    -1.76256962  -1.8709334661      -0.60105741    -1.7662562  1.842385e+00
2902-bus  -0.59647307 -0.59409093  -0.22793049    -1.76256962  -1.7375858583      -0.60105741    -1.7662562  9.683952e-01
4052-bus  -0.59647307 -0.77533121   0.96950256    -1.76256962  -0.8907662366      -0.60105741    -1.7662562  9.079638e-01
12300-bus  1.30375975 -0.68471107  -0.16140643    -1.76256962  -1.2830200643      -0.60105741    -1.7662562  2.519973e+00
11123-bus -0.59647307 -0.23161038   0.37078604    -2.37354547  -1.8992854108      -0.60105741    -1.7662562  2.477671e+00
2980-bus   1.85544024 -0.77533121   1.43517097    -1.15159377  -1.9369841504      -0.60105741    -1.7662562  1.875622e+00
2898-bus  -0.53517524 -0.68471107   0.37078604    -2.37354547  -1.6375751524      -0.60105741    -1.7662562  3.553351e+00
3982-bus   0.13910092 -0.77533121   1.30212285    -0.54061792  -0.3150036682      -0.60105741    -0.6723866  1.083215e+00
3979-bus   0.07780309 -0.77533121   1.30212285    -0.54061792  -0.2692043730      -0.60105741    -0.6723866  1.093790e+00
2919-bus  -0.59647307 -0.68471107   0.63688227    -2.37354547  -1.4487698946      -0.60105741    -1.7662562  3.465725e+00
3988-bus  -0.59647307  0.67459101  -0.82664701    -2.37354547  -1.9248333169      -0.60105741    -1.7662562  9.109853e-01
3984-bus   0.13910092 -0.77533121   1.23559880    -0.54061792  -0.1414648421      -0.60105741    -1.2193214  1.065841e+00
3981-bus   0.07780309 -0.77533121   1.50169503     0.07035793  -0.1832138595      -0.60105741    -0.6723866  1.099078e+00
2889-bus  -0.47387740 -0.77533121   0.37078604    -1.15159377  -0.9817417073      -0.60105741    -0.6723866  3.932558e+00
11072-bus -0.59647307 -0.05037010  -0.76012296    -2.37354547  -1.8703103464      -0.60105741    -1.7662562  2.214794e+00
3978-bus  -0.16738824 -0.77533121   1.30212285     0.07035793  -0.0417656961      -0.60105741    -0.6723866  1.117208e+00
3972-bus  -0.22868607 -0.77533121   0.96950256     0.07035793  -0.0853840725      -0.60105741    -0.6723866  1.132316e+00
3990-bus  -0.59647307  0.67459101  -0.95969513    -2.37354547  -2.0329445784      -0.60105741    -1.7662562  8.558416e-01
3001-bus  -0.59647307 -0.05037010  -1.69145977    -2.37354547  -1.9307529537      -0.60105741    -1.2193214  2.316772e+00
3976-bus  -0.28998390 -0.77533121   1.76779126     0.07035793   0.0348780224      -0.60105741    -0.6723866  1.131560e+00
2892-bus  -0.47387740 -0.68471107   0.23773792    -1.15159377  -0.9403042498      -0.60105741    -0.6723866  3.908386e+00
3985-bus  -0.10609041 -0.77533121   1.23559880    -0.54061792  -0.8381126251      -0.60105741    -1.7662562  1.032604e+00
12283-bus -0.47387740 -0.68471107  -1.62493571    -2.37354547  -1.8335462863      -0.60105741    -1.7662562  2.399110e+00
11065-bus -0.41257957 -0.77533121  -0.09488237    -2.37354547  -1.6584496611      -0.60105741     0.4214830  2.100730e+00
3022-bus  -0.59647307 -0.59409093   0.17121386    -2.37354547  -1.9690748130      -0.60105741    -1.7662562  2.088643e+00
3017-bus  -0.59647307 -0.68471107  -0.02835831    -2.37354547  -1.5338257286      -0.60105741    -1.7662562  2.149075e+00
12298-bus  2.77490773 -0.77533121  -0.02835831    -2.37354547  -0.8452785012      -0.60105741    -1.2193214  2.566052e+00
3987-bus  -0.59647307 -0.68471107   0.83645445    -0.54061792  -1.5444187628      -0.60105741    -1.7662562  9.699060e-01
3975-bus  -0.59647307 -0.77533121   1.36864691     0.07035793  -0.9094598265      -0.60105741    -1.7662562  1.162531e+00
3970-bus  -0.59647307 -0.77533121   0.63688227    -1.15159377  -0.9054095487      -0.60105741    -1.7662562  1.174618e+00
12297-bus  2.52971640 -0.77533121  -0.02835831    -2.37354547  -0.8589871338      -0.60105741    -1.2193214  2.579649e+00
12294-bus  2.65231207 -0.77533121  -0.09488237    -2.37354547  -0.8670876894      -0.60105741    -1.2193214  2.562275e+00
3973-bus  -0.47387740 -0.77533121   1.83431532     0.07035793  -0.6000809139      -0.60105741    -1.2193214  1.150445e+00
12288-bus  2.10063157 -0.77533121  -0.42750266    -2.37354547  -1.0652397422      -0.60105741    -1.7662562  2.553210e+00
12286-bus  1.48765324 -0.77533121  -0.29445455    -2.37354547  -1.2372207691      -0.60105741    -1.2193214  2.564541e+00
11075-bus -0.59647307 -0.59409093  -0.76012296    -2.37354547  -1.9569239796      -0.60105741    -1.7662562  2.331880e+00
2996-bus  -0.35128174 -0.77533121  -0.02835831    -1.76256962  -1.8379081240      -0.60105741    -1.7662562  1.837097e+00
3391-bus  -0.59647307 -0.77533121  -0.76012296    -1.76256962  -0.7810971759      -0.60105741    -1.7662562  2.225370e+00
3016-bus  -0.59647307 -0.68471107  -0.56055078    -2.37354547  -1.4515739331      -0.60105741    -1.2193214  2.170226e+00
3002-bus  -0.59647307 -0.68471107  -0.36097860    -2.37354547  -1.6649924176      -0.60105741    -1.7662562  2.247276e+00
6883-bus  -0.53517524 -0.59409093  -1.69145977    -0.54061792   0.2261757589      -0.60105741     0.4214830 -6.422733e-02
3368-bus   0.07780309 -0.77533121   1.63474315    -1.76256962  -0.5938497173      -0.60105741    -1.2193214  2.164938e+00
3991-bus  -0.59647307  0.67459101  -0.62707484    -2.37354547  -1.9837181251      -0.60105741    -1.7662562  7.833239e-01
