"","bus3.sample","Cluster.membership"
"1","2272-bus",3
"2","25444-bus",3
"3","23166-bus",3
"4","25959-bus",3
"5","26313-bus",3
"6","28733-bus",3
"7","28397-bus",3
"8","2610-bus",3
"9","1727-bus",3
"10","22388-bus",3
"11","22938-bus",3
"12","29433-bus",3
"13","26542-bus",3
"14","23932-bus",3
"15","22157-bus",3
"16","23188-bus",3
"17","27467-bus",3
"18","1614-bus",3
"19","26697-bus",3
"20","22507-bus",3
"21","22077-bus",3
"22","26211-bus",3
"23","24972-bus",3
"24","28777-bus",3
"25","24352-bus",3
"26","25232-bus",3
"27","2185-bus",3
"28","22564-bus",3
"29","24633-bus",3
"30","24893-bus",3
"31","22241-bus",3
"32","24396-bus",3
"33","22653-bus",3
"34","26631-bus",3
"35","23174-bus",3
"36","27275-bus",3
"37","1692-bus",3
"38","2829-bus",3
"39","22632-bus",3
"40","21997-bus",3
"41","29274-bus",3
"42","23617-bus",3
"43","23979-bus",3
"44","22611-bus",3
"45","24573-bus",3
"46","23020-bus",3
"47","1664-bus",3
"48","23675-bus",3
"49","1983-bus",3
"50","26056-bus",3
"51","29208-bus",3
"52","1334-bus",3
"53","23457-bus",3
