"","train1.sample","Cluster.membership"
"1","462-train",1
"2","579-train",1
"3","6-train",1
"4","641-train",1
"5","638-train",1
"6","525-train",1
"7","584-train",1
"8","626-train",1
"9","619-train",1
"10","628-train",1
"11","528-train",1
"12","488-train",1
"13","574-train",1
"14","522-train",1
"15","565-train",1
"16","516-train",1
"17","4-train",1
"18","455-train",1
"19","559-train",1
"20","467-train",1
"21","491-train",1
"22","7-train",1
"23","599-train",1
"24","494-train",1
"25","531-train",1
"26","500-train",1
"27","571-train",1
"28","9-train",1
"29","461-train",1
"30","570-train",1
"31","485-train",1
"32","568-train",1
"33","519-train",1
"34","496-train",1
"35","623-train",1
"36","472-train",1
"37","456-train",1
"38","625-train",1
"39","453-train",1
"40","622-train",1
"41","659-train",1
"42","5-train",1
"43","613-train",1
"44","8-train",1
"45","2-train",1
"46","644-train",1
"47","459-train",1
"48","452-train",1
"49","10-train",1
"50","458-train",1
"51","616-train",1
"52","464-train",1
"53","1-train",1
"54","499-train",1
