                  row           column          cor            p
1   X1ln.ln_Patronage      X3ln.ln_Pop  0.409605732 2.747555e-09
2   X1ln.ln_Patronage      X6_PropComm  0.390747962 1.627400e-08
3         X3ln.ln_Pop      X6_PropComm  0.044076907 5.406431e-01
4   X1ln.ln_Patronage       X8_Balance  0.412514274 2.067527e-09
5         X3ln.ln_Pop       X8_Balance  0.047130164 5.129383e-01
6         X6_PropComm       X8_Balance  0.496913374 1.483258e-13
7   X1ln.ln_Patronage     X9_LUEntropy  0.085161669 2.365224e-01
8         X3ln.ln_Pop     X9_LUEntropy -0.233142337 1.037910e-03
9         X6_PropComm     X9_LUEntropy  0.390984763 1.592537e-08
10         X8_Balance     X9_LUEntropy  0.213507954 2.727021e-03
11  X1ln.ln_Patronage   X10_HousingDiv  0.314762283 7.408553e-06
12        X3ln.ln_Pop   X10_HousingDiv  0.671128469 0.000000e+00
13        X6_PropComm   X10_HousingDiv -0.056964109 4.289505e-01
14         X8_Balance   X10_HousingDiv  0.037016294 6.074217e-01
15       X9_LUEntropy   X10_HousingDiv -0.149582769 3.687572e-02
16  X1ln.ln_Patronage   X11_IntDensity  0.433032998 2.570140e-10
17        X3ln.ln_Pop   X11_IntDensity  0.584730220 0.000000e+00
18        X6_PropComm   X11_IntDensity  0.387858271 2.116717e-08
19         X8_Balance   X11_IntDensity  0.353286024 4.063268e-07
20       X9_LUEntropy   X11_IntDensity  0.214280758 2.629310e-03
21     X10_HousingDiv   X11_IntDensity  0.342392438 9.612430e-07
22  X1ln.ln_Patronage X12_CycleConnect  0.050678613 4.816877e-01
23        X3ln.ln_Pop X12_CycleConnect  0.230350932 1.196664e-03
24        X6_PropComm X12_CycleConnect  0.201661374 4.697959e-03
25         X8_Balance X12_CycleConnect  0.206281572 3.813042e-03
26       X9_LUEntropy X12_CycleConnect  0.050756117 4.810168e-01
27     X10_HousingDiv X12_CycleConnect  0.183539893 1.021772e-02
28     X11_IntDensity X12_CycleConnect  0.311031108 9.614853e-06
29  X1ln.ln_Patronage    X13_DestScore  0.209774032 3.247108e-03
30        X3ln.ln_Pop    X13_DestScore  0.421567395 8.383443e-10
31        X6_PropComm    X13_DestScore  0.099501949 1.663668e-01
32         X8_Balance    X13_DestScore  0.051955655 4.706979e-01
33       X9_LUEntropy    X13_DestScore  0.204091160 4.211904e-03
34     X10_HousingDiv    X13_DestScore  0.337575306 1.392325e-06
35     X11_IntDensity    X13_DestScore  0.365383284 1.502638e-07
36   X12_CycleConnect    X13_DestScore  0.109087345 1.289988e-01
37  X1ln.ln_Patronage    X15_Parkiteer  0.225785166 1.504927e-03
38        X3ln.ln_Pop    X15_Parkiteer -0.287565698 4.576695e-05
39        X6_PropComm    X15_Parkiteer  0.060339420 4.020640e-01
40         X8_Balance    X15_Parkiteer  0.036239111 6.149900e-01
41       X9_LUEntropy    X15_Parkiteer  0.133344385 6.311378e-02
42     X10_HousingDiv    X15_Parkiteer -0.191225697 7.408282e-03
43     X11_IntDensity    X15_Parkiteer -0.125640654 8.009449e-02
44   X12_CycleConnect    X15_Parkiteer -0.101466833 1.581140e-01
45      X13_DestScore    X15_Parkiteer -0.097334570 1.758381e-01
46  X1ln.ln_Patronage      X16_CBDDist -0.364574510 1.608041e-07
47        X3ln.ln_Pop      X16_CBDDist -0.648107737 0.000000e+00
48        X6_PropComm      X16_CBDDist -0.029116962 6.861628e-01
49         X8_Balance      X16_CBDDist -0.153468162 3.219401e-02
50       X9_LUEntropy      X16_CBDDist  0.173890126 1.504962e-02
51     X10_HousingDiv      X16_CBDDist -0.640221647 0.000000e+00
52     X11_IntDensity      X16_CBDDist -0.375429622 6.372641e-08
53   X12_CycleConnect      X16_CBDDist -0.254773805 3.252074e-04
54      X13_DestScore      X16_CBDDist -0.253637563 3.465389e-04
55      X15_Parkiteer      X16_CBDDist  0.336971198 1.457905e-06
56  X1ln.ln_Patronage       X17_ACDist -0.492745095 2.531308e-13
57        X3ln.ln_Pop       X17_ACDist -0.345499773 7.543925e-07
58        X6_PropComm       X17_ACDist -0.171481976 1.652980e-02
59         X8_Balance       X17_ACDist -0.145495898 4.240847e-02
60       X9_LUEntropy       X17_ACDist -0.122223180 8.872382e-02
61     X10_HousingDiv       X17_ACDist -0.361221622 2.125668e-07
62     X11_IntDensity       X17_ACDist -0.249653187 4.320321e-04
63   X12_CycleConnect       X17_ACDist  0.039737965 5.812493e-01
64      X13_DestScore       X17_ACDist -0.210393560 3.155044e-03
65      X15_Parkiteer       X17_ACDist -0.204016514 4.226135e-03
66        X16_CBDDist       X17_ACDist  0.210710971 3.108796e-03
67  X1ln.ln_Patronage      X18_ACCount  0.328846916 2.682040e-06
68        X3ln.ln_Pop      X18_ACCount  0.061600586 3.922812e-01
69        X6_PropComm      X18_ACCount  0.208217692 3.489194e-03
70         X8_Balance      X18_ACCount  0.030925460 6.677946e-01
71       X9_LUEntropy      X18_ACCount  0.219761153 2.022603e-03
72     X10_HousingDiv      X18_ACCount  0.093873056 1.917831e-01
73     X11_IntDensity      X18_ACCount  0.097096675 1.769015e-01
74   X12_CycleConnect      X18_ACCount -0.167107744 1.954485e-02
75      X13_DestScore      X18_ACCount  0.270534834 1.307189e-04
76      X15_Parkiteer      X18_ACCount  0.217203013 2.287868e-03
77        X16_CBDDist      X18_ACCount  0.074599951 2.999787e-01
78         X17_ACDist      X18_ACCount -0.660330652 0.000000e+00
79  X1ln.ln_Patronage  X20.Parking_m.2  0.138505456 5.348233e-02
80        X3ln.ln_Pop  X20.Parking_m.2 -0.237471188 8.295827e-04
81        X6_PropComm  X20.Parking_m.2 -0.008275205 9.085910e-01
82         X8_Balance  X20.Parking_m.2 -0.124329161 8.332245e-02
83       X9_LUEntropy  X20.Parking_m.2  0.095376952 1.847306e-01
84     X10_HousingDiv  X20.Parking_m.2 -0.180155542 1.172829e-02
85     X11_IntDensity  X20.Parking_m.2 -0.196345120 5.941138e-03
86   X12_CycleConnect  X20.Parking_m.2 -0.181007228 1.133071e-02
87      X13_DestScore  X20.Parking_m.2 -0.040617293 5.729068e-01
88      X15_Parkiteer  X20.Parking_m.2  0.218715647 2.127435e-03
89        X16_CBDDist  X20.Parking_m.2  0.212152385 2.906398e-03
90         X17_ACDist  X20.Parking_m.2 -0.080119889 2.655319e-01
91        X18_ACCount  X20.Parking_m.2  0.109160253 1.287417e-01
92  X1ln.ln_Patronage    X22_EmpAccess  0.425072826 5.867797e-10
93        X3ln.ln_Pop    X22_EmpAccess  0.636428314 0.000000e+00
94        X6_PropComm    X22_EmpAccess  0.265562249 1.753386e-04
95         X8_Balance    X22_EmpAccess  0.353653508 3.944697e-07
96       X9_LUEntropy    X22_EmpAccess  0.039338753 5.850554e-01
97     X10_HousingDiv    X22_EmpAccess  0.500408220 9.414691e-14
98     X11_IntDensity    X22_EmpAccess  0.600881601 0.000000e+00
99   X12_CycleConnect    X22_EmpAccess  0.248016972 4.724959e-04
100     X13_DestScore    X22_EmpAccess  0.318762085 5.580473e-06
101     X15_Parkiteer    X22_EmpAccess -0.379392191 4.506845e-08
102       X16_CBDDist    X22_EmpAccess -0.650632927 0.000000e+00
103        X17_ACDist    X22_EmpAccess -0.185482572 9.430591e-03
104       X18_ACCount    X22_EmpAccess -0.008397941 9.072413e-01
105   X20.Parking_m.2    X22_EmpAccess -0.258325361 2.661368e-04
106 X1ln.ln_Patronage        X23_C_LOS  0.279229439 7.715302e-05
107       X3ln.ln_Pop        X23_C_LOS  0.185053041 9.599850e-03
108       X6_PropComm        X23_C_LOS -0.161910223 2.373705e-02
109        X8_Balance        X23_C_LOS -0.088856449 2.167262e-01
110      X9_LUEntropy        X23_C_LOS  0.022101542 7.590836e-01
