                  row           column           cor            p
1   X1ln.ln_Patronage      X3ln.ln_Pop  3.335457e-01 1.889182e-06
2   X1ln.ln_Patronage      X6_PropComm  3.915251e-01 1.515664e-08
3         X3ln.ln_Pop      X6_PropComm  2.244406e-01 1.608654e-03
4   X1ln.ln_Patronage       X8_Balance  5.612561e-02 4.357871e-01
5         X3ln.ln_Pop       X8_Balance -3.747110e-01 6.782492e-08
6         X6_PropComm       X8_Balance  4.078368e-01 3.261940e-09
7   X1ln.ln_Patronage     X9_LUEntropy  1.149462e-02 8.732853e-01
8         X3ln.ln_Pop     X9_LUEntropy  2.701002e-02 7.077959e-01
9         X6_PropComm     X9_LUEntropy  1.913802e-01 7.359668e-03
10         X8_Balance     X9_LUEntropy  8.099897e-03 9.105193e-01
11  X1ln.ln_Patronage   X10_HousingDiv  1.524046e-01 3.342234e-02
12        X3ln.ln_Pop   X10_HousingDiv  5.657740e-01 0.000000e+00
13        X6_PropComm   X10_HousingDiv  1.586842e-01 2.671095e-02
14         X8_Balance   X10_HousingDiv -2.308983e-01 1.163880e-03
15       X9_LUEntropy   X10_HousingDiv  2.236884e-01 1.669492e-03
16  X1ln.ln_Patronage   X11_IntDensity  4.131888e-01 1.934826e-09
17        X3ln.ln_Pop   X11_IntDensity  4.084235e-01 3.081798e-09
18        X6_PropComm   X11_IntDensity  5.615317e-01 0.000000e+00
19         X8_Balance   X11_IntDensity  2.410379e-01 6.876439e-04
20       X9_LUEntropy   X11_IntDensity  2.257565e-01 1.507069e-03
21     X10_HousingDiv   X11_IntDensity  2.063896e-01 3.794275e-03
22  X1ln.ln_Patronage X12_CycleConnect  1.761720e-01 1.375532e-02
23        X3ln.ln_Pop X12_CycleConnect  3.638719e-02 6.135449e-01
24        X6_PropComm X12_CycleConnect  1.613807e-02 8.228183e-01
25         X8_Balance X12_CycleConnect  9.057940e-02 2.079109e-01
26       X9_LUEntropy X12_CycleConnect  1.511025e-01 3.498013e-02
27     X10_HousingDiv X12_CycleConnect  1.385400e-01 5.342219e-02
28     X11_IntDensity X12_CycleConnect  9.456311e-02 1.885231e-01
29  X1ln.ln_Patronage    X13_DestScore  2.923115e-01 3.374552e-05
30        X3ln.ln_Pop    X13_DestScore  5.949550e-01 0.000000e+00
31        X6_PropComm    X13_DestScore  2.455633e-01 5.397890e-04
32         X8_Balance    X13_DestScore -1.909059e-01 7.509829e-03
33       X9_LUEntropy    X13_DestScore -2.325792e-02 7.468962e-01
34     X10_HousingDiv    X13_DestScore  5.137316e-01 1.598721e-14
35     X11_IntDensity    X13_DestScore  3.592102e-01 2.509230e-07
36   X12_CycleConnect    X13_DestScore  3.611688e-02 6.161841e-01
37  X1ln.ln_Patronage      X16_CBDDist -2.873724e-01 4.633316e-05
38        X3ln.ln_Pop      X16_CBDDist -4.996616e-01 1.036948e-13
39        X6_PropComm      X16_CBDDist -2.676915e-01 1.547281e-04
40         X8_Balance      X16_CBDDist -1.570180e-01 2.836823e-02
41       X9_LUEntropy      X16_CBDDist -9.020817e-02 2.097881e-01
42     X10_HousingDiv      X16_CBDDist -5.034035e-01 6.350476e-14
43     X11_IntDensity      X16_CBDDist -5.219220e-01 5.107026e-15
44   X12_CycleConnect      X16_CBDDist -3.370897e-01 1.444815e-06
45      X13_DestScore      X16_CBDDist -4.446737e-01 7.389778e-11
46  X1ln.ln_Patronage       X17_ACDist -7.749294e-02 2.815728e-01
47        X3ln.ln_Pop       X17_ACDist -2.703277e-01 1.323432e-04
48        X6_PropComm       X17_ACDist -3.916242e-01 1.501961e-08
49         X8_Balance       X17_ACDist -3.087816e-01 1.123208e-05
50       X9_LUEntropy       X17_ACDist -6.841085e-02 3.419713e-01
51     X10_HousingDiv       X17_ACDist -3.510440e-01 4.864016e-07
52     X11_IntDensity       X17_ACDist -2.206107e-01 1.940907e-03
53   X12_CycleConnect       X17_ACDist -1.593203e-01 2.610051e-02
54      X13_DestScore       X17_ACDist -1.325891e-01 6.463572e-02
55        X16_CBDDist       X17_ACDist  4.326613e-01 2.672436e-10
56  X1ln.ln_Patronage      X18_ACCount  2.367413e-01 8.617665e-04
57        X3ln.ln_Pop      X18_ACCount  1.493137e-01 3.722025e-02
58        X6_PropComm      X18_ACCount  5.445087e-01 2.220446e-16
59         X8_Balance      X18_ACCount  2.725526e-01 1.158455e-04
60       X9_LUEntropy      X18_ACCount  7.580575e-02 2.922126e-01
61     X10_HousingDiv      X18_ACCount  1.700392e-01 1.747613e-02
