                row          column          cor            p
1       ln_Centroid          ln_bus  0.674617058 0.000000e+00
2       ln_Centroid          ln_pop  0.276398010 7.019807e-04
3            ln_bus          ln_pop -0.018610562 8.229641e-01
4       ln_Centroid     X6_PropComm  0.185880633 2.418827e-02
5            ln_bus     X6_PropComm  0.366992396 4.827982e-06
6            ln_pop     X6_PropComm -0.169550941 4.006911e-02
7       ln_Centroid      X8_Balance  0.262627848 1.310757e-03
8            ln_bus      X8_Balance  0.296450705 2.664617e-04
9            ln_pop      X8_Balance -0.192354675 1.959007e-02
10      X6_PropComm      X8_Balance  0.478315236 8.944268e-10
11      ln_Centroid    X9_LUEntropy  0.127078849 1.250736e-01
12           ln_bus    X9_LUEntropy  0.287983110 4.046414e-04
13           ln_pop    X9_LUEntropy -0.262075313 1.343106e-03
14      X6_PropComm    X9_LUEntropy  0.479378292 8.110350e-10
15       X8_Balance    X9_LUEntropy  0.320366347 7.626111e-05
16      ln_Centroid  X10_HousingDiv  0.412471084 2.088644e-07
17           ln_bus  X10_HousingDiv  0.134380496 1.046456e-01
18           ln_pop  X10_HousingDiv  0.691069957 0.000000e+00
19      X6_PropComm  X10_HousingDiv  0.083627292 3.139172e-01
20       X8_Balance  X10_HousingDiv  0.100880895 2.240693e-01
21     X9_LUEntropy  X10_HousingDiv -0.049346706 5.528123e-01
22      ln_Centroid  X11_PedConnect  0.163698709 4.757071e-02
23           ln_bus  X11_PedConnect  0.005652188 9.458297e-01
24           ln_pop  X11_PedConnect  0.504582150 7.201306e-11
25      X6_PropComm  X11_PedConnect  0.130298479 1.157159e-01
26       X8_Balance  X11_PedConnect  0.031455516 7.052704e-01
27     X9_LUEntropy  X11_PedConnect  0.245180607 2.761569e-03
28   X10_HousingDiv  X11_PedConnect  0.354742662 1.040640e-05
29      ln_Centroid   X13_DestScore  0.363285093 6.111668e-06
30           ln_bus   X13_DestScore  0.243095600 3.008638e-03
31           ln_pop   X13_DestScore  0.487610368 3.757643e-10
