                row          column           cor                        p
1       X6_PropComm      X8_Balance  0.4038053080 0.0000000000000084376950
2       X6_PropComm    X9_LUEntropy  0.3407206471 0.0000000001025719509329
3        X8_Balance    X9_LUEntropy  0.2269590100 0.0000232635104269185433
4       X6_PropComm  X10_HousingDiv  0.2005220395 0.0001936142727418932452
5        X8_Balance  X10_HousingDiv -0.0021798246 0.9680091854582681953900
6      X9_LUEntropy  X10_HousingDiv  0.2385037642 0.0000084875662678118857
7       X6_PropComm  X11_PedConnect  0.5435138276 0.0000000000000000000000
8        X8_Balance  X11_PedConnect  0.1758824220 0.0011085888580981695384
9      X9_LUEntropy  X11_PedConnect  0.4086067984 0.0000000000000037747583
10   X10_HousingDiv  X11_PedConnect  0.3271069918 0.0000000006042082389968
11      X6_PropComm         X12_PBN  0.0358927361 0.5088810132415266807016
12       X8_Balance         X12_PBN -0.0460577223 0.3965284890221507652086
13     X9_LUEntropy         X12_PBN  0.1219852326 0.0242749292896018431520
14   X10_HousingDiv         X12_PBN  0.1370030623 0.0113224248605534594248
15   X11_PedConnect         X12_PBN  0.0355771303 0.5126165798535544659842
16      X6_PropComm     X16_CBDDist -0.3328908682 0.0000000002874698257216
17       X8_Balance     X16_CBDDist -0.0795820391 0.1425101082286306386493
18     X9_LUEntropy     X16_CBDDist -0.2394928022 0.0000077665448714459018
19   X10_HousingDiv     X16_CBDDist -0.6649260063 0.0000000000000000000000
20   X11_PedConnect     X16_CBDDist -0.5656189523 0.0000000000000000000000
21          X12_PBN     X16_CBDDist -0.3087510265 0.0000000057660678454141
22      X6_PropComm      X17_ACDist -0.4118567273 0.0000000000000022204460
23       X8_Balance      X17_ACDist -0.2747270466 0.0000002549348798730477
24     X9_LUEntropy      X17_ACDist -0.1748447244 0.0011874947993657514189
25   X10_HousingDiv      X17_ACDist -0.3698660691 0.0000000000017044143874
26   X11_PedConnect      X17_ACDist -0.3108062383 0.0000000045130648107516
27          X12_PBN      X17_ACDist -0.1114198370 0.0397486601247907245238
28      X16_CBDDist      X17_ACDist  0.3806440781 0.0000000000003361755319
29      X6_PropComm     X18_ACCount  0.4504015412 0.0000000000000000000000
30       X8_Balance     X18_ACCount  0.0841751867 0.1207958971497578026799
31     X9_LUEntropy     X18_ACCount  0.1646320897 0.0022899395224598162457
32   X10_HousingDiv     X18_ACCount  0.1675282865 0.0019078403140486699385
33   X11_PedConnect     X18_ACCount  0.2444526954 0.0000049473725782789302
34          X12_PBN     X18_ACCount  0.0060199929 0.9118073648037929856969
35      X16_CBDDist     X18_ACCount -0.0979398575 0.0708746960850339391413
36       X17_ACDist     X18_ACCount -0.5523341257 0.0000000000000000000000
37      X6_PropComm     X20_Parking  0.0104300711 0.8478192625893348211008
38       X8_Balance     X20_Parking  0.0135274542 0.8034422927617042020643
39     X9_LUEntropy     X20_Parking  0.0698406510 0.1982594615538901816620
40   X10_HousingDiv     X20_Parking  0.0621114902 0.2526835739496449129149
41   X11_PedConnect     X20_Parking -0.0387245216 0.4760092395361716910429
42          X12_PBN     X20_Parking  0.1021523945 0.0595148518115107272308
43      X16_CBDDist     X20_Parking  0.0131713443 0.8085152455767601331615
44       X17_ACDist     X20_Parking -0.0580550585 0.2850602681979046426619
45      X18_ACCount     X20_Parking  0.0571880361 0.2923276077515541970797
46      X6_PropComm   X21_PropUrban -0.0603209011 0.2666464320186483494268
47       X8_Balance   X21_PropUrban -0.2268109224 0.0000235585108196989523
48     X9_LUEntropy   X21_PropUrban -0.6000738900 0.0000000000000000000000
49   X10_HousingDiv   X21_PropUrban  0.0509740700 0.3480129411455337162806
50   X11_PedConnect   X21_PropUrban -0.1593326666 0.0031743156869266098141
51          X12_PBN   X21_PropUrban -0.1008233837 0.0629239712889577695876
52      X16_CBDDist   X21_PropUrban  0.0336539959 0.5356828754476883336366
53       X17_ACDist   X21_PropUrban -0.1987292571 0.0002214508722238051064
54      X18_ACCount   X21_PropUrban  0.1851724175 0.0005889790227313618232
