    X51_MedInc   X52_PropOS X53_PropBach X49_censored_PropFTE X50_censored_MeanSize Cluster
1   -1.4557172 -1.346686763  -1.50165536         -2.174589854          -0.398713085       3
2   -0.6610706 -0.829171067  -1.10671577          0.246160416           1.273622178       3
3    0.3984582 -1.065076329   0.20516608         -0.464379636          -0.257107758       3
4   -0.6610706 -0.713408967  -1.16443368         -0.009398249           1.322506889       3
5    0.3984582 -1.051383836   0.22395526         -0.409526417          -0.232091031       3
6    1.9877514 -0.697762659   1.60360101          0.359821345          -0.375089801       2
7    0.3984582 -1.007508504   0.22742807         -0.359519510          -0.190731821       3
8   -0.6610706 -0.708980050  -1.16537225         -0.024929521           1.323182744       3
9   -0.6610706  2.028197544  -0.51836239          0.815681569           1.734043467       1
10   0.3984582  1.317528254   0.35126545          1.235765572           1.610821983       2
11   0.3984582  1.035849546   0.30163399          1.320353837           1.600146360       2
12   0.3984582  1.721062813   0.28081286          1.084084742           1.442515719       1
13   0.3984582  1.729441756   0.26507732          1.223855474           1.551718202       1
14   1.1931048  1.214397847  -0.06886786          1.518343180           2.046118906       2
15   0.3984582  1.103851686  -0.11711729          0.858244302           1.814797536       1
16   1.1931048  1.250614009  -0.18849493          1.389578439           1.844863176       2
17   0.3984582  1.256418242   0.23070198          1.206599232           1.616720998       2
18   1.1931048  0.604294537   0.19827705          1.475501193           2.022651492       2
19   0.3984582  1.820098751   0.11828600          1.053772490           1.221949271       1
20   1.1931048  1.745654817   0.08856910          1.437064940           1.506962072       2
21   1.1931048  0.455400917   0.06528909          1.526365264           2.046118906       2
22   0.3984582  1.821251314   0.02878802          1.178189444           1.163850388       1
23   0.3984582  1.788974067  -0.02834534          0.247430359           2.046118906       1
24   0.3984582  0.738438275  -0.06808692          0.458414191           1.597620155       3
25   0.3984582  1.581041841  -0.08073262          0.796137833           2.046118906       1
26   0.3984582  0.450662552  -0.12039403          1.226818466           2.025435839       3
27   0.3984582  1.898493346  -0.17543932          0.487410939           2.046118906       1
28   1.1931048  1.571502685  -0.21702950          1.536858229           1.637219104       2
29  -0.6610706  1.541231786  -0.37847574          0.915760135           1.539875638       1
30   0.3984582  0.414989607  -0.44428224          0.779728246           1.767249164       3
31   1.1931048  0.944658934   0.35902863          1.339470633           1.636643208       2
32   1.1931048  0.918135678   0.31751945          1.381578079           1.652556589       2
33   0.3984582  1.127947111   0.14026152          1.214129675           1.796896087       1
34   0.3984582  1.807121597  -0.01939723          1.354884863           1.290409107       1
35   0.3984582  1.552454099  -0.04286599          0.959659313           1.739267756       1
36   0.3984582  1.409938435  -0.04525233          1.210512282           1.369677060       1
37   0.3984582  1.384187631  -0.27805639          1.615871037           1.174865036       2
38  -0.6610706 -0.785901523  -1.41044431          0.086883346          -0.036154412       3
39  -0.6610706 -1.723184868  -1.23063393         -0.435425162           1.178053781       3
40  -0.6610706 -0.709249002  -1.16559468         -0.022686570           1.323403454       3
41  -1.4557172 -0.384456206  -1.08251776         -2.174589854          -1.384128763       1
42  -1.4557172 -1.333430520  -1.44561356         -2.174589854          -0.527095064       3
43  -0.6610706 -1.030321642  -1.21686695         -1.090079892          -0.220042124       3
44  -0.6610706 -0.996243404  -1.21330527         -0.818020024          -0.105334559       3
45  -1.4557172 -1.335752652  -1.45538623         -2.174589854          -0.504728212       3
46  -0.6610706 -0.993475764  -1.20715485         -0.818996031          -0.117454412       3
47   0.3984582 -1.312443519  -0.67328295          0.591130578           1.475971040       3
48   1.9877514 -0.837463169   1.70658717         -0.260961375           0.191589489       2
49   1.1931048 -0.733430098   1.66908247          0.096194019           0.016012169       2
50   1.1931048 -0.719126993   1.60971686          0.419205739          -0.148671796       2
51   1.1931048 -0.626375005   1.60507815          0.438568982          -0.177371858       2
52   1.1931048 -0.588724025   1.59416286          0.575119192          -0.237767177       2
53   1.1931048 -0.580623293   1.57956795          0.544958798          -0.239630202       2
54  -1.4557172 -1.408839739  -1.95729248         -0.375893786          -0.562614236       3
55   1.1931048 -0.822620502   1.59944568          0.294843891          -0.026750682       2
56  -1.4557172 -0.387479738  -1.01080218         -2.174589854          -1.342367411       1
57  -1.4557172 -1.507489428  -1.97651938         -1.753619033          -0.999075974       3
58  -1.4557172 -1.448313640  -2.03516290         -1.656931624          -1.041395120       3
59  -1.4557172 -1.758503628  -1.70947982         -1.879733938          -0.871617644       3
60  -0.6610706 -1.138489824   0.11011943         -2.174589854          -0.787408365       3
61   0.3984582 -0.951539920   0.19728827         -0.593954808          -0.246846560       3
62  -1.4557172 -1.758397392  -1.73564399         -1.796725696          -0.904578665       3
63   0.3984582 -0.362532965  -1.17001781         -0.323480544           1.485712588       3
64  -0.6610706 -1.313002524   0.09092707         -2.174589854          -0.896068472       3
65   0.3984582 -0.362532965  -1.17001781         -0.323480544           1.485712588       3
66  -1.4557172 -0.282807302  -0.46096148         -2.174589854          -1.338017940       1
67  -0.6610706 -1.748051818  -1.87667455         -0.828783820          -0.127058734       3
68   0.3984582 -1.562654518  -1.50918838          0.173141110           0.124140353       3
69   0.3984582 -0.978359369  -1.03459894         -0.669321511           1.307790229       3
70  -0.6610706 -0.736150858  -0.56483960         -2.174589854          -1.414896033       3
